date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/07/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"607,914","$73,034,787.96",9.47%
07/07/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"450,884","$53,001,414.20",6.88%
07/07/2026,ARKF,BLOCK INC,XYZ,852234103,"570,820","$45,049,114.40",5.84%
07/07/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"2,096,992","$44,301,052.99",5.75%
07/07/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"254,104","$42,910,542.48",5.57%
07/07/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,"497,583","$34,159,072.95",4.43%
07/07/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,157,381","$34,119,591.88",4.43%
07/07/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"250,388","$33,186,425.52",4.31%
07/07/2026,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,"53,721","$29,656,678.05",3.85%
07/07/2026,ARKF,AMAZON.COM INC,AMZN,023135106,"116,647","$28,480,531.52",3.69%
07/07/2026,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"436,872","$24,914,810.16",3.23%
07/07/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,"13,500","$24,376,680.00",3.16%
07/07/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,182,343","$22,003,403.23",2.85%
07/07/2026,ARKF,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"31,991","$21,999,791.62",2.85%
07/07/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"35,517","$21,320,499.93",2.77%
07/07/2026,ARKF,BULLISH,BLSH,G16910120,"775,419","$20,602,882.83",2.67%
07/07/2026,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"88,660","$17,677,030.80",2.29%
07/07/2026,ARKF,NVIDIA CORP,NVDA,67066G104,"86,893","$16,991,926.15",2.20%
07/07/2026,ARKF,SEA LTD-ADR,SE,81141R100,"158,410","$16,633,050.00",2.16%
07/07/2026,ARKF,ROKU INC,ROKU,77543R102,"115,253","$16,395,891.78",2.13%
07/07/2026,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"580,598","$15,217,473.58",1.97%
07/07/2026,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,071,519","$15,065,557.14",1.95%
07/07/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,"14,854","$14,762,055.81",1.92%
07/07/2026,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,"712,201","$14,158,555.88",1.84%
07/07/2026,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"85,562","$12,633,229.30",1.64%
07/07/2026,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"25,914","$12,516,721.14",1.62%
07/07/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"763,586","$11,873,762.30",1.54%
07/07/2026,ARKF,DOORDASH INC - A,DASH,25809K105,"58,717","$11,065,805.82",1.44%
07/07/2026,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,"257,679","$10,644,719.49",1.38%
07/07/2026,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"100,658","$9,881,595.86",1.28%
07/07/2026,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"152,575","$5,028,872.00",0.65%
07/07/2026,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"41,525","$3,745,139.75",0.49%
07/07/2026,ARKF,PAYPAY CORP,PAYP,70450C101,"244,985","$3,716,422.45",0.48%
07/07/2026,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"517,142","$3,547,594.12",0.46%
07/07/2026,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"367,283","$2,442,431.95",0.32%
07/07/2026,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,553,164","$1,553,164.38",0.20%
07/07/2026,ARKF,CANTON STRATEGIC HOLDINGS IN,CNTN,432705309,"405,515","$1,040,145.98",0.13%
07/07/2026,ARKF,BRERA HOLDINGS PLC-CL B,,G13311132,"91,322","$493,138.80",0.06%
07/07/2026,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"4,475","$438,147.25",0.06%
07/07/2026,ARKF,BRERA HOLDINGS PLC WTS,,BREADUMMY,"78,805","$226,171.21",0.03%
