date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/27/2026,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"253,148","$132,130,598.60",8.17%
07/27/2026,ARKW,TESLA INC,TSLA,88160R101,"383,840","$120,153,435.20",7.43%
07/27/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"865,931","$82,185,511.21",5.08%
07/27/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"3,775,474","$80,341,709.17",4.97%
07/27/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"631,421","$71,824,138.75",4.44%
07/27/2026,ARKW,AMAZON.COM INC,AMZN,023135106,"264,773","$61,456,461.03",3.80%
07/27/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"379,592","$60,085,617.68",3.71%
07/27/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"184,714","$58,940,390.26",3.64%
07/27/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"909,396","$56,709,934.56",3.51%
07/27/2026,ARKW,BLOCK INC,XYZ,852234103,"719,237","$55,489,134.55",3.43%
07/27/2026,ARKW,SPACE EXPLORATION TECHN-CL A,SPCX,84615Q103,"470,674","$54,160,457.18",3.35%
07/27/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"1,044,055","$49,644,815.25",3.07%
07/27/2026,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"248,388","$45,524,552.64",2.81%
07/27/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"632,408","$45,457,487.04",2.81%
07/27/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"365,861","$44,971,634.12",2.78%
07/27/2026,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,"180,836","$44,641,174.96",2.76%
07/27/2026,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"74,521","$44,354,153.99",2.74%
07/27/2026,ARKW,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"62,528","$42,999,686.48",2.66%
07/27/2026,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"139,082","$36,460,346.30",2.25%
07/27/2026,ARKW,BROADCOM INC,AVGO,11135F101,"94,640","$36,144,908.80",2.23%
07/27/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"87,892","$35,456,511.72",2.19%
07/27/2026,ARKW,CEREBRAS SYSTEMS INC - A,CBRS,15675D103,"145,207","$28,913,617.84",1.79%
07/27/2026,ARKW,NVIDIA CORP,NVDA,67066G104,"129,009","$26,684,221.56",1.65%
07/27/2026,ARKW,EVERPURE INC-A,P,74624M102,"331,959","$24,750,863.04",1.53%
07/27/2026,ARKW,RUBRIK INC-A,RBRK,781154109,"334,226","$24,478,712.24",1.51%
07/27/2026,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,526,737","$24,107,177.23",1.49%
07/27/2026,ARKW,BULLISH,BLSH,G16910120,"996,632","$23,879,302.72",1.48%
07/27/2026,ARKW,TOAST INC-CLASS A,TOST,888787108,"720,752","$20,930,638.08",1.29%
07/27/2026,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"3,145,396","$20,382,166.08",1.26%
07/27/2026,ARKW,GITLAB INC-CL A,GTLB,37637K108,"634,217","$19,838,307.76",1.23%
07/27/2026,ARKW,SNOWFLAKE INC,SNOW,833445109,"71,217","$19,090,429.02",1.18%
07/27/2026,ARKW,NETFLIX INC,NFLX,64110L106,"268,617","$18,827,365.53",1.16%
07/27/2026,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"38,069","$18,374,383.54",1.14%
07/27/2026,ARKW,FIGMA INC-CL A,FIG,316841105,"804,717","$16,995,623.04",1.05%
07/27/2026,ARKW,DOORDASH INC - A,DASH,25809K105,"94,674","$16,370,081.34",1.01%
07/27/2026,ARKW,MERCADOLIBRE INC,MELI,58733R102,"8,760","$15,780,614.40",0.98%
07/27/2026,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"663,459","$15,266,191.59",0.94%
07/27/2026,ARKW,AIRBNB INC-CLASS A,ABNB,009066101,"64,384","$9,084,582.40",0.56%
07/27/2026,ARKW,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"805,379","$5,734,298.48",0.35%
07/27/2026,ARKW,ALPHABET INC-CL A,GOOGL,02079K305,"12,353","$3,949,748.22",0.24%
07/27/2026,ARKW,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"447,224","$2,687,816.24",0.17%
07/27/2026,ARKW,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,421,747","$1,421,747.23",0.09%
07/27/2026,ARKW,BRERA HOLDINGS PLC-CL B,,G13311132,"135,388","$523,951.56",0.03%
07/27/2026,ARKW,BRERA HOLDINGS PLC WTS,,BREADUMMY,"139,569","$258,202.84",0.02%
