date,fund,company,ticker,cusip,shares,market value ($),weight (%)
06/26/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,515,253","$146,449,202.45",9.15%
06/26/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"2,204,291","$120,949,447.17",7.55%
06/26/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,071,921","$109,759,737.33",6.86%
06/26/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,024,378","$109,275,924.44",6.83%
06/26/2026,ARKG,ABSCI CORP,ABSI,00091E109,"10,566,258","$107,881,494.18",6.74%
06/26/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,765,198","$97,763,842.82",6.11%
06/26/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,128,732","$72,227,876.76",4.51%
06/26/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"480,426","$68,672,092.44",4.29%
06/26/2026,ARKG,ILLUMINA INC,ILMN,452327109,"380,485","$67,593,160.25",4.22%
06/26/2026,ARKG,NATERA INC,NTRA,632307104,"254,465","$66,349,204.10",4.14%
06/26/2026,ARKG,VERACYTE INC,VCYT,92337F107,"929,332","$54,412,388.60",3.40%
06/26/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,818,627","$50,648,761.95",3.16%
06/26/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,899,997","$46,486,951.91",2.90%
06/26/2026,ARKG,ELI LILLY & CO,LLY,532457108,"39,483","$44,524,584.27",2.78%
06/26/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"3,211,842","$43,616,814.36",2.72%
06/26/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"12,751,415","$42,589,726.10",2.66%
06/26/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,973,540","$39,964,185.00",2.50%
06/26/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"4,735,343","$37,977,450.86",2.37%
06/26/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,669,550","$37,498,093.00",2.34%
06/26/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,027,393","$32,722,123.02",2.04%
06/26/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"443,647","$30,465,239.49",1.90%
06/26/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"279,182","$21,871,117.88",1.37%
06/26/2026,ARKG,CERUS CORP,CERS,157085101,"7,169,426","$20,504,558.36",1.28%
06/26/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,"4,244,830","$19,441,321.40",1.21%
06/26/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,720,747","$18,555,494.54",1.16%
06/26/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,891,166","$16,982,670.68",1.06%
06/26/2026,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,"628,584","$16,890,052.08",1.05%
06/26/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"10,551,231","$16,881,969.60",1.05%
06/26/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"4,771,008","$15,171,805.44",0.95%
06/26/2026,ARKG,BIONTECH SE-ADR,BNTX,09075V102,"122,951","$11,065,590.00",0.69%
06/26/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"598,466","$9,826,811.72",0.61%
06/26/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,710,541","$5,752,946.80",0.36%
06/26/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"297,034","$297,033.53",0.02%
