symbol,company,exchange,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,ark_mark,mark_drift_pct,total_market_value,funds,status
TSLA,TESLA INC,NASDAQ,336.8700,297.3800,498.8300,19.60,-32.47,13.28,336.8700,0.00,918390153.15,ARKK|ARKQ|ARKW|ARKX,ok
SPCX,SPACE EXPLORATION TECHN-CL A,NASDAQ,143.3400,104.8300,225.6400,31.88,-36.47,36.74,143.3400,0.00,683229823.32,ARKK|ARKQ|ARKW|ARKX,ok
AMD,ADVANCED MICRO DEVICES,NASDAQ,484.3900,149.2200,584.7300,76.96,-17.16,224.61,484.3900,0.00,488667648.09,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
PLTR,PALANTIR TECHNOLOGIES INC-A,NASDAQ,171.5400,106.3700,207.5200,64.43,-17.34,61.27,171.5400,-0.00,427827106.98,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
TEM,TEMPUS AI INC-CL A,NASDAQ,49.3600,40.7700,104.3200,13.52,-52.68,21.07,49.3600,0.00,414030791.52,ARKG|ARKK,ok
SHOP,SHOPIFY INC - CLASS A,NASDAQ,146.5800,94.0000,182.1900,59.62,-19.55,55.94,146.5800,0.00,393192641.52,ARKF|ARKK|ARKW,ok
CRCL,CIRCLE INTERNET GROUP INC,NYSE,71.7300,49.9000,159.4700,19.92,-55.02,43.75,71.7300,0.00,390678090.57,ARKF|ARKK|ARKW,ok
CRSP,CRISPR THERAPEUTICS AG,NASDAQ,52.9700,44.1200,78.4800,25.76,-32.51,20.06,52.9700,-0.00,389493971.85,ARKG|ARKK,ok
AMZN,AMAZON.COM INC,NASDAQ,259.4500,196.0000,287.2000,69.57,-9.66,32.37,259.4500,0.00,369740119.40,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
TWST,TWIST BIOSCIENCE CORP,NASDAQ,116.1000,23.3000,126.4000,90.01,-8.15,398.28,116.1000,-0.00,364345716.60,ARKG|ARKK,ok
TXG,10X GENOMICS INC-CLASS A,NASDAQ,55.6300,11.1600,60.6900,89.78,-8.34,398.48,55.6300,0.00,344673577.86,ARKG|ARKK,ok
COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,146.2300,139.1100,402.1600,2.71,-63.64,5.12,146.2300,0.00,334766093.76,ARKF|ARKK|ARKW,ok
HOOD,ROBINHOOD MARKETS INC - A,NASDAQ,91.5300,63.5150,153.8600,31.01,-40.51,44.11,91.5300,0.00,326232690.48,ARKF|ARKK|ARKW,ok
NVDA,NVIDIA CORP,NASDAQ,219.7400,164.0700,236.5400,76.82,-7.10,33.93,219.7400,0.00,323868193.80,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
GOOG,ALPHABET INC-CL C,NASDAQ,341.2800,197.4600,404.4700,69.47,-15.62,72.84,341.2800,-0.00,293578953.12,ARKK|ARKQ|ARKW|ARKX,ok
KTOS,KRATOS DEFENSE & SECURITY,NASDAQ,61.9900,43.0900,134.0000,20.79,-53.74,43.86,61.9900,0.00,285540011.73,ARKK|ARKQ|ARKX,ok
XYZ,BLOCK INC,NYSE,79.4300,48.2100,86.7500,81.01,-8.44,64.76,79.4300,0.00,252768897.55,ARKF|ARKK|ARKW,ok
CRWV,COREWEAVE INC-CL A,NASDAQ,93.1700,60.5500,153.2000,35.21,-39.18,53.87,93.1700,0.00,250177568.41,ARKK|ARKW,ok
TER,TERADYNE INC,NASDAQ,404.2900,106.3000,487.9100,78.09,-17.14,280.33,404.2900,0.00,232250454.85,ARKK|ARKQ|ARKX,ok
BEAM,BEAM THERAPEUTICS INC,NASDAQ,26.5700,15.6000,38.2600,48.41,-30.55,70.32,26.5700,0.00,217625171.95,ARKG|ARKK,ok
CBRS,CEREBRAS SYSTEMS INC - A,NASDAQ,220.0100,160.8100,386.3400,26.25,-43.05,36.81,220.0100,0.00,184558248.63,ARKK|ARKW,ok
TSM,TAIWAN SEMICONDUCTOR-SP ADR,NYSE,413.4100,223.7000,479.0000,74.31,-13.69,84.81,413.4100,0.00,181815650.95,ARKK|ARKQ|ARKW|ARKX,ok
ACHR,ARCHER AVIATION INC-A,NYSE,6.3200,4.3000,14.6200,19.57,-56.77,46.98,6.3200,0.00,175231517.92,ARKK|ARKQ|ARKX,ok
RKLB,ROCKET LAB,NASDAQ,79.1600,37.5700,151.0000,36.67,-47.58,110.70,79.1600,0.00,158475945.20,ARKK|ARKQ|ARKX,ok
META,META PLATFORMS INC-CLASS A,NASDAQ,543.6700,520.2600,790.8000,8.65,-31.25,4.50,543.6700,0.00,151131561.28,ARKF|ARKK|ARKW,ok
AVGO,BROADCOM INC,NASDAQ,380.0000,281.8700,495.0000,46.04,-23.23,34.81,380.0000,0.00,146537120.00,ARKK|ARKQ|ARKW,ok
NTLA,INTELLIA THERAPEUTICS INC,NASDAQ,11.6000,7.9500,28.2500,17.98,-58.94,45.91,11.6000,0.00,146168874.00,ARKG|ARKK,ok
BLSH,BULLISH,NYSE,24.6200,20.5500,74.9800,7.48,-67.16,19.81,24.6200,0.00,140310758.72,ARKF|ARKK|ARKW,ok
NTRA,NATERA INC,NASDAQ,311.6900,156.7100,326.0300,91.53,-4.40,98.90,311.6900,0.00,138695192.82,ARKG|ARKK,ok
BMNR,BITMINE IMMERSION TECHNOLOGI,NYSE,18.2800,12.8000,65.6000,10.38,-72.13,42.81,18.2800,0.00,137079855.44,ARKF|ARKK|ARKW,ok
ILMN,ILLUMINA INC,NASDAQ,188.2900,88.0000,207.0000,84.28,-9.04,113.97,188.2900,0.00,132511911.85,ARKG|ARKK,ok
XE,X-ENERGY INC,NASDAQ,18.8600,13.2900,37.1000,23.39,-49.16,41.91,18.8600,0.00,124277027.00,ARKK|ARKQ|ARKX,ok
LHX,L3HARRIS TECHNOLOGIES INC,NYSE,279.5400,262.6800,379.2300,14.47,-26.29,6.42,279.5400,0.00,118578352.14,ARKQ|ARKX|PRNT,ok
WGS,GENEDX HOLDINGS CORP,NASDAQ,76.3400,32.2100,170.8700,31.83,-55.32,137.01,76.3400,0.00,110790944.22,ARKG|ARKK,ok
LLY,ELI LILLY & CO,NYSE,1225.7300,685.1500,1249.4500,95.80,-1.90,78.90,1225.7300,0.00,109982301.44,ARKG|ARKK,ok
RXRX,RECURSION PHARMACEUTICALS-A,NASDAQ,3.0900,2.7700,7.1800,7.26,-56.96,11.55,3.0900,0.00,102287985.72,ARKG|ARKK,ok
AVAV,AEROVIRONMENT INC,NASDAQ,174.1400,135.2000,417.8600,13.78,-58.33,28.80,174.1400,0.00,96991278.22,ARKQ|ARKX,ok
NET,CLOUDFLARE INC - CLASS A,NYSE,301.3600,158.8300,332.2200,82.20,-9.29,89.74,301.3600,0.00,96363777.68,ARKF|ARKK|ARKW,ok
DE,DEERE & CO,NYSE,588.7200,433.0000,674.1900,64.56,-12.68,35.96,588.7200,0.00,93334491.36,ARKQ|ARKX,ok
PSNL,PERSONALIS INC,NASDAQ,13.9100,4.4400,16.3900,79.25,-15.13,213.29,13.9100,0.00,91346024.12,ARKG,ok
ABSI,ABSCI CORP,NASDAQ,8.8500,2.2400,12.0550,67.35,-26.59,295.09,8.8500,0.00,88791457.05,ARKG,ok
BWXT,BWX TECHNOLOGIES INC,NYSE,165.0100,157.1000,241.8200,9.34,-31.76,5.04,165.0100,-0.00,88047190.87,ARKK|ARKQ|ARKX,ok
DASH,DOORDASH INC - A,NASDAQ,216.3500,143.3000,285.5000,51.37,-24.22,50.98,216.3500,0.00,81177765.25,ARKF|ARKQ|ARKW|ARKX,ok
VCYT,VERACYTE INC,NASDAQ,40.6800,28.2500,60.9100,38.06,-33.21,44.00,40.6800,0.00,74768823.00,ARKG|ARKK,ok
RBLX,ROBLOX CORP -CLASS A,NYSE,37.6700,33.8800,142.0000,3.51,-73.47,11.19,37.6700,0.00,73293878.61,ARKF|ARKK|ARKW,ok
GH,GUARDANT HEALTH INC,NASDAQ,160.1200,53.4000,176.5800,86.64,-9.32,199.85,160.1200,0.00,71190152.60,ARKG,ok
CDNA,CAREDX INC,NASDAQ,46.1800,11.2720,49.7600,90.70,-7.19,309.69,46.1800,0.00,67131496.56,ARKG,ok
LUNR,INTUITIVE MACHINES INC,NASDAQ,19.3100,7.7800,46.7500,29.59,-58.70,148.20,19.3100,0.00,65348708.90,ARKQ|ARKX,ok
