symbol,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,screener_price,drift_pct,status
WELL,234.4400,161.2600,255.2000,77.90,-8.13,45.38,234.4400,0.00,ok
DIS,96.1900,92.1900,119.7800,14.50,-19.69,4.34,96.1900,0.00,ok
MRVL,187.5600,61.4400,329.8800,46.98,-43.14,205.27,187.5600,0.00,ok
GILD,130.2100,108.4600,157.2900,44.54,-17.22,20.05,130.2100,0.00,ok
DE,592.6700,433.0000,674.1900,66.20,-12.09,36.88,592.6700,0.00,ok
T,23.2500,19.8900,29.7900,33.94,-21.95,16.89,23.2500,0.00,ok
QCOM,147.6100,121.9900,259.9200,18.57,-43.21,21.00,147.6100,0.00,ok
SCCO,182.7100,88.6840,221.6730,70.70,-17.58,106.02,182.7100,0.00,ok
CRM,184.0200,146.3200,269.1100,30.70,-31.62,25.77,184.0200,0.00,ok
BKNG,192.9000,150.1400,231.8000,52.36,-16.78,28.48,192.9000,0.00,ok
IBKR,87.9900,58.9500,97.8400,74.67,-10.07,49.26,87.9900,0.00,ok
COP,120.4800,85.5700,135.8700,69.40,-11.33,40.80,120.4800,0.00,ok
UBER,70.3600,65.4100,101.9900,13.53,-31.01,7.57,70.3600,0.00,ok
PFE,25.0100,23.4000,28.7500,30.09,-13.01,6.88,25.0100,0.00,ok
DHR,194.9800,160.9300,242.8000,41.59,-19.70,21.16,194.9800,0.00,ok
PLD,144.6100,103.4100,153.3500,82.50,-5.70,39.84,144.6100,0.00,ok
LMT,582.7400,419.0000,692.0000,59.98,-15.79,39.08,582.7400,0.00,ok
BMY,65.3100,42.5200,65.6600,98.49,-0.53,53.60,65.3100,0.00,ok
CVS,104.4300,61.3500,110.6800,87.33,-5.65,70.22,104.4300,0.00,ok
APP,395.9000,359.0000,745.6100,9.54,-46.90,10.28,395.9000,0.00,ok
COF,209.0100,174.2400,259.6400,40.71,-19.50,19.96,209.0100,0.00,ok
SYK,325.7000,281.0000,396.8600,38.58,-17.93,15.91,325.7000,0.00,ok
ISRG,353.3300,328.5700,603.8800,8.99,-41.49,7.54,353.3300,0.00,ok
PGR,211.4200,189.2000,254.9300,33.80,-17.07,11.74,211.4200,0.00,ok
PH,976.5300,692.0200,1034.9600,82.96,-5.65,41.11,976.5300,0.00,ok
SPGI,411.9300,361.0310,547.8240,27.25,-24.81,14.10,411.9300,0.00,ok
VRTX,477.1000,362.5000,533.6700,66.95,-10.60,31.61,477.1000,0.00,ok
SBUX,105.2500,77.9900,109.2300,87.26,-3.64,34.95,105.2500,0.00,ok
GLW,138.2500,62.6500,271.7800,36.15,-49.13,120.67,138.2500,0.00,ok
FTNT,161.9500,70.1200,170.3500,91.62,-4.93,130.96,161.9500,0.00,ok
LOW,207.8100,199.4000,293.0600,8.98,-29.09,4.22,207.8100,0.00,ok
NOW,111.2300,81.2400,194.7260,26.43,-42.88,36.92,111.2300,0.00,ok
MO,68.3300,54.7000,77.0600,60.96,-11.33,24.92,68.3300,0.00,ok
HWM,282.2600,169.4500,295.2800,89.65,-4.41,66.57,282.2600,0.00,ok
