symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2681612,939234603.00,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1662466;ARKQ=563948;ARKW=384341;ARKX=70857
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,4884428,673806842.60,4,ARKK|ARKQ|ARKW|ARKX,ARKK=2728438;ARKQ=1053214;ARKW=559525;ARKX=543251
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,8369023,575202950.79,2,ARKG|ARKK,ARKG=2507143;ARKK=5861880
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,5352931,492576710.62,3,ARKF|ARKK|ARKW,ARKF=558380;ARKK=3814484;ARKW=980067
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,3071469,465081835.98,2,ARKG|ARKK,ARKG=1328388;ARKK=1743081
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,952841,456582350.38,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=40859;ARKK=421803;ARKQ=216236;ARKW=202049;ARKX=71894
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,7381875,449556187.50,2,ARKG|ARKK,ARKG=2140620;ARKK=5241255
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2250003,421110561.48,3,ARKF|ARKK|ARKW,ARKF=256234;ARKK=1607895;ARKW=385874
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,2603594,400641044.72,3,ARKF|ARKK|ARKW,ARKF=477441;ARKK=1581027;ARKW=545126
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2285895,394842643.35,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=209815;ARKK=1129842;ARKQ=496166;ARKW=292758;ARKX=157314
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,3508324,393248037.16,3,ARKF|ARKK|ARKW,ARKF=433692;ARKK=2231626;ARKW=843006
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,6067008,392656757.76,2,ARKG|ARKK,ARKG=3064926;ARKK=3002082
AMZN,NASDAQ,023135106,AMAZON.COM INC,1404409,366635013.54,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=117160;ARKK=614416;ARKQ=264140;ARKW=272733;ARKX=135960
NVDA,NASDAQ,67066G104,NVIDIA CORP,1451873,309321542.65,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=104539;ARKK=663542;ARKQ=341914;ARKW=199008;ARKX=142870
GOOG,NASDAQ,02079K107,ALPHABET INC-CL C,848410,291293089.40,4,ARKK|ARKQ|ARKW|ARKX,ARKK=317498;ARKQ=259897;ARKW=182377;ARKX=88638
XYZ,NYSE,852234103,BLOCK INC,3137763,259555755.36,3,ARKF|ARKK|ARKW,ARKF=614266;ARKK=1761288;ARKW=762209
BEAM,NASDAQ,07373V105,BEAM THERAPEUTICS INC,8225880,255249056.40,2,ARKG|ARKK,ARKG=2419040;ARKK=5806840
KTOS,NASDAQ,50077B207,KRATOS DEFENSE & SECURITY,4537355,238846367.20,3,ARKK|ARKQ|ARKX,ARKK=1327239;ARKQ=2241950;ARKX=968166
CRWV,NASDAQ,21873S108,COREWEAVE INC-CL A,2637784,232230503.36,2,ARKK|ARKW,ARKK=1884425;ARKW=753359
TER,NASDAQ,880770102,TERADYNE INC,567152,207821507.36,3,ARKK|ARKQ|ARKX,ARKK=164052;ARKQ=324965;ARKX=78135
BMNR,NYSE,09175A206,BITMINE IMMERSION TECHNOLOGI,7372197,182977929.54,3,ARKF|ARKK|ARKW,ARKF=734466;ARKK=5130317;ARKW=1507414
CBRS,NASDAQ,15675D103,CEREBRAS SYSTEMS INC - A,993347,182691413.51,2,ARKK|ARKW,ARKK=766708;ARKW=226639
TSM,NYSE,874039100,TAIWAN SEMICONDUCTOR-SP ADR,434399,181322486.59,4,ARKK|ARKQ|ARKW|ARKX,ARKK=148119;ARKQ=160893;ARKW=92944;ARKX=32443
BLSH,NYSE,G16910120,BULLISH,5601807,179369860.14,3,ARKF|ARKK|ARKW,ARKF=745851;ARKK=3991511;ARKW=864445
NTLA,NASDAQ,45826J105,INTELLIA THERAPEUTICS INC,12433345,167974490.95,2,ARKG|ARKK,ARKG=2704831;ARKK=9728514
ACHR,NYSE,03945R102,ARCHER AVIATION INC-A,27229007,162284881.72,3,ARKK|ARKQ|ARKX,ARKK=13425002;ARKQ=8928306;ARKX=4875699
ILMN,NASDAQ,452327109,ILLUMINA INC,707262,159126877.38,2,ARKG|ARKK,ARKG=377601;ARKK=329661
META,NASDAQ,30303M102,META PLATFORMS INC-CLASS A,274173,156292318.65,3,ARKF|ARKK|ARKW,ARKF=44083;ARKK=148892;ARKW=81198
AVGO,NASDAQ,11135F101,BROADCOM INC,434769,155099493.06,3,ARKK|ARKQ|ARKW,ARKK=231583;ARKQ=99952;ARKW=103234
NTRA,NASDAQ,632307104,NATERA INC,458003,154214190.13,2,ARKG|ARKK,ARKG=252025;ARKK=205978
RKLB,NASDAQ,773121108,ROCKET LAB,2005247,134171076.77,3,ARKK|ARKQ|ARKX,ARKK=382949;ARKQ=1034861;ARKX=587437
WGS,NASDAQ,81663L200,GENEDX HOLDINGS CORP,1466468,128176635.55,2,ARKG|ARKK,ARKG=525913;ARKK=940555
XE,NASDAQ,98386P102,X-ENERGY INC,6463150,123510796.50,3,ARKK|ARKQ|ARKX,ARKK=4389471;ARKQ=1483627;ARKX=590052
PSNL,NASDAQ,71535D106,PERSONALIS INC,7067572,121915617.00,1,ARKG,ARKG=7067572
RXRX,NASDAQ,75629V104,RECURSION PHARMACEUTICALS-A,33663343,119841501.08,2,ARKG|ARKK,ARKG=14314907;ARKK=19348436
LLY,NYSE,532457108,ELI LILLY & CO,93778,115690167.48,2,ARKG|ARKK,ARKG=66622;ARKK=27156
LHX,NYSE,502431109,L3HARRIS TECHNOLOGIES INC,417275,109396986.75,3,ARKQ|ARKX|PRNT,ARKQ=216314;ARKX=197139;PRNT=3822
ABSI,NASDAQ,00091E109,ABSCI CORP,10797813,103982939.19,1,ARKG,ARKG=10797813
NET,NYSE,18915M107,CLOUDFLARE INC - CLASS A,374339,103909019.62,3,ARKF|ARKK|ARKW,ARKF=26144;ARKK=232118;ARKW=116077
BWXT,NYSE,05605H100,BWX TECHNOLOGIES INC,638960,95671480.80,3,ARKK|ARKQ|ARKX,ARKK=356877;ARKQ=202133;ARKX=79950
DE,NYSE,244199105,DEERE & CO,149744,94437551.04,2,ARKQ|ARKX,ARKQ=86712;ARKX=63032
DASH,NASDAQ,25809K105,DOORDASH INC - A,372032,86869472.00,4,ARKF|ARKQ|ARKW|ARKX,ARKF=56481;ARKQ=148622;ARKW=93477;ARKX=73452
VCYT,NASDAQ,92337F107,VERACYTE INC,1878615,82734204.60,2,ARKG|ARKK,ARKG=898520;ARKK=980095
AVAV,NASDAQ,008073108,AEROVIRONMENT INC,548963,80928125.46,2,ARKQ|ARKX,ARKQ=328743;ARKX=220220
GH,NASDAQ,40131M109,GUARDANT HEALTH INC,478445,78905149.40,1,ARKG,ARKG=478445
CDNA,NASDAQ,14167L103,CAREDX INC,1535666,78011832.80,1,ARKG,ARKG=1535666
CMPS,NASDAQ,20451W101,COMPASS PATHWAYS PLC,4685115,69714511.20,1,ARKG,ARKG=4685115
TOST,NYSE,888787108,TOAST INC-CLASS A,1824868,67155142.40,2,ARKF|ARKW,ARKF=1113239;ARKW=711629
TRMB,NASDAQ,896239100,TRIMBLE INC,1097091,65200118.13,2,ARKQ|ARKX,ARKQ=668515;ARKX=428576
SOFI,NASDAQ,83406F102,SOFI TECHNOLOGIES INC,3268341,62098479.00,2,ARKF|ARKK,ARKF=1137249;ARKK=2131092
LUNR,NASDAQ,46125A100,INTUITIVE MACHINES INC,3344700,55522020.00,2,ARKQ|ARKX,ARKQ=2332102;ARKX=1012598
CRWD,NASDAQ,22788C105,CROWDSTRIKE HOLDINGS INC - A,273510,50703283.80,2,ARKF|ARKW,ARKF=79132;ARKW=194378
ADPT,NASDAQ,00650F109,ADAPTIVE BIOTECHNOLOGIES,1862716,48896295.00,1,ARKG,ARKG=1862716
MELI,NASDAQ,58733R102,MERCADOLIBRE INC,24036,47999892.00,2,ARKF|ARKW,ARKF=12996;ARKW=11040
