cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2779963,895370483.04,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1741489.0,""ARKQ"":578356.0,""ARKW"":385983.0,""ARKX"":74135.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,4542733,520279210.49,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2503217.0,""ARKQ"":1004718.0,""ARKW"":497209.0,""ARKX"":537589.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1054886,511239951.04,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":441825.0,""ARKQ"":238659.0,""ARKW"":244129.0,""ARKF"":51677.0,""ARKX"":78596.0}"
023135106,AMZN,AMAZON.COM INC,equity,1447791,411201599.82,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":643597.0,""ARKQ"":270884.0,""ARKW"":273898.0,""ARKF"":117160.0,""ARKX"":142252.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8536039,393084595.95,2,ARKG|ARKK,"{""ARKK"":6201143.0,""ARKG"":2334896.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3234599,378480428.99,3,ARKF|ARKK|ARKW,"{""ARKK"":2069381.0,""ARKW"":612452.0,""ARKF"":552766.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7535059,373512874.63,2,ARKG|ARKK,"{""ARKK"":5490465.0,""ARKG"":2044594.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2760207,346820009.55,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1408717.0,""ARKQ"":566659.0,""ARKW"":362775.0,""ARKF"":240840.0,""ARKX"":181216.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3329947,336524443.82,2,ARKG|ARKK,"{""ARKK"":2011953.0,""ARKG"":1317994.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2268418,332323237.00,3,ARKF|ARKK|ARKW,"{""ARKK"":1624661.0,""ARKW"":387523.0,""ARKF"":256234.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,3618000,326850120.00,3,ARKF|ARKK|ARKW,"{""ARKK"":2337700.0,""ARKW"":846608.0,""ARKF"":433692.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,874973,325901193.31,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":332550.0,""ARKQ"":266537.0,""ARKW"":183156.0,""ARKX"":92730.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,6741543,316919936.43,2,ARKG|ARKK,"{""ARKK"":3638942.0,""ARKG"":3102601.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,4951171,298803169.85,3,ARKF|ARKK|ARKW,"{""ARKK"":3487546.0,""ARKW"":929120.0,""ARKF"":534505.0}"
67066G104,NVDA,NVIDIA CORP,equity,1194425,246815982.00,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":538192.0,""ARKQ"":299182.0,""ARKW"":139805.0,""ARKF"":88980.0,""ARKX"":128266.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,236657627.64,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2730605,234176684.80,2,ARKK|ARKW,"{""ARKK"":1974027.0,""ARKW"":756578.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4702623,231416077.83,3,ARKK|ARKQ|ARKX,"{""ARKK"":1390287.0,""ARKQ"":2299246.0,""ARKX"":1013090.0}"
852234103,XYZ,BLOCK INC,equity,2747151,225513625.59,3,ARKF|ARKK|ARKW,"{""ARKK"":1461609.0,""ARKW"":713169.0,""ARKF"":572373.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8393471,217474833.61,2,ARKG|ARKK,"{""ARKK"":6082959.0,""ARKG"":2310512.0}"
880770102,TER,TERADYNE INC,equity,561061,205236113.80,3,ARKK|ARKQ|ARKX,"{""ARKK"":146049.0,""ARKQ"":333269.0,""ARKX"":81743.0}"
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,447433,181707015.63,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":155148.0,""ARKQ"":165005.0,""ARKW"":93341.0,""ARKX"":33939.0}"
771049103,RBLX,ROBLOX CORP -CLASS A,equity,4689655,171969648.85,3,ARKF|ARKK|ARKW,"{""ARKK"":3346903.0,""ARKW"":922540.0,""ARKF"":420212.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,281548,166180891.52,3,ARKF|ARKK|ARKW,"{""ARKK"":155921.0,""ARKW"":81544.0,""ARKF"":44083.0}"
244199105,DE,DEERE & CO,equity,262633,158908722.98,3,ARKK|ARKQ|ARKX,"{""ARKK"":91113.0,""ARKQ"":103626.0,""ARKX"":67894.0}"
