cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2805275,836869638.00,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1757071.0,""ARKQ"":583759.0,""ARKW"":389267.0,""ARKX"":75178.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,4586331,516191554.05,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2525617.0,""ARKQ"":1014105.0,""ARKW"":501439.0,""ARKX"":545170.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1095972,470785732.32,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":469827.0,""ARKQ"":240888.0,""ARKW"":253148.0,""ARKF"":52407.0,""ARKX"":79702.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3333749,430620358.33,3,ARKF|ARKK|ARKW,"{""ARKK"":2135649.0,""ARKW"":631421.0,""ARKF"":566679.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7622104,363117034.56,2,ARKG|ARKK,"{""ARKK"":5539605.0,""ARKG"":2082499.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8634825,358776978.75,2,ARKG|ARKK,"{""ARKK"":6256639.0,""ARKG"":2378186.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2234600,357737114.00,3,ARKF|ARKK|ARKW,"{""ARKK"":1600096.0,""ARKW"":379592.0,""ARKF"":254912.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2787153,342819819.00,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1421317.0,""ARKQ"":571954.0,""ARKW"":365861.0,""ARKF"":244250.0,""ARKX"":183771.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,7162762,331779135.84,2,ARKG|ARKK,"{""ARKK"":4002636.0,""ARKG"":3160126.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,3652260,328119038.40,3,ARKF|ARKK|ARKW,"{""ARKK"":2358616.0,""ARKW"":853812.0,""ARKF"":439832.0}"
023135106,AMZN,AMAZON.COM INC,equity,1387513,314479821.45,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":609918.0,""ARKQ"":260214.0,""ARKW"":264773.0,""ARKF"":113794.0,""ARKX"":138814.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,4864393,298479154.48,3,ARKF|ARKK|ARKW,"{""ARKK"":3422850.0,""ARKW"":909396.0,""ARKF"":532147.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,883291,296573786.16,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":335518.0,""ARKQ"":269027.0,""ARKW"":184714.0,""ARKX"":94032.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3372386,288237831.42,2,ARKG|ARKK,"{""ARKK"":2029957.0,""ARKG"":1342429.0}"
771049103,RBLX,ROBLOX CORP -CLASS A,equity,5243640,262863673.20,3,ARKF|ARKK|ARKW,"{""ARKK"":3773423.0,""ARKW"":1044055.0,""ARKF"":426162.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,239999289.66,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
67066G104,NVDA,NVIDIA CORP,equity,1206291,229207352.91,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":543008.0,""ARKQ"":301978.0,""ARKW"":140993.0,""ARKF"":90240.0,""ARKX"":130072.0}"
852234103,XYZ,BLOCK INC,equity,2774400,228000192.00,3,ARKF|ARKK|ARKW,"{""ARKK"":1474685.0,""ARKW"":719237.0,""ARKF"":580478.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8490757,220929497.14,2,ARKG|ARKK,"{""ARKK"":6137405.0,""ARKG"":2353352.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4750835,208466639.80,3,ARKK|ARKQ|ARKX,"{""ARKK"":1402719.0,""ARKQ"":2320732.0,""ARKX"":1027384.0}"
880770102,TER,TERADYNE INC,equity,566625,180985691.25,3,ARKK|ARKQ|ARKX,"{""ARKK"":147351.0,""ARKQ"":336383.0,""ARKX"":82891.0}"
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,451631,169212586.77,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":156534.0,""ARKQ"":166547.0,""ARKW"":94135.0,""ARKX"":34415.0}"
244199105,DE,DEERE & CO,equity,268048,163763925.60,3,ARKK|ARKQ|ARKX,"{""ARKK"":91925.0,""ARKQ"":104592.0,""ARKX"":71531.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,257665,150891200.65,3,ARKF|ARKK|ARKW,"{""ARKK"":141161.0,""ARKW"":74521.0,""ARKF"":41983.0}"
452327109,ILMN,ILLUMINA INC,equity,765478,149130423.96,2,ARKG|ARKK,"{""ARKK"":398112.0,""ARKG"":367366.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,12877675,139078890.00,2,ARKG|ARKK,"{""ARKK"":10154445.0,""ARKG"":2723230.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2282579,138826454.78,2,ARKK|ARKW,"{""ARKK"":1650171.0,""ARKW"":632408.0}"
11135F101,AVGO,BROADCOM INC,equity,356453,132001674.96,3,ARKK|ARKQ|ARKW,"{""ARKK"":179359.0,""ARKQ"":82454.0,""ARKW"":94640.0}"
G16910120,BLSH,BULLISH,equity,5984536,130702266.24,3,ARKF|ARKK|ARKW,"{""ARKK"":4231493.0,""ARKW"":996632.0,""ARKF"":756411.0}"
09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,7727624,128201282.16,3,ARKF|ARKK|ARKW,"{""ARKK"":5456021.0,""ARKW"":1526737.0,""ARKF"":744866.0}"
03945R102,ACHR,ARCHER AVIATION INC-A,equity,28605300,128151744.00,3,ARKK|ARKQ|ARKX,"{""ARKK"":14189237.0,""ARKQ"":9242070.0,""ARKX"":5173993.0}"
632307104,NTRA,NATERA INC,equity,504816,128132397.12,2,ARKG|ARKK,"{""ARKK"":259622.0,""ARKG"":245194.0}"
502431109,LHX,L3HARRIS TECHNOLOGIES INC,equity,399212,118777546.36,3,ARKQ|ARKX|PRNT,"{""ARKQ"":203241.0,""ARKX"":192149.0,""PRNT"":3822.0}"
532457108,LLY,ELI LILLY & CO,equity,93514,113153810.28,2,ARKG|ARKK,"{""ARKK"":28686.0,""ARKG"":64828.0}"
15675D103,CBRS,CEREBRAS SYSTEMS INC - A,equity,650726,110226477.14,2,ARKK|ARKW,"{""ARKK"":505519.0,""ARKW"":145207.0}"
92337F107,VCYT,VERACYTE INC,equity,1909995,106405821.45,2,ARKG|ARKK,"{""ARKK"":1035855.0,""ARKG"":874140.0}"
98386P102,XE,X-ENERGY INC,equity,6797003,103790235.81,3,ARKK|ARKQ|ARKX,"{""ARKK"":4637131.0,""ARKQ"":1534340.0,""ARKX"":625532.0}"
75629V104,RXRX,RECURSION PHARMACEUTICALS-A,equity,34376158,102097189.26,2,ARKG|ARKK,"{""ARKK"":20449951.0,""ARKG"":13926207.0}"
773121108,RKLB UQ,ROCKET LAB,equity,1525425,89389905.00,2,ARKQ|ARKX,"{""ARKQ"":963550.0,""ARKX"":561875.0}"
05605H100,BWXT,BWX TECHNOLOGIES INC,equity,550555,86679379.20,3,ARKK|ARKQ|ARKX,"{""ARKK"":292855.0,""ARKQ"":183581.0,""ARKX"":74119.0}"
81663L200,WGS,GENEDX HOLDINGS CORP,equity,1341373,85425339.51,2,ARKG|ARKK,"{""ARKK"":885007.0,""ARKG"":456366.0}"
008073108,AVAV,AEROVIRONMENT INC,equity,573969,81572474.28,2,ARKQ|ARKX,"{""ARKQ"":340293.0,""ARKX"":233676.0}"
71535D106,PSNL,PERSONALIS INC,equity,6875660,80651491.80,1,ARKG,"{""ARKG"":6875660.0}"
MM0051EWE,,ARK BITCOIN ETF HOLDCO (ARKW),bitcoin_holdco,3775474,79492227.52,1,ARKW,"{""ARKW"":3775474.0}"
00091E109,ABSI,ABSCI CORP,equity,10504609,72481802.10,1,ARKG,"{""ARKG"":10504609.0}"
25809K105,DASH,DOORDASH INC - A,equity,366203,70871266.59,4,ARKF|ARKQ|ARKW|ARKX,"{""ARKQ"":144278.0,""ARKW"":94674.0,""ARKF"":57281.0,""ARKX"":69970.0}"
40131M109,GH,GUARDANT HEALTH INC,equity,465473,67060695.11,1,ARKG,"{""ARKG"":465473.0}"
896239100,TRMB,TRIMBLE INC,equity,1146792,66789166.08,2,ARKQ|ARKX,"{""ARKQ"":692000.0,""ARKX"":454792.0}"
833445109,SNOW,SNOWFLAKE INC,equity,213495,60397735.50,2,ARKK|ARKW,"{""ARKK"":142278.0,""ARKW"":71217.0}"
888787108,TOST,TOAST INC-CLASS A,equity,1849756,60302045.60,2,ARKF|ARKW,"{""ARKW"":720752.0,""ARKF"":1129004.0}"
22788C105,CRWD,CROWDSTRIKE HOLDINGS INC - A,equity,334879,60070595.02,2,ARKF|ARKW,"{""ARKW"":248388.0,""ARKF"":86491.0}"
14167L103,CDNA,CAREDX INC,equity,1563828,55375149.48,1,ARKG,"{""ARKG"":1563828.0}"
83406F102,SOFI,SOFI TECHNOLOGIES INC,equity,3405741,51937550.25,2,ARKF|ARKK,"{""ARKK"":2252387.0,""ARKF"":1153354.0}"
20451W101,CMPS,COMPASS PATHWAYS PLC,equity,4557902,49681131.80,1,ARKG,"{""ARKG"":4557902.0}"
23804L103,DDOG,DATADOG INC - CLASS A,equity,174070,45989294.00,1,ARKW,"{""ARKW"":174070.0}"
157085101,CERS,CERUS CORP,equity,15739346,45171923.02,2,ARKG|ARKK,"{""ARKK"":8364070.0,""ARKG"":7375276.0}"
MM005473T,,ARK BITCOIN ETF HOLDCO (ARKF),bitcoin_holdco,2096992,44143778.59,1,ARKF,"{""ARKF"":2096992.0}"
M3760D101,ESLT,ELBIT SYSTEMS LTD,equity,53347,41029177.70,2,ARKQ|ARKX,"{""ARKQ"":36443.0,""ARKX"":16904.0}"
00650F109,ADPT,ADAPTIVE BIOTECHNOLOGIES,equity,1812139,40881855.84,1,ARKG,"{""ARKG"":1812139.0}"
58733R102,MELI,MERCADOLIBRE INC,equity,21936,40873568.16,2,ARKF|ARKW,"{""ARKW"":8760.0,""ARKF"":13176.0}"
67080M103,NRIX,NURIX THERAPEUTICS INC,equity,1717482,40532575.20,1,ARKG,"{""ARKG"":1717482.0}"
46125A100,LUNR,INTUITIVE MACHINES INC,equity,3488594,39735085.66,2,ARKQ|ARKX,"{""ARKQ"":2414052.0,""ARKX"":1074542.0}"
