symbol,company,exchange,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,ark_mark,mark_drift_pct,total_market_value,funds,status
TSLA,TESLA INC,NASDAQ,339.3000,297.3800,498.8300,20.81,-31.98,14.10,339.3000,0.00,935588873.70,ARKK|ARKQ|ARKW|ARKX,ok
SPCX,SPACE EXPLORATION TECHN-CL A,NASDAQ,146.2300,104.8300,225.6400,34.27,-35.19,39.49,146.2300,0.00,704162083.66,ARKK|ARKQ|ARKW|ARKX,ok
AMD,ADVANCED MICRO DEVICES,NASDAQ,506.0000,149.2200,584.7300,81.92,-13.46,239.10,506.0000,0.00,516325436.00,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
TEM,TEMPUS AI INC-CL A,NASDAQ,51.6400,40.7700,104.3200,17.10,-50.50,26.66,51.6400,0.00,437204224.68,ARKG|ARKK,ok
PLTR,PALANTIR TECHNOLOGIES INC-A,NASDAQ,172.5500,106.3700,207.5200,65.43,-16.85,62.22,172.5500,0.00,434346483.55,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
CRCL,CIRCLE INTERNET GROUP INC,NYSE,74.5900,49.9000,159.4700,22.53,-53.23,49.48,74.5900,0.00,411589186.39,ARKF|ARKK|ARKW,ok
SHOP,SHOPIFY INC - CLASS A,NASDAQ,148.6500,94.0000,182.1900,61.97,-18.41,58.14,148.6500,0.00,410816721.15,ARKF|ARKK|ARKW,ok
CRSP,CRISPR THERAPEUTICS AG,NASDAQ,54.2800,44.1200,78.4800,29.57,-30.84,23.03,54.2800,0.00,404598343.36,ARKG|ARKK,ok
TWST,TWIST BIOSCIENCE CORP,NASDAQ,124.4100,23.3000,126.4000,98.07,-1.57,433.95,124.4100,-0.00,394959699.42,ARKG|ARKK,ok
AMZN,AMAZON.COM INC,NASDAQ,261.3100,196.0000,287.2000,71.61,-9.01,33.32,261.3100,0.00,375397946.00,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
TXG,10X GENOMICS INC-CLASS A,NASDAQ,57.9900,11.1600,60.6900,94.55,-4.45,419.62,57.9900,0.00,365108519.40,ARKG|ARKK,ok
COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,150.5500,139.1100,402.1600,4.35,-62.56,8.22,150.5500,0.00,349191692.00,ARKF|ARKK|ARKW,ok
HOOD,ROBINHOOD MARKETS INC - A,NASDAQ,96.2500,63.5150,153.8600,36.23,-37.44,51.54,96.2500,0.00,347082120.00,ARKF|ARKK|ARKW,ok
NVDA,NVIDIA CORP,NASDAQ,225.0100,164.0700,236.5400,84.09,-4.87,37.14,225.0100,0.00,334432813.02,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
GOOG,ALPHABET INC-CL C,NASDAQ,341.4500,197.4600,404.4700,69.56,-15.58,72.92,341.4500,0.00,295752039.25,ARKK|ARKQ|ARKW|ARKX,ok
KTOS,KRATOS DEFENSE & SECURITY,NASDAQ,63.2900,43.0900,134.0000,22.22,-52.77,46.88,63.2900,0.00,293101749.39,ARKK|ARKQ|ARKX,ok
CRWV,COREWEAVE INC-CL A,NASDAQ,106.0000,60.5500,153.2000,49.06,-30.81,75.06,106.0000,0.00,288373954.00,ARKK|ARKW,ok
XYZ,BLOCK INC,NYSE,80.2000,48.2100,86.7500,83.00,-7.55,66.36,80.2000,0.00,256496201.40,ARKF|ARKK|ARKW,ok
TER,TERADYNE INC,NASDAQ,443.1400,106.3000,487.9100,88.27,-9.18,316.88,443.1400,0.00,255920883.38,ARKK|ARKQ|ARKX,ok
BEAM,BEAM THERAPEUTICS INC,NASDAQ,27.1000,15.6000,38.2600,50.75,-29.17,73.72,27.1000,0.00,224994579.30,ARKG|ARKK,ok
CBRS,CEREBRAS SYSTEMS INC - A,NASDAQ,251.9800,160.8100,386.3400,40.42,-34.78,56.69,251.9800,0.00,205399481.16,ARKK|ARKW,ok
TSM,TAIWAN SEMICONDUCTOR-SP ADR,NYSE,430.9700,223.7000,479.0000,81.19,-10.03,92.66,430.9700,0.00,190733099.99,ARKK|ARKQ|ARKW|ARKX,ok
ACHR,ARCHER AVIATION INC-A,NYSE,6.3900,4.3000,14.6200,20.25,-56.29,48.60,6.3900,0.00,178781043.06,ARKK|ARKQ|ARKX,ok
META,META PLATFORMS INC-CLASS A,NASDAQ,568.9700,520.2600,790.8000,18.00,-28.05,9.36,568.9700,0.00,159741741.32,ARKF|ARKK|ARKW,ok
