trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-06-22,2026-06-22,2026-06-23,ARKX,new,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,0,725783,0,725783,,0.967925
2026-06-22,2026-06-22,2026-06-23,ARKF,new,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,0,220797,0,220797,,1.000000
2026-06-22,2026-06-22,2026-06-23,ARKK,buy,SPCX,SPACE EXPLORATION TECHN-CL A,84615Q103,1627127,1753180,1621344,131836,8.13,0.996446
2026-06-22,2026-06-22,2026-06-23,ARKK,buy,RBLX,ROBLOX CORP -CLASS A,771049103,3772956,4118619,3759547,359072,9.55,0.996446
2026-06-22,2026-06-22,2026-06-23,ARKK,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,34729176,47278658,34605748,12672910,36.62,0.996446
2026-06-22,2026-06-22,2026-06-23,ARKQ,buy,SPCX,SPACE EXPLORATION TECHN-CL A,84615Q103,736442,779928,736442,43486,5.90,1.000000
2026-06-22,2026-06-22,2026-06-23,ARKW,buy,RBLX,ROBLOX CORP -CLASS A,771049103,939980,1030840,939980,90860,9.67,1.000000
2026-06-22,2026-06-22,2026-06-23,ARKW,buy,SPCX,SPACE EXPLORATION TECHN-CL A,84615Q103,304730,326236,304730,21506,7.06,1.000000
2026-06-22,2026-06-22,2026-06-23,ARKX,buy,SPCX,SPACE EXPLORATION TECHN-CL A,84615Q103,502641,499783,486519,13264,2.73,0.967925
2026-06-22,2026-06-22,2026-06-23,ARKF,buy,RBLX,ROBLOX CORP -CLASS A,771049103,403177,442822,403177,39645,9.83,1.000000
2026-06-22,2026-06-22,2026-06-23,ARKQ,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,11067708,12906618,11067708,1838910,16.62,1.000000
2026-06-22,2026-06-22,2026-06-23,ARKG,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,665117,840780,665117,175663,26.41,1.000000
2026-06-22,2026-06-22,2026-06-23,ARKW,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,5511,98560,5511,93049,1688.42,1.000000
2026-06-22,2026-06-22,2026-06-23,IZRL,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,81534,107143,81534,25609,31.41,1.000000
2026-06-22,2026-06-22,2026-06-23,PRNT,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,313683,316252,313683,2569,0.82,1.000000
2026-06-22,2026-06-22,2026-06-23,ARKK,sell,ROKU,ROKU INC,77543R102,700070,619158,697582,-78424,-11.24,0.996446
2026-06-22,2026-06-22,2026-06-23,ARKW,sell,ROKU,ROKU INC,77543R102,393137,322499,393137,-70638,-17.97,1.000000
2026-06-22,2026-06-22,2026-06-23,ARKF,sell,ROKU,ROKU INC,77543R102,168146,154020,168146,-14126,-8.40,1.000000
2026-06-22,2026-06-22,2026-06-23,ARKG,sell,TWST,TWIST BIOSCIENCE CORP,90184D100,1544716,1524432,1544716,-20284,-1.31,1.000000
2026-06-22,2026-06-22,2026-06-23,ARKQ,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,2262685,2158194,2262685,-104491,-4.62,1.000000
2026-06-22,2026-06-22,2026-06-23,ARKX,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,1755481,1617416,1699175,-81759,-4.81,0.967925
