cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2584388,1024399715.44,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1633138.0,""ARKQ"":558808.0,""ARKW"":325378.0,""ARKX"":67064.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1316847,674857750.56,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":599968.0,""ARKQ"":280668.0,""ARKW"":272577.0,""ARKF"":54451.0,""ARKX"":109183.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,3244298,622321242.36,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1672435.0,""ARKQ"":736442.0,""ARKW"":304730.0,""ARKX"":530691.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,4621111,486140877.20,3,ARKF|ARKK|ARKW,"{""ARKK"":3194181.0,""ARKW"":969906.0,""ARKF"":457024.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,8188615,434733570.35,2,ARKG|ARKK,"{""ARKK"":6247628.0,""ARKG"":1940987.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8784436,428592632.44,2,ARKG|ARKK,"{""ARKK"":6739756.0,""ARKG"":2044680.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3836437,414680475.33,3,ARKF|ARKK|ARKW,"{""ARKK"":2563318.0,""ARKW"":656925.0,""ARKF"":616194.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2795091,365122737.33,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1416078.0,""ARKQ"":593134.0,""ARKW"":325963.0,""ARKF"":231980.0,""ARKX"":227936.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,4352996,360732778.52,2,ARKG|ARKK,"{""ARKK"":2736510.0,""ARKG"":1616486.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2179283,359396455.95,3,ARKF|ARKK|ARKW,"{""ARKK"":1592267.0,""ARKW"":339490.0,""ARKF"":247526.0}"
023135106,AMZN,AMAZON.COM INC,equity,1451346,344694675.00,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":643065.0,""ARKQ"":269850.0,""ARKW"":254334.0,""ARKF"":112008.0,""ARKX"":172089.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,922175,333919567.50,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":349065.0,""ARKQ"":278987.0,""ARKW"":177585.0,""ARKX"":116538.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,4085560,329255280.40,3,ARKF|ARKK|ARKW,"{""ARKK"":2917834.0,""ARKW"":702190.0,""ARKF"":465536.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8785140,285341347.20,2,ARKG|ARKK,"{""ARKK"":6744089.0,""ARKG"":2041051.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,8832016,283772674.08,2,ARKG|ARKK,"{""ARKK"":5886650.0,""ARKG"":2945366.0}"
77543R102,ROKU,ROKU INC,equity,2017741,277015661.89,3,ARKF|ARKK|ARKW,"{""ARKK"":1297021.0,""ARKW"":546142.0,""ARKF"":174578.0}"
880770102,TER,TERADYNE INC,equity,616014,251678679.84,3,ARKK|ARKQ|ARKX,"{""ARKK"":161859.0,""ARKQ"":348839.0,""ARKX"":105316.0}"
771049103,RBLX,ROBLOX CORP -CLASS A,equity,5221205,250722264.10,3,ARKF|ARKK|ARKW,"{""ARKK"":3878048.0,""ARKW"":939980.0,""ARKF"":403177.0}"
67066G104,NVDA,NVIDIA CORP,equity,1218664,249399587.60,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":549713.0,""ARKQ"":299187.0,""ARKW"":127377.0,""ARKF"":88073.0,""ARKX"":154314.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4378452,245893864.32,3,ARKK|ARKQ|ARKX,"{""ARKK"":1124195.0,""ARKQ"":2092404.0,""ARKX"":1161853.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2126912,245041531.52,2,ARKK|ARKW,"{""ARKK"":1551939.0,""ARKW"":574973.0}"
