symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2578352,964329431.52,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1602040;ARKQ=547167;ARKW=364411;ARKX=64734
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,1101321,608292627.93,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=53137;ARKK=467451;ARKQ=244603;ARKW=254216;ARKX=81914
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,4247417,489557283.42,4,ARKK|ARKQ|ARKW|ARKX,ARKK=2283829;ARKQ=962670;ARKW=472659;ARKX=528259
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,8574253,402646920.88,2,ARKG|ARKK,ARKG=2349326;ARKK=6224927
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,3849894,402236925.12,3,ARKF|ARKK|ARKW,ARKF=445972;ARKK=2493785;ARKW=910137
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,3387290,401122881.80,3,ARKF|ARKK|ARKW,ARKF=574589;ARKK=2178616;ARKW=634085
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2231641,370720202.92,3,ARKF|ARKK|ARKW,ARKF=258472;ARKK=1591976;ARKW=381193
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,7713965,364407706.60,2,ARKG|ARKK,ARKG=2057229;ARKK=5656736
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2798841,348651623.37,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=247660;ARKK=1414117;ARKQ=580779;ARKW=367404;ARKX=188881
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,7378375,347152543.75,2,ARKG|ARKK,ARKG=3121776;ARKK=4256599
AMZN,NASDAQ,023135106,AMAZON.COM INC,1409884,345210097.40,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=115379;ARKK=621722;ARKQ=264229;ARKW=265890;ARKX=142664
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,3445241,324576154.61,2,ARKG|ARKK,ARKG=1326139;ARKK=2119102
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,4727692,312784102.72,3,ARKF|ARKK|ARKW,ARKF=528065;ARKK=3312666;ARKW=886961
GOOG,NASDAQ,02079K107,ALPHABET INC-CL C,889128,304001754.48,4,ARKK|ARKQ|ARKW|ARKX,ARKK=333822;ARKQ=273177;ARKW=185493;ARKX=96636
RBLX,NYSE,771049103,ROBLOX CORP -CLASS A,5327241,264444243.24,3,ARKF|ARKK|ARKW,ARKF=432112;ARKK=3846669;ARKW=1048460
NVDA,NASDAQ,67066G104,NVIDIA CORP,1134069,240490672.14,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=85949;ARKK=497725;ARKQ=292957;ARKW=129553;ARKX=127885
