cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2587155,985292110.20,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1609180.0,""ARKQ"":548830.0,""ARKW"":364411.0,""ARKX"":64734.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1112288,551427898.88,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":475337.0,""ARKQ"":245346.0,""ARKW"":256554.0,""ARKF"":53137.0,""ARKX"":81914.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,3967746,491960826.54,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2119498.0,""ARKQ"":908732.0,""ARKW"":434434.0,""ARKX"":505082.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3600715,444904345.40,3,ARKF|ARKK|ARKW,"{""ARKK"":2331272.0,""ARKW"":668153.0,""ARKF"":601290.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8432944,442476571.68,2,ARKG|ARKK,"{""ARKK"":6129654.0,""ARKG"":2303290.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,4026645,402503434.20,3,ARKF|ARKK|ARKW,"{""ARKK"":2647294.0,""ARKW"":933379.0,""ARKF"":445972.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2806906,371578216.28,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1420417.0,""ARKQ"":582544.0,""ARKW"":367404.0,""ARKF"":247660.0,""ARKX"":188881.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7756875,370623487.50,2,ARKG|ARKK,"{""ARKK"":5681957.0,""ARKG"":2074918.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2238732,351749571.84,3,ARKF|ARKK|ARKW,"{""ARKK"":1599067.0,""ARKW"":381193.0,""ARKF"":258472.0}"
023135106,AMZN,AMAZON.COM INC,equity,1413459,349449468.57,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":624494.0,""ARKQ"":265032.0,""ARKW"":265890.0,""ARKF"":115379.0,""ARKX"":142664.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,7451410,325924673.40,2,ARKG|ARKK,"{""ARKK"":4302789.0,""ARKG"":3148621.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3466087,325292264.95,2,ARKG|ARKK,"{""ARKK"":2128545.0,""ARKG"":1337542.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,891442,308545905.04,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":335306.0,""ARKQ"":274007.0,""ARKW"":185493.0,""ARKX"":96636.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,4742455,286728829.30,3,ARKF|ARKK|ARKW,"{""ARKK"":3327429.0,""ARKW"":886961.0,""ARKF"":528065.0}"
771049103,RBLX,ROBLOX CORP -CLASS A,equity,5344391,276198126.88,3,ARKF|ARKK|ARKW,"{""ARKK"":3863819.0,""ARKW"":1048460.0,""ARKF"":432112.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,239999289.66,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8478300,233407599.00,2,ARKG|ARKK,"{""ARKK"":6133516.0,""ARKG"":2344784.0}"
67066G104,NVDA,NVIDIA CORP,equity,1137178,230631070.18,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":499944.0,""ARKQ"":293847.0,""ARKW"":129553.0,""ARKF"":85949.0,""ARKX"":127885.0}"
852234103,XYZ,BLOCK INC,equity,2826184,225925148.96,3,ARKF|ARKK|ARKW,"{""ARKK"":1515330.0,""ARKW"":722271.0,""ARKF"":588583.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4609550,212177586.50,3,ARKK|ARKQ|ARKX,"{""ARKK"":1274709.0,""ARKQ"":2304279.0,""ARKX"":1030562.0}"
880770102,TER,TERADYNE INC,equity,577209,186066207.20,3,ARKK|ARKQ|ARKX,"{""ARKK"":147258.0,""ARKQ"":342611.0,""ARKX"":87340.0}"
244199105,DE,DEERE & CO,equity,306143,182840845.32,3,ARKK|ARKQ|ARKX,"{""ARKK"":106313.0,""ARKQ"":121223.0,""ARKX"":78607.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2284202,167226428.42,2,ARKK|ARKW,"{""ARKK"":1649126.0,""ARKW"":635076.0}"
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,417820,166446953.40,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":134929.0,""ARKQ"":162378.0,""ARKW"":88262.0,""ARKX"":32251.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,13698108,155815978.50,2,ARKG|ARKK,"{""ARKK"":10837850.0,""ARKG"":2860258.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,230321,148789669.21,3,ARKF|ARKK|ARKW,"{""ARKK"":122464.0,""ARKW"":68183.0,""ARKF"":39674.0}"
452327109,ILMN,ILLUMINA INC,equity,782873,146123245.45,2,ARKG|ARKK,"{""ARKK"":416842.0,""ARKG"":366031.0}"
