cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2724490,978010175.30,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1706986.0,""ARKQ"":563948.0,""ARKW"":382699.0,""ARKX"":70857.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,4955117,734100583.55,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2801518.0,""ARKQ"":1053214.0,""ARKW"":557134.0,""ARKX"":543251.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,5343745,520587637.90,3,ARKF|ARKK|ARKW,"{""ARKK"":3803275.0,""ARKW"":946898.0,""ARKF"":593572.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,7482800,465504988.00,2,ARKG|ARKK,"{""ARKK"":5108857.0,""ARKG"":2373943.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2254766,431674950.70,3,ARKF|ARKK|ARKW,"{""ARKK"":1614307.0,""ARKW"":384225.0,""ARKF"":256234.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,3595099,411027668.67,3,ARKF|ARKK|ARKW,"{""ARKK"":2346905.0,""ARKW"":814502.0,""ARKF"":433692.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7564645,400623599.20,2,ARKG|ARKK,"{""ARKK"":5502661.0,""ARKG"":2061984.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,5510159,386317247.49,2,ARKG|ARKK,"{""ARKK"":2970529.0,""ARKG"":2539630.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,2783654,375097376.50,2,ARKG|ARKK,"{""ARKK"":1588624.0,""ARKG"":1195030.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2100194,363984622.14,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":982335.0,""ARKQ"":496166.0,""ARKW"":271958.0,""ARKF"":192421.0,""ARKX"":157314.0}"
67066G104,NVDA,NVIDIA CORP,equity,1712948,361363510.08,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":741026.0,""ARKQ"":428976.0,""ARKW"":281072.0,""ARKF"":111999.0,""ARKX"":149875.0}"
023135106,AMZN,AMAZON.COM INC,equity,1399684,354875881.36,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":610856.0,""ARKQ"":264140.0,""ARKW"":271568.0,""ARKF"":117160.0,""ARKX"":135960.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,710339,350488365.99,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":326527.0,""ARKQ"":155626.0,""ARKW"":136636.0,""ARKF"":26224.0,""ARKX"":65326.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,2427118,324966829.02,3,ARKF|ARKK|ARKW,"{""ARKK"":1492131.0,""ARKW"":512860.0,""ARKF"":422127.0}"
852234103,XYZ,BLOCK INC,equity,3642461,289539224.89,3,ARKF|ARKK|ARKW,"{""ARKK"":2004916.0,""ARKW"":847017.0,""ARKF"":790528.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,817838,282734774.98,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":287705.0,""ARKQ"":259897.0,""ARKW"":181598.0,""ARKX"":88638.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,236657627.64,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,331700,220779520.00,3,ARKF|ARKK|ARKW,"{""ARKK"":190981.0,""ARKW"":96636.0,""ARKF"":44083.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4577630,217803635.40,3,ARKK|ARKQ|ARKX,"{""ARKK"":1362759.0,""ARKQ"":2241950.0,""ARKX"":972921.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2620122,217417723.56,2,ARKK|ARKW,"{""ARKK"":1869982.0,""ARKW"":750140.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8781234,211803364.08,2,ARKG|ARKK,"{""ARKK"":6346390.0,""ARKG"":2434844.0}"
G16910120,BLSH,BULLISH,equity,5565694,209381408.28,3,ARKF|ARKK|ARKW,"{""ARKK"":3959092.0,""ARKW"":860751.0,""ARKF"":745851.0}"
15675D103,CBRS,CEREBRAS SYSTEMS INC - A,equity,1116230,202272038.30,2,ARKK|ARKW,"{""ARKK"":875263.0,""ARKW"":240967.0}"
11135F101,AVGO,BROADCOM INC,equity,554849,191267547.28,3,ARKK|ARKQ|ARKW,"{""ARKK"":310711.0,""ARKQ"":121203.0,""ARKW"":122935.0}"
