cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2591445,1037847808.05,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1632909.0,""ARKQ"":558808.0,""ARKW"":336195.0,""ARKX"":63533.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1294843,695809782.91,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":583706.0,""ARKQ"":280668.0,""ARKW"":272577.0,""ARKF"":54451.0,""ARKX"":103441.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,3170940,586623900.00,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1627127.0,""ARKQ"":736442.0,""ARKW"":304730.0,""ARKX"":502641.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,4534537,490410176.55,3,ARKF|ARKK|ARKW,"{""ARKK"":3107607.0,""ARKW"":969906.0,""ARKF"":457024.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8609780,437721215.20,2,ARKG|ARKK,"{""ARKK"":6557114.0,""ARKG"":2052666.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,8026855,434172586.95,2,ARKG|ARKK,"{""ARKK"":6078287.0,""ARKG"":1948568.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3766971,410034793.35,3,ARKF|ARKK|ARKW,"{""ARKK"":2493852.0,""ARKW"":656925.0,""ARKF"":616194.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,4207060,368370173.60,2,ARKG|ARKK,"{""ARKK"":2662344.0,""ARKG"":1544716.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2744694,352610838.18,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1377726.0,""ARKQ"":593134.0,""ARKW"":325963.0,""ARKF"":231980.0,""ARKX"":215891.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2136137,348745726.62,3,ARKF|ARKK|ARKW,"{""ARKK"":1549121.0,""ARKW"":339490.0,""ARKF"":247526.0}"
023135106,AMZN,AMAZON.COM INC,equity,1424881,348226667.59,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":625675.0,""ARKQ"":269850.0,""ARKW"":254334.0,""ARKF"":112008.0,""ARKX"":163014.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,906590,333135561.40,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":339618.0,""ARKQ"":278987.0,""ARKW"":177585.0,""ARKX"":110400.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,4006506,321441976.38,3,ARKF|ARKK|ARKW,"{""ARKK"":2838780.0,""ARKW"":702190.0,""ARKF"":465536.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,8684003,301812524.27,2,ARKG|ARKK,"{""ARKK"":5727132.0,""ARKG"":2956871.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8610328,293956597.92,2,ARKG|ARKK,"{""ARKK"":6561306.0,""ARKG"":2049022.0}"
