cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2547109,956515842.77,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1591339.0,""ARKQ"":557145.0,""ARKW"":339051.0,""ARKX"":59574.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1265609,657787621.66,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":562946.0,""ARKQ"":279833.0,""ARKW"":271413.0,""ARKF"":54451.0,""ARKX"":96966.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,3283430,507421272.20,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1696912.0,""ARKQ"":777607.0,""ARKW"":324842.0,""ARKX"":484069.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8392571,435910137.74,2,ARKG|ARKK,"{""ARKK"":6323954.0,""ARKG"":2068617.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3675484,419630008.28,3,ARKF|ARKK|ARKW,"{""ARKK"":2405172.0,""ARKW"":654118.0,""ARKF"":616194.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,4315899,419462223.81,3,ARKF|ARKK|ARKW,"{""ARKK"":2893113.0,""ARKW"":965762.0,""ARKF"":457024.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7805621,417991004.55,2,ARKG|ARKK,"{""ARKK"":5862107.0,""ARKG"":1943514.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,4058456,370739955.60,2,ARKG|ARKK,"{""ARKK"":2567664.0,""ARKG"":1490792.0}"
023135106,AMZN,AMAZON.COM INC,equity,1431010,335242712.70,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":630587.0,""ARKQ"":269047.0,""ARKW"":260305.0,""ARKF"":118232.0,""ARKX"":152839.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,909179,313703122.16,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":345906.0,""ARKQ"":278157.0,""ARKW"":181598.0,""ARKX"":103518.0}"
