cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,3196237,1214953608.44,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2168881.0,""ARKQ"":563948.0,""ARKW"":392551.0,""ARKX"":70857.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,5727668,849756824.48,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":3559723.0,""ARKQ"":1053214.0,""ARKW"":571480.0,""ARKX"":543251.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8816399,675247999.41,2,ARKG|ARKK,"{""ARKK"":6401016.0,""ARKG"":2415383.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,6417495,588612641.40,3,ARKF|ARKK|ARKW,"{""ARKK"":4832475.0,""ARKW"":971276.0,""ARKF"":613744.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2710355,537002636.15,3,ARKF|ARKK|ARKW,"{""ARKK"":2051302.0,""ARKW"":394119.0,""ARKF"":264934.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,4226656,518610691.20,3,ARKF|ARKK|ARKW,"{""ARKK"":2981855.0,""ARKW"":811109.0,""ARKF"":433692.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3199808,507169568.00,2,ARKG|ARKK,"{""ARKK"":2018564.0,""ARKG"":1181244.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,9090074,506862526.24,2,ARKG|ARKK,"{""ARKK"":6992096.0,""ARKG"":2097978.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,802723,493361583.03,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":414507.0,""ARKQ"":155626.0,""ARKW"":140152.0,""ARKF"":27112.0,""ARKX"":65326.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,6279731,474873258.22,2,ARKG|ARKK,"{""ARKK"":3774384.0,""ARKG"":2505347.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2379336,456332851.44,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1247935.0,""ARKQ"":496166.0,""ARKW"":278960.0,""ARKF"":198961.0,""ARKX"":157314.0}"
67066G104,NVDA,NVIDIA CORP,equity,1924433,433978885.83,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":941471.0,""ARKQ"":428976.0,""ARKW"":288308.0,""ARKF"":115803.0,""ARKX"":149875.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,2858459,406873054.06,3,ARKF|ARKK|ARKW,"{""ARKK"":1895926.0,""ARKW"":526066.0,""ARKF"":436467.0}"
023135106,AMZN,AMAZON.COM INC,equity,1575816,392803654.32,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":776026.0,""ARKQ"":264140.0,""ARKW"":278558.0,""ARKF"":121132.0,""ARKX"":135960.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,435789,324270594.90,3,ARKF|ARKK|ARKW,"{""ARKK"":272015.0,""ARKW"":112460.0,""ARKF"":51314.0}"
852234103,XYZ,BLOCK INC,equity,4233544,316161065.92,3,ARKF|ARKK|ARKW,"{""ARKK"":2547321.0,""ARKW"":868827.0,""ARKF"":817396.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,900117,301521192.66,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":365310.0,""ARKQ"":259897.0,""ARKW"":186272.0,""ARKX"":88638.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,3399244,295394303.60,2,ARKK|ARKW,"{""ARKK"":2582575.0,""ARKW"":816669.0}"
15675D103,CBRS,CEREBRAS SYSTEMS INC - A,equity,1358984,278917876.16,2,ARKK|ARKW,"{""ARKK"":1111813.0,""ARKW"":247171.0}"
G16910120,BLSH,BULLISH,equity,6684732,268124600.52,3,ARKF|ARKK|ARKW,"{""ARKK"":5030622.0,""ARKW"":882915.0,""ARKF"":771195.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,10715545,261137831.65,2,ARKG|ARKK,"{""ARKK"":8064075.0,""ARKG"":2651470.0}"
09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,8796946,241564137.16,3,ARKF|ARKK|ARKW,"{""ARKK"":6497901.0,""ARKW"":1539619.0,""ARKF"":759426.0}"
880770102,TER,TERADYNE INC,equity,616747,240000927.58,3,ARKK|ARKQ|ARKX,"{""ARKK"":213647.0,""ARKQ"":324965.0,""ARKX"":78135.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,236657627.64,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
773121108,RKLB UQ,ROCKET LAB,equity,3346944,235323632.64,3,ARKK|ARKQ|ARKX,"{""ARKK"":1559649.0,""ARKQ"":1151191.0,""ARKX"":636104.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4946150,228314284.00,3,ARKK|ARKQ|ARKX,"{""ARKK"":1731279.0,""ARKQ"":2241950.0,""ARKX"":972921.0}"
11135F101,AVGO,BROADCOM INC,equity,641841,227847136.59,3,ARKK|ARKQ|ARKW,"{""ARKK"":394541.0,""ARKQ"":121203.0,""ARKW"":126097.0}"
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,481429,214991748.53,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":193164.0,""ARKQ"":160893.0,""ARKW"":94929.0,""ARKX"":32443.0}"
452327109,ILMN,ILLUMINA INC,equity,781750,199643315.00,2,ARKG|ARKK,"{""ARKK"":417944.0,""ARKG"":363806.0}"
632307104,NTRA,NATERA INC,equity,501251,195883878.29,2,ARKG|ARKK,"{""ARKK"":258433.0,""ARKG"":242818.0}"
03945R102,ACHR,ARCHER AVIATION INC-A,equity,32047456,182990973.76,3,ARKK|ARKQ|ARKX,"{""ARKK"":18243451.0,""ARKQ"":8928306.0,""ARKX"":4875699.0}"
18915M107,NET,CLOUDFLARE INC - CLASS A,equity,506840,178574937.20,3,ARKF|ARKK|ARKW,"{""ARKK"":346987.0,""ARKW"":128351.0,""ARKF"":31502.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,12432232,153289420.56,2,ARKG|ARKK,"{""ARKK"":9839063.0,""ARKG"":2593169.0}"
81663L200,WGS,GENEDX HOLDINGS CORP,equity,1695351,144443905.20,2,ARKG|ARKK,"{""ARKK"":1188658.0,""ARKG"":506693.0}"
75629V104,RXRX,RECURSION PHARMACEUTICALS-A,equity,39035788,144432415.60,2,ARKG|ARKK,"{""ARKK"":25244781.0,""ARKG"":13791007.0}"
PPKALSHIC,,KALSHI INC.,private,126594,134997327.44,3,ARKF|ARKK|ARKW,"{""ARKK"":90024.0,""ARKW"":25318.0,""ARKF"":11252.0}"
X9USDGSFT,,GOLDMAN FS TRSY OBLIG INST 468,cash,131730285,131730285.21,8,ARKF|ARKG|ARKK|ARKQ|ARKW|ARKX|IZRL|PRNT,"{""ARKK"":106846376.0,""ARKQ"":3327653.0,""ARKW"":4613706.0,""ARKG"":8268273.0,""ARKF"":4694463.0,""ARKX"":1087880.0,""PRNT"":298869.0,""IZRL"":2593065.0}"
98386P102,XE,X-ENERGY INC,equity,7800850,127777923.00,3,ARKK|ARKQ|ARKX,"{""ARKK"":5727171.0,""ARKQ"":1483627.0,""ARKX"":590052.0}"
532457108,LLY,ELI LILLY & CO,equity,99550,114581054.50,2,ARKG|ARKK,"{""ARKK"":35346.0,""ARKG"":64204.0}"
92337F107,VCYT,VERACYTE INC,equity,2600049,113934147.18,2,ARKG|ARKK,"{""ARKK"":1561566.0,""ARKG"":1038483.0}"
71535D106,PSNL,PERSONALIS INC,equity,6640689,108575265.15,1,ARKG,"{""ARKG"":6640689.0}"
05605H100,BWXT,BWX TECHNOLOGIES INC,equity,747705,106032046.05,3,ARKK|ARKQ|ARKX,"{""ARKK"":465622.0,""ARKQ"":202133.0,""ARKX"":79950.0}"
244199105,DE,DEERE & CO,equity,145569,103278294.12,2,ARKQ|ARKX,"{""ARKQ"":82537.0,""ARKX"":63032.0}"
00091E109,ABSI,ABSCI CORP,equity,10402625,101373580.63,1,ARKG,"{""ARKG"":10402625.0}"
40131M109,GH,GUARDANT HEALTH INC,equity,572771,100985255.01,1,ARKG,"{""ARKG"":572771.0}"
502431109,LHX,L3HARRIS TECHNOLOGIES INC,equity,417275,99816352.75,3,ARKQ|ARKX|PRNT,"{""ARKQ"":216314.0,""ARKX"":197139.0,""PRNT"":3822.0}"
008073108,AVAV,AEROVIRONMENT INC,equity,587016,91539275.04,2,ARKQ|ARKX,"{""ARKQ"":342070.0,""ARKX"":244946.0}"
14167L103,CDNA,CAREDX INC,equity,1479463,80349635.53,1,ARKG,"{""ARKG"":1479463.0}"
MM0051EWE,,ARK BITCOIN ETF HOLDCO (ARKW),bitcoin_holdco,2712654,76035420.35,1,ARKW,"{""ARKW"":2712654.0}"
