symbol,company,exchange,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,ark_mark,mark_drift_pct,total_market_value,funds,status
TSLA,TESLA INC,NASDAQ,348.7500,297.3800,498.8300,25.50,-30.09,17.27,354.8100,-1.71,961730245.50,ARKK|ARKQ|ARKW|ARKX,ok
SPCX,SPACE EXPLORATION TECHN-CL A,NASDAQ,141.5000,104.8300,225.6400,30.35,-37.29,34.98,140.8700,0.45,694760979.10,ARKK|ARKQ|ARKW|ARKX,ok
TEM,TEMPUS AI INC-CL A,NASDAQ,64.0400,40.7700,104.3200,36.62,-38.61,57.08,70.6900,-9.41,583849351.48,ARKG|ARKK,ok
CRCL,CIRCLE INTERNET GROUP INC,NYSE,87.1400,49.9000,159.4700,33.99,-45.36,74.63,94.2400,-7.53,510718130.40,ARKF|ARKK|ARKW,ok
TWST,TWIST BIOSCIENCE CORP,NASDAQ,141.3800,23.3000,155.4400,89.36,-9.05,506.78,153.1000,-7.66,465824815.80,ARKG|ARKK,ok
CRSP,CRISPR THERAPEUTICS AG,NASDAQ,57.7200,44.1200,78.4800,39.58,-26.45,30.83,59.3700,-2.78,445330332.84,ARKG|ARKK,ok
AMD,ADVANCED MICRO DEVICES,NASDAQ,465.5800,149.2200,584.7300,72.64,-20.38,212.01,476.6700,-2.33,439422052.86,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,178.6400,139.1100,402.1600,15.03,-55.58,28.42,190.7200,-6.33,434456154.88,ARKF|ARKK|ARKW,ok
PLTR,PALANTIR TECHNOLOGIES INC-A,NASDAQ,186.2900,106.3700,207.5200,79.01,-10.23,75.13,185.9300,0.19,428671097.43,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
SHOP,SHOPIFY INC - CLASS A,NASDAQ,152.9000,94.0000,182.1900,66.79,-16.08,62.66,154.3300,-0.93,406057971.66,ARKF|ARKK|ARKW,ok
TXG,10X GENOMICS INC-CLASS A,NASDAQ,61.5400,11.1600,66.9400,90.32,-8.07,451.43,64.8500,-5.10,399415430.10,ARKG|ARKK,ok
HOOD,ROBINHOOD MARKETS INC - A,NASDAQ,104.2600,63.5150,153.8600,45.10,-32.24,64.15,109.7600,-5.01,386592171.84,ARKF|ARKK|ARKW,ok
AMZN,AMAZON.COM INC,NASDAQ,266.4300,196.0000,287.2000,77.23,-7.23,35.93,256.2600,3.97,362632244.70,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
NVDA,NVIDIA CORP,NASDAQ,217.5500,164.0700,236.5400,73.80,-8.03,32.60,227.9800,-4.57,333629807.66,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
GOOG,ALPHABET INC-CL C,NASDAQ,342.8800,206.9600,404.4700,68.82,-15.23,65.67,337.7100,1.53,288377998.62,ARKK|ARKQ|ARKW|ARKX,ok
XYZ,BLOCK INC,NYSE,83.5700,48.2100,86.9200,91.35,-3.85,73.35,84.8500,-1.51,268840182.45,ARKF|ARKK|ARKW,ok
BEAM,BEAM THERAPEUTICS INC,NASDAQ,29.3200,16.0200,38.2600,59.80,-23.37,83.02,30.4800,-3.81,254764336.80,ARKG|ARKK,ok
KTOS,KRATOS DEFENSE & SECURITY,NASDAQ,52.0000,43.0900,134.0000,9.80,-61.19,20.68,53.6900,-3.15,244850184.67,ARKK|ARKQ|ARKX,ok
CRWV,COREWEAVE INC-CL A,NASDAQ,84.2300,60.5500,153.2000,25.56,-45.02,39.11,86.8000,-2.96,231807732.80,ARKK|ARKW,ok
TER,TERADYNE INC,NASDAQ,354.9700,109.5600,487.9100,64.86,-27.25,224.00,372.0600,-4.59,212068991.16,ARKK|ARKQ|ARKX,ok
CBRS,CEREBRAS SYSTEMS INC - A,NASDAQ,179.0800,160.8100,386.3400,8.10,-53.65,11.36,186.6700,-4.07,201082044.02,ARKK|ARKW,ok
BMNR,BITMINE IMMERSION TECHNOLOGI,NYSE,23.8000,12.8000,65.6000,20.83,-63.72,85.94,25.6300,-7.14,191239090.79,ARKF|ARKK|ARKW,ok
BLSH,BULLISH,NYSE,32.8900,20.5500,74.9800,22.67,-56.13,60.05,33.5600,-2.00,190328995.80,ARKF|ARKK|ARKW,ok
TSM,TAIWAN SEMICONDUCTOR-SP ADR,NYSE,417.5200,225.6300,479.0000,75.74,-12.84,85.05,427.3000,-2.29,186718562.90,ARKK|ARKQ|ARKW|ARKX,ok
AVGO,BROADCOM INC,NASDAQ,368.7900,287.1700,495.0000,39.27,-25.50,28.42,371.5400,-0.74,184702937.12,ARKK|ARKQ|ARKW,ok
ILMN,ILLUMINA INC,NASDAQ,215.5900,88.0000,231.8100,88.72,-7.00,144.99,227.6900,-5.31,163453414.13,ARKG|ARKK,ok
ACHR,ARCHER AVIATION INC-A,NYSE,5.7500,4.3000,14.6200,14.05,-60.67,33.72,5.9300,-3.04,162854243.89,ARKK|ARKQ|ARKX,ok
NTLA,INTELLIA THERAPEUTICS INC,NASDAQ,12.8700,7.9500,28.2500,24.24,-54.44,61.89,13.1100,-1.83,162664999.44,ARKG|ARKK,ok
META,META PLATFORMS INC-CLASS A,NASDAQ,578.0200,520.2600,790.8000,21.35,-26.91,11.10,571.1000,1.21,158050211.70,ARKF|ARKK|ARKW,ok
NTRA,NATERA INC,NASDAQ,326.2600,157.4250,343.1800,90.89,-4.93,107.25,338.7000,-3.67,157438598.40,ARKG|ARKK,ok
RKLB,ROCKET LAB,NASDAQ,64.3900,37.5700,151.0000,23.64,-57.36,71.39,67.5300,-4.65,135863809.59,ARKK|ARKQ|ARKX,ok
WGS,GENEDX HOLDINGS CORP,NASDAQ,86.3350,32.2100,170.8700,39.03,-49.47,168.04,89.2400,-3.26,132935652.08,ARKG|ARKK,ok
NET,CLOUDFLARE INC - CLASS A,NYSE,299.8400,158.8300,332.2200,81.33,-9.75,88.78,308.2300,-2.72,131540543.03,ARKF|ARKK|ARKW,ok
XE,X-ENERGY INC,NASDAQ,17.2200,13.2900,37.1000,16.51,-53.58,29.57,18.4700,-6.77,120786227.30,ARKK|ARKQ|ARKX,ok
PSNL,PERSONALIS INC,NASDAQ,17.0700,4.6710,18.8900,87.20,-9.63,265.45,16.8000,1.61,120277180.80,ARKG,ok
RXRX,RECURSION PHARMACEUTICALS-A,NASDAQ,3.3400,2.7700,7.1800,12.93,-53.48,20.58,3.4400,-2.91,117600448.88,ARKG|ARKK,ok
LLY,ELI LILLY & CO,NYSE,1174.6100,712.0500,1292.6500,79.67,-9.13,64.96,1176.1000,-0.13,111851814.40,ARKG|ARKK,ok
LHX,L3HARRIS TECHNOLOGIES INC,NYSE,262.8200,258.5400,379.2300,3.55,-30.70,1.66,261.9800,0.32,109317704.50,ARKQ|ARKX|PRNT,ok
ABSI,ABSCI CORP,NASDAQ,8.7100,2.2400,12.0550,65.92,-27.75,288.84,9.4200,-7.54,103036346.22,ARKG,ok
BWXT,BWX TECHNOLOGIES INC,NYSE,152.8500,147.7400,241.8200,5.43,-36.79,3.46,155.8500,-1.92,100550367.90,ARKK|ARKQ|ARKX,ok
DE,DEERE & CO,NYSE,630.3300,433.0000,674.1900,81.82,-6.51,45.57,622.6600,1.23,93239599.04,ARKQ|ARKX,ok
VCYT,VERACYTE INC,NASDAQ,43.3400,29.3750,60.9100,44.28,-28.85,47.54,45.2500,-4.22,88469361.00,ARKG|ARKK,ok
DASH,DOORDASH INC - A,NASDAQ,236.7400,143.3000,285.5000,65.71,-17.08,65.21,231.8900,2.09,86270500.48,ARKF|ARKQ|ARKW|ARKX,ok
AVAV,AEROVIRONMENT INC,NASDAQ,147.9400,135.2000,417.8600,4.51,-64.60,9.42,152.2800,-2.85,83596085.64,ARKQ|ARKX,ok
GH,GUARDANT HEALTH INC,NASDAQ,161.5000,53.4000,176.5800,87.76,-8.54,202.43,168.5200,-4.17,81673049.48,ARKG,ok
CDNA,CAREDX INC,NASDAQ,49.7900,12.3700,53.6710,90.60,-7.23,302.51,52.3600,-4.91,81451687.24,ARKG,ok
CMPS,COMPASS PATHWAYS PLC,NASDAQ,13.7300,4.4000,15.4000,84.82,-10.84,212.05,14.6400,-6.22,69480795.84,ARKG,ok
TRMB,TRIMBLE INC,NASDAQ,61.0100,47.9200,84.4200,35.86,-27.73,27.32,61.5400,-0.86,67514980.14,ARKQ|ARKX,ok
TOST,TOAST INC-CLASS A,NYSE,35.1500,22.2600,44.4700,58.04,-20.96,57.91,35.1700,-0.06,64180607.56,ARKF|ARKW,ok
SOFI,SOFI TECHNOLOGIES INC,NASDAQ,18.0600,14.8800,32.7300,17.82,-44.82,21.37,19.1800,-5.84,63398396.74,ARKF|ARKK,ok
CRWD,CROWDSTRIKE HOLDINGS INC - A,NASDAQ,218.4000,85.6800,229.0800,92.55,-4.66,154.90,227.9600,-4.19,59080621.16,ARKF|ARKW,ok
LUNR,INTUITIVE MACHINES INC,NASDAQ,15.3700,7.7800,46.7500,19.48,-67.12,97.56,16.1800,-5.01,54117246.00,ARKQ|ARKX,ok
ADPT,ADAPTIVE BIOTECHNOLOGIES,NASDAQ,25.1900,12.0000,26.8700,88.70,-6.25,109.92,26.4400,-4.73,49889768.20,ARKG,ok
NRIX,NURIX THERAPEUTICS INC,NASDAQ,26.2100,8.1950,28.2300,89.92,-7.16,219.83,26.8750,-2.47,48061583.75,ARKG,ok
SDGR,SCHRODINGER INC,NASDAQ,19.7000,10.9450,23.0200,72.51,-14.42,79.99,20.4100,-3.48,47376385.94,ARKG,ok
ARCT,ARCTURUS THERAPEUTICS HOLDIN,NASDAQ,15.1900,5.5000,24.1700,51.90,-37.15,176.18,16.1700,-6.06,47124538.23,ARKG,ok
MELI,MERCADOLIBRE INC,NASDAQ,1966.2500,1495.0000,2548.5000,44.73,-22.85,31.52,1930.7500,1.84,46407507.00,ARKF|ARKW,ok
RBLX,ROBLOX CORP -CLASS A,NYSE,38.5300,33.8800,142.0000,4.30,-72.87,13.72,38.1500,1.00,45928632.40,ARKF|ARKW,ok
CERS,CERUS CORP,NASDAQ,2.6500,1.1700,3.4700,64.35,-23.63,126.50,2.7200,-2.57,45637865.44,ARKG|ARKK,ok
BFLY,BUTTERFLY NETWORK INC,NYSE,8.4300,1.4700,10.0500,81.12,-16.12,473.47,8.7200,-3.33,44230194.40,ARKG,ok
DDOG,DATADOG INC - CLASS A,NASDAQ,236.9800,98.0100,292.7200,71.37,-19.04,141.79,242.9300,-2.45,41515279.42,ARKW,ok
JOBY,JOBY AVIATION INC,NYSE,6.9800,6.6300,19.9800,2.62,-65.07,5.28,7.1500,-2.38,38960728.95,ARKQ|ARKX,ok
IONS,IONIS PHARMACEUTICALS INC,NASDAQ,61.0500,49.1300,86.7400,31.69,-29.62,24.26,62.4300,-2.21,38764098.03,ARKG,ok
PACB,PACIFIC BIOSCIENCES OF CALIF,NASDAQ,1.4000,1.0700,2.7300,19.88,-48.72,30.84,1.5500,-9.68,36815272.95,ARKG|ARKK,ok
GOOGL,ALPHABET INC-CL A,NASDAQ,346.5900,206.2000,408.6100,69.36,-15.18,68.08,340.6500,1.74,36546635.25,ARKK|ARKQ|ARKW|ARKX,ok
SPOT,SPOTIFY TECHNOLOGY SA,NYSE,547.5100,405.0000,745.0000,41.91,-26.51,35.19,527.2500,3.84,35661081.00,ARKF|ARKW,ok
RBRK,RUBRIK INC-A,NYSE,93.0500,42.2500,107.9100,77.37,-13.77,120.24,107.0200,-13.05,35316171.92,ARKW,ok
CCJ,CAMECO CORP,NYSE,100.0100,73.2000,135.2400,43.21,-26.05,36.63,106.3300,-5.94,33825805.93,ARKQ,ok
ALMR,ALAMAR BIOSCIENCES INC,NASDAQ,30.7100,18.8500,38.5400,60.23,-20.32,62.92,33.0000,-6.94,33582912.00,ARKG,ok
P,EVERPURE INC-A,NYSE,93.4000,56.7800,119.1000,58.76,-21.58,64.49,99.2400,-5.88,32526803.16,ARKW,ok
SNPS,SYNOPSYS INC,NASDAQ,442.6100,366.0000,615.7900,30.67,-28.12,20.93,464.8900,-4.79,31566495.89,ARKQ|ARKX|PRNT,ok
ESLT,ELBIT SYSTEMS LTD,NASDAQ,708.6800,453.0000,1016.0600,45.41,-30.25,56.44,718.6900,-1.39,31124307.83,ARKQ|ARKX,ok
PRME,PRIME MEDICINE INC,NASDAQ,3.6100,2.6700,6.9400,22.01,-47.98,35.21,3.6400,-0.82,29077393.80,ARKG,ok
AUR,AURORA INNOVATION INC,NASDAQ,5.8300,3.6000,8.5650,44.91,-31.93,61.94,5.6900,2.46,28868510.88,ARKQ,ok
GTLB,GITLAB INC-CL A,NASDAQ,44.8700,18.7300,52.3800,77.68,-14.34,139.56,44.8100,0.13,28059529.09,ARKW,ok
DKNG,DRAFTKINGS INC-CL A,NASDAQ,25.2600,20.4600,48.7800,16.95,-48.22,23.46,24.2200,4.29,27405051.10,ARKF|ARKW,ok
ABNB,AIRBNB INC-CLASS A,NASDAQ,189.4300,110.8100,193.4530,95.13,-2.08,70.95,184.4000,2.73,26898612.40,ARKF|ARKW,ok
SYM,SYMBOTIC INC,NASDAQ,39.8750,38.1850,87.8800,3.40,-54.63,4.43,41.1400,-3.07,26455570.68,ARKQ,ok
CAT,CATERPILLAR INC,NYSE,800.2500,410.5200,1073.4600,58.79,-25.45,94.94,817.0000,-2.05,26251027.00,ARKQ,ok
GENB,GENERATE BIOMEDICINES INC,NASDAQ,15.3300,11.0000,22.6700,37.10,-32.38,39.36,15.7700,-2.79,25624436.45,ARKG,ok
FIG,FIGMA INC-CL A,NYSE,28.8200,16.6000,71.4800,22.27,-59.68,73.61,30.6200,-5.88,24328569.84,ARKW,ok
ISRG,INTUITIVE SURGICAL INC,NASDAQ,372.6000,328.5700,603.8800,15.99,-38.30,13.40,367.0700,1.51,24195786.12,ARKQ,ok
