cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2593275,1014126121.50,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1615300.0,""ARKQ"":548830.0,""ARKW"":364411.0,""ARKX"":64734.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1137715,569926952.10,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":489248.0,""ARKQ"":249232.0,""ARKW"":260990.0,""ARKF"":53137.0,""ARKX"":85108.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,3827639,501841749.29,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2032067.0,""ARKQ"":878086.0,""ARKW"":425015.0,""ARKX"":492471.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8433820,451968413.80,2,ARKG|ARKK,"{""ARKK"":6152970.0,""ARKG"":2280850.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3609583,451414449.98,3,ARKF|ARKK|ARKW,"{""ARKK"":2340140.0,""ARKW"":668153.0,""ARKF"":601290.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,4116161,436395389.22,3,ARKF|ARKK|ARKW,"{""ARKK"":2716721.0,""ARKW"":953468.0,""ARKF"":445972.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2812306,378086418.64,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1425817.0,""ARKQ"":582544.0,""ARKW"":367404.0,""ARKF"":247660.0,""ARKX"":188881.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7758277,376819513.89,2,ARKG|ARKK,"{""ARKK"":5703575.0,""ARKG"":2054702.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2244810,360269556.90,3,ARKF|ARKK|ARKW,"{""ARKK"":1605145.0,""ARKW"":381193.0,""ARKF"":258472.0}"
023135106,AMZN,AMAZON.COM INC,equity,1415829,353801508.81,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":626864.0,""ARKQ"":265032.0,""ARKW"":265890.0,""ARKF"":115379.0,""ARKX"":142664.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,7548531,335758658.88,2,ARKG|ARKK,"{""ARKK"":4430590.0,""ARKG"":3117941.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3469598,316531425.54,2,ARKG|ARKK,"{""ARKK"":2143320.0,""ARKG"":1326278.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,892714,315851140.34,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":336578.0,""ARKQ"":274007.0,""ARKW"":185493.0,""ARKX"":96636.0}"
771049103,RBLX,ROBLOX CORP -CLASS A,equity,5359091,289444504.91,3,ARKF|ARKK|ARKW,"{""ARKK"":3878519.0,""ARKW"":1048460.0,""ARKF"":432112.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,4755109,288349809.76,3,ARKF|ARKK|ARKW,"{""ARKK"":3340083.0,""ARKW"":886961.0,""ARKF"":528065.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8478786,240712734.54,2,ARKG|ARKK,"{""ARKK"":6156850.0,""ARKG"":2321936.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,239999289.66,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
67066G104,NVDA,NVIDIA CORP,equity,1139080,236245192.00,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":501846.0,""ARKQ"":293847.0,""ARKW"":129553.0,""ARKF"":85949.0,""ARKX"":127885.0}"
852234103,XYZ,BLOCK INC,equity,2831944,230860074.88,3,ARKF|ARKK|ARKW,"{""ARKK"":1521090.0,""ARKW"":722271.0,""ARKF"":588583.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4498586,211253598.56,3,ARKK|ARKQ|ARKX,"{""ARKK"":1279557.0,""ARKQ"":2222128.0,""ARKX"":996901.0}"
244199105,DE,DEERE & CO,equity,312326,187073904.22,3,ARKK|ARKQ|ARKX,"{""ARKK"":106715.0,""ARKQ"":124394.0,""ARKX"":81217.0}"
880770102,TER,TERADYNE INC,equity,577767,186214304.10,3,ARKK|ARKQ|ARKX,"{""ARKK"":147816.0,""ARKQ"":342611.0,""ARKX"":87340.0}"
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,418330,171406534.20,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":135439.0,""ARKQ"":162378.0,""ARKW"":88262.0,""ARKX"":32251.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,13739340,162948572.40,2,ARKG|ARKK,"{""ARKK"":10879082.0,""ARKG"":2860258.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2174339,158531056.49,2,ARKK|ARKW,"{""ARKK"":1573804.0,""ARKW"":600535.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,225057,149559378.78,3,ARKF|ARKK|ARKW,"{""ARKK"":122926.0,""ARKW"":64200.0,""ARKF"":37931.0}"
452327109,ILMN,ILLUMINA INC,equity,780897,148565654.25,2,ARKG|ARKK,"{""ARKK"":418426.0,""ARKG"":362471.0}"
G16910120,BLSH,BULLISH,equity,6096073,142343304.55,3,ARKF|ARKK|ARKW,"{""ARKK"":4328265.0,""ARKW"":1000837.0,""ARKF"":766971.0}"
