symbol,company,exchange,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,ark_mark,mark_drift_pct,total_market_value,funds,status
TSLA,TESLA INC,NASDAQ,353.0200,297.3800,498.8300,27.62,-29.23,18.71,356.0900,-0.86,954310517.30,ARKK|ARKQ|ARKW|ARKX,ok
SPCX,SPACE EXPLORATION TECHN-CL A,NASDAQ,141.0500,104.8300,225.6400,29.98,-37.49,34.55,142.2300,-0.83,694372122.51,ARKK|ARKQ|ARKW|ARKX,ok
TEM,TEMPUS AI INC-CL A,NASDAQ,61.5600,40.7700,104.3200,32.71,-40.99,50.99,62.2700,-1.14,482094962.70,ARKG|ARKK,ok
CRCL,CIRCLE INTERNET GROUP INC,NYSE,88.1100,49.9000,159.4700,34.87,-44.75,76.57,89.4800,-1.53,481754503.80,ARKF|ARKK|ARKW,ok
CRSP,CRISPR THERAPEUTICS AG,NASDAQ,56.2700,44.1200,78.4800,35.36,-28.30,27.54,56.8200,-0.97,421017563.04,ARKG|ARKK,ok
COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,176.2270,139.1100,402.1600,14.11,-56.18,26.68,176.8200,-0.34,397553954.28,ARKF|ARKK|ARKW,ok
TWST,TWIST BIOSCIENCE CORP,NASDAQ,127.2000,23.3000,155.4400,78.63,-18.17,445.92,132.0600,-3.68,387511713.66,ARKG|ARKK,ok
PLTR,PALANTIR TECHNOLOGIES INC-A,NASDAQ,167.2000,106.3700,207.5200,60.14,-19.43,57.19,179.9200,-7.07,385998928.64,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
NVDA,NVIDIA CORP,NASDAQ,227.5900,164.0700,236.5400,87.65,-3.78,38.72,217.4400,4.67,368262472.32,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
TXG,10X GENOMICS INC-CLASS A,NASDAQ,59.6400,11.1600,66.9400,86.91,-10.91,434.41,59.9800,-0.57,363281165.90,ARKG|ARKK,ok
HOOD,ROBINHOOD MARKETS INC - A,NASDAQ,105.5000,63.5150,153.8600,46.47,-31.43,66.10,103.5100,1.92,360196168.20,ARKF|ARKK|ARKW,ok
