trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-07-23,2026-07-23,2026-07-24,ARKK,buy,TSLA,TESLA INC,88160R101,1602040,1692662,1593881,98781,6.20,0.994907
2026-07-23,2026-07-23,2026-07-24,ARKQ,buy,TSLA,TESLA INC,88160R101,547167,577563,547167,30396,5.56,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKW,buy,TSLA,TESLA INC,88160R101,364411,385459,364411,21048,5.78,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKK,buy,CRCL,CIRCLE INTERNET GROUP INC,172573107,3312666,3388146,3295794,92352,2.80,0.994907
2026-07-23,2026-07-23,2026-07-24,ARKX,buy,TSLA,TESLA INC,88160R101,64734,74659,64734,9925,15.33,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKW,buy,CRCL,CIRCLE INTERNET GROUP INC,172573107,886961,913233,886961,26272,2.96,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKK,buy,,OPENAI GROUP PBC SERIES C,PPOPENAIC,254476,254476,253180,1296,0.51,0.994907
2026-07-23,2026-07-23,2026-07-24,ARKF,buy,CRCL,CIRCLE INTERNET GROUP INC,172573107,528065,539577,528065,11512,2.18,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKG,buy,CMPS,COMPASS PATHWAYS PLC,20451W101,4366105,4375669,4344653,31016,0.71,0.995087
2026-07-23,2026-07-23,2026-07-24,ARKQ,buy,WRD,WERIDE INC-ADR,950915108,3663790,3726484,3663790,62694,1.71,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKF,buy,SECZ,SECURITIZE CORP,81517B101,619595,667972,619595,48377,7.81,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKQ,buy,KDK,KODIAK AI INC,500081104,3784387,3861249,3784387,76862,2.03,1.000000
2026-07-23,2026-07-23,2026-07-24,IZRL,buy,SVRE,SAVERONE 2014 LTD -ADR,80516T600,445484,477501,445484,32017,7.19,1.000000
2026-07-23,2026-07-23,2026-07-24,IZRL,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,437197,461899,437197,24702,5.65,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKK,buy,,BRERA HOLDINGS PLC WTS,BREADUMMY,431626,431626,429428,2198,0.51,0.994907
2026-07-23,2026-07-23,2026-07-24,ARKK,sell,FIG,FIGMA INC-CL A,316841105,1523078,656387,1515321,-858934,-56.68,0.994907
2026-07-23,2026-07-23,2026-07-24,ARKK,sell,TXG,10X GENOMICS INC-CLASS A,88025U109,4256599,4082314,4234919,-152605,-3.60,0.994907
2026-07-23,2026-07-23,2026-07-24,ARKQ,sell,DE,DEERE & CO,244199105,120856,113035,120856,-7821,-6.47,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKQ,sell,CAT,CATERPILLAR INC,149123101,53013,47691,53013,-5322,-10.04,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKK,sell,TWST,TWIST BIOSCIENCE CORP,90184D100,2119102,2062597,2108309,-45712,-2.17,0.994907
2026-07-23,2026-07-23,2026-07-24,ARKW,sell,HOOD,ROBINHOOD MARKETS INC - A,770700102,910137,869584,910137,-40553,-4.46,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKK,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,11471764,7368079,11413336,-4045257,-35.44,0.994907
2026-07-23,2026-07-23,2026-07-24,ARKQ,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,9560932,5548268,9560932,-4012664,-41.97,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKK,sell,DE,DEERE & CO,244199105,105844,100560,105305,-4745,-4.51,0.994907
2026-07-23,2026-07-23,2026-07-24,ARKQ,sell,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,195733,145551,195733,-50182,-25.64,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKW,sell,FIG,FIGMA INC-CL A,316841105,1016676,899239,1016676,-117437,-11.55,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKK,sell,HOOD,ROBINHOOD MARKETS INC - A,770700102,2493785,2462025,2481084,-19059,-0.77,0.994907
2026-07-23,2026-07-23,2026-07-24,ARKX,sell,DE,DEERE & CO,244199105,78607,75999,78607,-2608,-3.32,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKX,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,1770013,541793,1770013,-1228220,-69.39,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKK,sell,NTLA,INTELLIA THERAPEUTICS INC,45826J105,10680760,10544700,10626361,-81661,-0.77,0.994907
2026-07-23,2026-07-23,2026-07-24,ARKX,sell,TER,TERADYNE INC,880770102,87340,85187,87340,-2153,-2.47,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKX,sell,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,438057,422651,438057,-15406,-3.52,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKF,sell,ROKU,ROKU INC,77543R102,29197,24107,29197,-5090,-17.43,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKG,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,3462613,2875920,3445600,-569680,-16.53,0.995087
2026-07-23,2026-07-23,2026-07-24,ARKF,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,1786184,1287078,1786184,-499106,-27.94,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKX,sell,ESLT,ELBIT SYSTEMS LTD,M3760D101,18144,17564,18144,-580,-3.20,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKQ,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,535039,466887,535039,-68152,-12.74,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKX,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,359760,312542,359760,-47218,-13.12,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKK,sell,,BRERA HOLDINGS PLC-CL B,G13311132,360629,341931,358792,-16861,-4.70,0.994907
2026-07-23,2026-07-23,2026-07-24,IZRL,sell,,ENLIVEX LTD,M4130Y171,20249,1,20249,-20248,-100.00,1.000000
2026-07-23,2026-07-23,2026-07-24,ARKW,sell,,BRERA HOLDINGS PLC-CL B,G13311132,142791,135388,142791,-7403,-5.18,1.000000
