cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2604839,1054074149.74,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1652899.0,""ARKQ"":557145.0,""ARKW"":326768.0,""ARKX"":68027.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1326592,672966855.68,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":607234.0,""ARKQ"":279833.0,""ARKW"":273741.0,""ARKF"":55035.0,""ARKX"":110749.0}"
84615Q103,,SPACE EXPLORATION TECHN-CL A,equity,3271303,660148945.40,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1692679.0,""ARKQ"":734251.0,""ARKW"":306032.0,""ARKX"":538341.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,4947760,478497869.60,3,ARKF|ARKK|ARKW,"{""ARKK"":3511774.0,""ARKW"":974050.0,""ARKF"":461936.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8842084,447055767.04,2,ARKG|ARKK,"{""ARKK"":6821362.0,""ARKG"":2020722.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3876906,438982066.38,3,ARKF|ARKK|ARKW,"{""ARKK"":2594356.0,""ARKW"":659732.0,""ARKF"":622818.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,8241535,428724650.70,2,ARKG|ARKK,"{""ARKK"":6323291.0,""ARKG"":1918244.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,4446393,377721085.35,2,ARKG|ARKK,"{""ARKK"":2769648.0,""ARKG"":1676745.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2817632,375449464.00,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1433214.0,""ARKQ"":591369.0,""ARKW"":327356.0,""ARKF"":234472.0,""ARKX"":231221.0}"
023135106,AMZN,AMAZON.COM INC,equity,1463078,359917188.00,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":650835.0,""ARKQ"":269047.0,""ARKW"":255420.0,""ARKF"":113212.0,""ARKX"":174564.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2089682,353720472.14,3,ARKF|ARKK|ARKW,"{""ARKK"":1527981.0,""ARKW"":320586.0,""ARKF"":241115.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,927998,344380057.80,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":353286.0,""ARKQ"":278157.0,""ARKW"":178343.0,""ARKX"":118212.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,4128886,329154791.92,3,ARKF|ARKK|ARKW,"{""ARKK"":2953156.0,""ARKW"":705190.0,""ARKF"":470540.0}"
77543R102,ROKU,ROKU INC,equity,2279702,314484890.90,3,ARKF|ARKK|ARKW,"{""ARKK"":1533278.0,""ARKW"":560551.0,""ARKF"":185873.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,8868775,281583606.25,2,ARKG|ARKK,"{""ARKK"":5957924.0,""ARKG"":2910851.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8842896,274041347.04,2,ARKG|ARKK,"{""ARKK"":6825758.0,""ARKG"":2017138.0}"
771049103,RBLX,ROBLOX CORP -CLASS A,equity,5276510,260343003.40,3,ARKF|ARKK|ARKW,"{""ARKK"":3925004.0,""ARKW"":943997.0,""ARKF"":407509.0}"
67066G104,NVDA,NVIDIA CORP,equity,1228142,254728932.22,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":556370.0,""ARKQ"":298297.0,""ARKW"":127921.0,""ARKF"":89017.0,""ARKX"":156537.0}"
880770102,TER,TERADYNE INC,equity,618441,253158823.35,3,ARKK|ARKQ|ARKX,"{""ARKK"":163812.0,""ARKQ"":347801.0,""ARKX"":106828.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2148164,251399632.92,2,ARKK|ARKW,"{""ARKK"":1570734.0,""ARKW"":577430.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4402582,248041469.88,3,ARKK|ARKQ|ARKX,"{""ARKK"":1137803.0,""ARKQ"":2086177.0,""ARKX"":1178602.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,239999289.66,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
244199105,DE,DEERE & CO,equity,382928,224123929.12,3,ARKK|ARKQ|ARKX,"{""ARKK"":129362.0,""ARKQ"":150081.0,""ARKX"":103485.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,14399779,209516784.45,2,ARKG|ARKK,"{""ARKK"":11593770.0,""ARKG"":2806009.0}"
