trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,asset_class,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-09-23,2026-09-23,2026-09-24,ARKK,buy,,OPENAI GROUP PBC SERIES C,PPOPENAIC,private,254476,254476,229512,24964,10.88,0.901899
2026-09-23,2026-09-23,2026-09-24,ARKK,buy,NTLA,INTELLIA THERAPEUTICS INC,45826J105,equity,9839063,9839063,8873846,965217,10.88,0.901899
2026-09-23,2026-09-23,2026-09-24,ARKK,buy,,KALSHI INC.,PPKALSHIC,private,90024,90024,81193,8831,10.88,0.901899
2026-09-23,2026-09-23,2026-09-24,ARKG,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,3798375,8268273,3616671,4651602,128.62,0.952163
2026-09-23,2026-09-23,2026-09-24,ARKG,buy,SCTX,SCRIBE THERAPEUTICS INC,811033109,equity,576129,691834,548569,143265,26.12,0.952163
2026-09-23,2026-09-23,2026-09-24,ARKK,buy,ARKY,ARK ACTIVE AUTOCALL INC ETF,00214Q724,equity,1405649,1410849,1267754,143095,11.29,0.901899
2026-09-23,2026-09-23,2026-09-24,ARKW,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,2505694,4613706,2505694,2108012,84.13,1.000000
2026-09-23,2026-09-23,2026-09-24,ARKG,buy,BEAM,BEAM THERAPEUTICS INC,07373V105,equity,2715805,2651470,2585889,65581,2.54,0.952163
2026-09-23,2026-09-23,2026-09-24,ARKG,buy,VCYT,VERACYTE INC,92337F107,equity,1068702,1038483,1017578,20905,2.05,0.952163
2026-09-23,2026-09-23,2026-09-24,ARKQ,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,3375816,3327653,3173120,154533,4.87,0.939956
2026-09-23,2026-09-23,2026-09-24,ARKK,buy,,BRERA HOLDINGS PLC WTS,BREADUMMY,equity,431626,431626,389283,42343,10.88,0.901899
2026-09-23,2026-09-23,2026-09-24,ARKW,buy,SOLQ/U,3IQ SOLANA STAKING ETF,BTRDQ40,equity,508226,512114,508226,3888,0.77,1.000000
2026-09-23,2026-09-23,2026-09-24,ARKK,sell,TEM,TEMPUS AI INC-CL A,88023B103,equity,7198021,6401016,6491891,-90875,-1.40,0.901899
2026-09-23,2026-09-23,2026-09-24,ARKK,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,120775701,106846376,108927539,-2081163,-1.91,0.901899
2026-09-23,2026-09-23,2026-09-24,ARKX,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,1110417,1087880,1110417,-22537,-2.03,1.000000
