cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2726245,918390153.15,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1701421.0,""ARKQ"":565749.0,""ARKW"":385983.0,""ARKX"":73092.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,4766498,683229823.32,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2671879.0,""ARKQ"":1020523.0,""ARKW"":528535.0,""ARKX"":545561.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1008831,488667648.09,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":431673.0,""ARKQ"":225424.0,""ARKW"":233397.0,""ARKF"":44178.0,""ARKX"":74159.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2494037,427827106.98,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1265992.0,""ARKQ"":525187.0,""ARKW"":319433.0,""ARKF"":209815.0,""ARKX"":173610.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8387982,414030791.52,2,ARKG|ARKK,"{""ARKK"":6058439.0,""ARKG"":2329543.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,2682444,393192641.52,3,ARKF|ARKK|ARKW,"{""ARKK"":1649814.0,""ARKW"":547455.0,""ARKF"":485175.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,5446509,390678090.57,3,ARKF|ARKK|ARKW,"{""ARKK"":3903874.0,""ARKW"":984255.0,""ARKF"":558380.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7353105,389493971.85,2,ARKG|ARKK,"{""ARKK"":5364105.0,""ARKG"":1989000.0}"
023135106,AMZN,AMAZON.COM INC,equity,1425092,369740119.40,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":628801.0,""ARKQ"":264983.0,""ARKW"":273898.0,""ARKF"":117160.0,""ARKX"":140250.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3138206,364345716.60,2,ARKG|ARKK,"{""ARKK"":1903898.0,""ARKG"":1234308.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,6195822,344673577.86,2,ARKG|ARKK,"{""ARKK"":3255762.0,""ARKG"":2940060.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2289312,334766093.76,3,ARKF|ARKK|ARKW,"{""ARKK"":1645555.0,""ARKW"":387523.0,""ARKF"":256234.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,3564216,326232690.48,3,ARKF|ARKK|ARKW,"{""ARKK"":2283916.0,""ARKW"":846608.0,""ARKF"":433692.0}"
67066G104,NVDA,NVIDIA CORP,equity,1473870,323868193.80,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":679082.0,""ARKQ"":343006.0,""ARKW"":199858.0,""ARKF"":104539.0,""ARKX"":147385.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,860229,293578953.12,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":324918.0,""ARKQ"":260727.0,""ARKW"":183156.0,""ARKX"":91428.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4606227,285540011.73,3,ARKK|ARKQ|ARKX,"{""ARKK"":1358319.0,""ARKQ"":2249112.0,""ARKX"":998796.0}"
852234103,XYZ,BLOCK INC,equity,3182285,252768897.55,3,ARKF|ARKK|ARKW,"{""ARKK"":1802553.0,""ARKW"":765466.0,""ARKF"":614266.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2685173,250177568.41,2,ARKK|ARKW,"{""ARKK"":1928595.0,""ARKW"":756578.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,236657627.64,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
880770102,TER,TERADYNE INC,equity,574465,232250454.85,3,ARKK|ARKQ|ARKX,"{""ARKK"":167867.0,""ARKQ"":326003.0,""ARKX"":80595.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8190635,217625171.95,2,ARKG|ARKK,"{""ARKK"":5942955.0,""ARKG"":2247680.0}"
15675D103,CBRS,CEREBRAS SYSTEMS INC - A,equity,838863,184558248.63,2,ARKK|ARKW,"{""ARKK"":648818.0,""ARKW"":190045.0}"
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,439795,181815650.95,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":151584.0,""ARKQ"":161407.0,""ARKW"":93341.0,""ARKX"":33463.0}"
03945R102,ACHR,ARCHER AVIATION INC-A,equity,27726506,175231517.92,3,ARKK|ARKQ|ARKX,"{""ARKK"":13739687.0,""ARKQ"":8956830.0,""ARKX"":5029989.0}"
773121108,RKLB UQ,ROCKET LAB,equity,2001970,158475945.20,3,ARKK|ARKQ|ARKX,"{""ARKK"":357781.0,""ARKQ"":1038167.0,""ARKX"":606022.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,277984,151131561.28,3,ARKF|ARKK|ARKW,"{""ARKK"":152357.0,""ARKW"":81544.0,""ARKF"":44083.0}"
11135F101,AVGO,BROADCOM INC,equity,385624,146537120.00,3,ARKK|ARKQ|ARKW,"{""ARKK"":202439.0,""ARKQ"":89343.0,""ARKW"":93842.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,12600765,146168874.00,2,ARKG|ARKK,"{""ARKK"":9929847.0,""ARKG"":2670918.0}"
G16910120,BLSH,BULLISH,equity,5699056,140310758.72,3,ARKF|ARKK|ARKW,"{""ARKK"":4085066.0,""ARKW"":868139.0,""ARKF"":745851.0}"
632307104,NTRA,NATERA INC,equity,444978,138695192.82,2,ARKG|ARKK,"{""ARKK"":210773.0,""ARKG"":234205.0}"
09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,7498898,137079855.44,3,ARKF|ARKK|ARKW,"{""ARKK"":5250577.0,""ARKW"":1513855.0,""ARKF"":734466.0}"
452327109,ILMN,ILLUMINA INC,equity,703765,132511911.85,2,ARKG|ARKK,"{""ARKK"":352864.0,""ARKG"":350901.0}"
98386P102,XE,X-ENERGY INC,equity,6589450,124277027.00,3,ARKK|ARKQ|ARKX,"{""ARKK"":4492371.0,""ARKQ"":1488367.0,""ARKX"":608712.0}"
502431109,LHX,L3HARRIS TECHNOLOGIES INC,equity,424191,118578352.14,3,ARKQ|ARKX|PRNT,"{""ARKQ"":217005.0,""ARKX"":203364.0,""PRNT"":3822.0}"
81663L200,WGS,GENEDX HOLDINGS CORP,equity,1451283,110790944.22,2,ARKG|ARKK,"{""ARKK"":962570.0,""ARKG"":488713.0}"
532457108,LLY,ELI LILLY & CO,equity,89728,109982301.44,2,ARKG|ARKK,"{""ARKK"":27786.0,""ARKG"":61942.0}"
75629V104,RXRX,RECURSION PHARMACEUTICALS-A,equity,33102908,102287985.72,2,ARKG|ARKK,"{""ARKK"":19802001.0,""ARKG"":13300907.0}"
