symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2591445,1037847808.05,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1632909;ARKQ=558808;ARKW=336195;ARKX=63533
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,1294843,695809782.91,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=54451;ARKK=583706;ARKQ=280668;ARKW=272577;ARKX=103441
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,3170940,586623900.00,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1627127;ARKQ=736442;ARKW=304730;ARKX=502641
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,4534537,490410176.55,3,ARKF|ARKK|ARKW,ARKF=457024;ARKK=3107607;ARKW=969906
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,8609780,437721215.20,2,ARKG|ARKK,ARKG=2052666;ARKK=6557114
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,8026855,434172586.95,2,ARKG|ARKK,ARKG=1948568;ARKK=6078287
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,3766971,410034793.35,3,ARKF|ARKK|ARKW,ARKF=616194;ARKK=2493852;ARKW=656925
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,4207060,368370173.60,2,ARKG|ARKK,ARKG=1544716;ARKK=2662344
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2744694,352610838.18,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=231980;ARKK=1377726;ARKQ=593134;ARKW=325963;ARKX=215891
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2136137,348745726.62,3,ARKF|ARKK|ARKW,ARKF=247526;ARKK=1549121;ARKW=339490
AMZN,NASDAQ,023135106,AMAZON.COM INC,1424881,348226667.59,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=112008;ARKK=625675;ARKQ=269850;ARKW=254334;ARKX=163014
GOOG,NASDAQ,02079K107,ALPHABET INC-CL C,906590,333135561.40,4,ARKK|ARKQ|ARKW|ARKX,ARKK=339618;ARKQ=278987;ARKW=177585;ARKX=110400
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,4006506,321441976.38,3,ARKF|ARKK|ARKW,ARKF=465536;ARKK=2838780;ARKW=702190
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,8684003,301812524.27,2,ARKG|ARKK,ARKG=2956871;ARKK=5727132
BEAM,NASDAQ,07373V105,BEAM THERAPEUTICS INC,8610328,293956597.92,2,ARKG|ARKK,ARKG=2049022;ARKK=6561306
TER,NASDAQ,880770102,TERADYNE INC,606099,265422874.08,3,ARKK|ARKQ|ARKX,ARKK=157488;ARKQ=348839;ARKX=99772
RBLX,NYSE,771049103,ROBLOX CORP -CLASS A,5116113,263633302.89,3,ARKF|ARKK|ARKW,ARKF=403177;ARKK=3772956;ARKW=939980
NVDA,NASDAQ,67066G104,NVIDIA CORP,1195614,251903913.66,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=88073;ARKK=534814;ARKQ=299187;ARKW=127377;ARKX=146163
CRWV,NASDAQ,21873S108,COREWEAVE INC-CL A,2084847,245907703.65,2,ARKK|ARKW,ARKK=1509874;ARKW=574973
KTOS,NASDAQ,50077B207,KRATOS DEFENSE & SECURITY,4286583,232375664.43,3,ARKK|ARKQ|ARKX,ARKK=1093739;ARKQ=2092404;ARKX=1100440
NTLA,NASDAQ,45826J105,INTELLIA THERAPEUTICS INC,14385167,225415566.89,2,ARKG|ARKK,ARKG=2791397;ARKK=11593770
DE,NYSE,244199105,DEERE & CO,371566,218941549.84,3,ARKK|ARKQ|ARKX,ARKK=124398;ARKQ=150529;ARKX=96639
XYZ,NYSE,852234103,BLOCK INC,2844391,212703558.98,3,ARKF|ARKK|ARKW,ARKF=578595;ARKK=1620930;ARKW=644866
TSM,NYSE,874039100,TAIWAN SEMICONDUCTOR-SP ADR,433230,200204247.60,4,ARKK|ARKQ|ARKW|ARKX,ARKK=144279;ARKQ=165330;ARKW=86782;ARKX=36839
ROKU,NASDAQ,77543R102,ROKU INC,1261353,174155008.71,3,ARKF|ARKK|ARKW,ARKF=168146;ARKK=700070;ARKW=393137
RKLB,NASDAQ,773121108,ROCKET LAB,1593115,170845652.60,2,ARKQ|ARKX,ARKQ=954300;ARKX=638815
ACHR,NYSE,03945R102,ARCHER AVIATION INC-A,29701570,165437744.90,3,ARKK|ARKQ|ARKX,ARKK=14600211;ARKQ=9198517;ARKX=5902842
AVGO,NASDAQ,11135F101,BROADCOM INC,370621,152214044.70,3,ARKK|ARKQ|ARKW,ARKK=191676;ARKQ=85502;ARKW=93443
ILMN,NASDAQ,452327109,ILLUMINA INC,935615,151504136.95,2,ARKG|ARKK,ARKG=366235;ARKK=569380
NTRA,NASDAQ,632307104,NATERA INC,616345,142628396.45,2,ARKG|ARKK,ARKG=244955;ARKK=371390
BLSH,NYSE,G16910120,BULLISH,5876384,141620854.40,3,ARKF|ARKK|ARKW,ARKF=756279;ARKK=4202663;ARKW=917442
BMNR,NYSE,09175A206,BITMINE IMMERSION TECHNOLOGI,8219805,132667652.70,3,ARKF|ARKK|ARKW,ARKF=773986;ARKK=5938405;ARKW=1507414
LHX,NYSE,502431109,L3HARRIS TECHNOLOGIES INC,439590,129599923.80,3,ARKQ|ARKX|PRNT,ARKQ=210765;ARKX=225677;PRNT=3148
META,NASDAQ,30303M102,META PLATFORMS INC-CLASS A,198839,114773847.58,3,ARKF|ARKK|ARKW,ARKF=35997;ARKK=106032;ARKW=56810
VCYT,NASDAQ,92337F107,VERACYTE INC,2137438,114630799.94,2,ARKG|ARKK,ARKG=894532;ARKK=1242906
BWXT,NYSE,05605H100,BWX TECHNOLOGIES INC,536854,110269811.60,3,ARKK|ARKQ|ARKX,ARKK=276200;ARKQ=179007;ARKX=81647
RXRX,NASDAQ,75629V104,RECURSION PHARMACEUTICALS-A,31742578,102528526.94,2,ARKG|ARKK,ARKG=11699496;ARKK=20043082
AVAV,NASDAQ,008073108,AEROVIRONMENT INC,588290,99779866.90,2,ARKQ|ARKX,ARKQ=326113;ARKX=262177
CBRS,NASDAQ,15675D103,CEREBRAS SYSTEMS INC - A,417668,98030856.28,2,ARKK|ARKW,ARKK=326927;ARKW=90741
BABA,NYSE,01609W102,ALIBABA GROUP HOLDING-SP ADR,903432,96757567.20,3,ARKF|ARKK|ARKW,ARKF=68972;ARKK=705285;ARKW=129175
XE,NASDAQ,98386P102,X-ENERGY INC,3914471,84395994.76,3,ARKK|ARKQ|ARKX,ARKK=2405020;ARKQ=975776;ARKX=533675
ABSI,NASDAQ,00091E109,ABSCI CORP,11097847,82235046.27,1,ARKG,ARKG=11097847
WGS,NASDAQ,81663L200,GENEDX HOLDINGS CORP,1373104,81026867.04,2,ARKG|ARKK,ARKG=427057;ARKK=946047
PSNL,NASDAQ,71535D106,PERSONALIS INC,7474378,78779944.12,1,ARKG,ARKG=7474378
DASH,NASDAQ,25809K105,DOORDASH INC - A,384809,66748969.14,4,ARKF|ARKQ|ARKW|ARKX,ARKF=59512;ARKQ=149618;ARKW=93477;ARKX=82202
LLY,NYSE,532457108,ELI LILLY & CO,60652,66630467.64,2,ARKG|ARKK,ARKG=30004;ARKK=30648
TRMB,NASDAQ,896239100,TRIMBLE INC,1300949,63954652.84,2,ARKQ|ARKX,ARKQ=766605;ARKX=534344
JOBY,NYSE,G65163100,JOBY AVIATION INC,6231191,62311910.00,2,ARKQ|ARKX,ARKQ=3485126;ARKX=2746065
LUNR,NASDAQ,46125A100,INTUITIVE MACHINES INC,2724459,62253888.15,2,ARKQ|ARKX,ARKQ=1794209;ARKX=930250
GH,NASDAQ,40131M109,GUARDANT HEALTH INC,462456,60942451.68,1,ARKG,ARKG=462456
SOFI,NASDAQ,83406F102,SOFI TECHNOLOGIES INC,3237936,57991433.76,2,ARKF|ARKK,ARKF=1198448;ARKK=2039488
CRWD,NASDAQ,22788C105,CROWDSTRIKE HOLDINGS INC - A,83776,57374831.36,2,ARKF|ARKW,ARKF=22465;ARKW=61311
CAT,NYSE,149123101,CATERPILLAR INC,56342,55543070.44,1,ARKQ,ARKQ=56342
IRDM,NASDAQ,46269C102,IRIDIUM COMMUNICATIONS INC,1234323,55013776.11,2,ARKQ|ARKX,ARKQ=527207;ARKX=707116
SNOW,NYSE,833445109,SNOWFLAKE INC,223690,51960950.10,2,ARKK|ARKW,ARKK=149661;ARKW=74029
FIG,NYSE,316841105,FIGMA INC-CL A,2636160,49770700.80,2,ARKK|ARKW,ARKK=1636568;ARKW=999592
ESLT,NASDAQ,M3760D101,ELBIT SYSTEMS LTD,62001,48871048.23,2,ARKQ|ARKX,ARKQ=41267;ARKX=20734
GOOGL,NASDAQ,02079K305,ALPHABET INC-CL A,128795,47400423.85,4,ARKK|ARKQ|ARKW|ARKX,ARKK=92668;ARKQ=16456;ARKW=12197;ARKX=7474
TOST,NYSE,888787108,TOAST INC-CLASS A,1884775,46478551.50,2,ARKF|ARKW,ARKF=1173146;ARKW=711629
CDNA,NASDAQ,14167L103,CAREDX INC,1750527,45828796.86,1,ARKG,ARKG=1750527
CERS,NASDAQ,157085101,CERUS CORP,15842696,42775279.20,2,ARKG|ARKK,ARKG=6900926;ARKK=8941770
BFLY,NYSE,124155102,BUTTERFLY NETWORK INC,4558013,40566315.70,1,ARKG,ARKG=4558013
