cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2681612,939234603.00,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1662466.0,""ARKQ"":563948.0,""ARKW"":384341.0,""ARKX"":70857.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,4884428,673806842.60,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2728438.0,""ARKQ"":1053214.0,""ARKW"":559525.0,""ARKX"":543251.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8369023,575202950.79,2,ARKG|ARKK,"{""ARKK"":5861880.0,""ARKG"":2507143.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,5352931,492576710.62,3,ARKF|ARKK|ARKW,"{""ARKK"":3814484.0,""ARKW"":980067.0,""ARKF"":558380.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3071469,465081835.98,2,ARKG|ARKK,"{""ARKK"":1743081.0,""ARKG"":1328388.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,952841,456582350.38,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":421803.0,""ARKQ"":216236.0,""ARKW"":202049.0,""ARKF"":40859.0,""ARKX"":71894.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7381875,449556187.50,2,ARKG|ARKK,"{""ARKK"":5241255.0,""ARKG"":2140620.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2250003,421110561.48,3,ARKF|ARKK|ARKW,"{""ARKK"":1607895.0,""ARKW"":385874.0,""ARKF"":256234.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,2603594,400641044.72,3,ARKF|ARKK|ARKW,"{""ARKK"":1581027.0,""ARKW"":545126.0,""ARKF"":477441.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2285895,394842643.35,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1129842.0,""ARKQ"":496166.0,""ARKW"":292758.0,""ARKF"":209815.0,""ARKX"":157314.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,3508324,393248037.16,3,ARKF|ARKK|ARKW,"{""ARKK"":2231626.0,""ARKW"":843006.0,""ARKF"":433692.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,6067008,392656757.76,2,ARKG|ARKK,"{""ARKK"":3002082.0,""ARKG"":3064926.0}"
023135106,AMZN,AMAZON.COM INC,equity,1404409,366635013.54,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":614416.0,""ARKQ"":264140.0,""ARKW"":272733.0,""ARKF"":117160.0,""ARKX"":135960.0}"
67066G104,NVDA,NVIDIA CORP,equity,1451873,309321542.65,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":663542.0,""ARKQ"":341914.0,""ARKW"":199008.0,""ARKF"":104539.0,""ARKX"":142870.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,848410,291293089.40,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":317498.0,""ARKQ"":259897.0,""ARKW"":182377.0,""ARKX"":88638.0}"
852234103,XYZ,BLOCK INC,equity,3137763,259555755.36,3,ARKF|ARKK|ARKW,"{""ARKK"":1761288.0,""ARKW"":762209.0,""ARKF"":614266.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8225880,255249056.40,2,ARKG|ARKK,"{""ARKK"":5806840.0,""ARKG"":2419040.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4537355,238846367.20,3,ARKK|ARKQ|ARKX,"{""ARKK"":1327239.0,""ARKQ"":2241950.0,""ARKX"":968166.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,236657627.64,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2637784,232230503.36,2,ARKK|ARKW,"{""ARKK"":1884425.0,""ARKW"":753359.0}"
880770102,TER,TERADYNE INC,equity,567152,207821507.36,3,ARKK|ARKQ|ARKX,"{""ARKK"":164052.0,""ARKQ"":324965.0,""ARKX"":78135.0}"
09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,7372197,182977929.54,3,ARKF|ARKK|ARKW,"{""ARKK"":5130317.0,""ARKW"":1507414.0,""ARKF"":734466.0}"
15675D103,CBRS,CEREBRAS SYSTEMS INC - A,equity,993347,182691413.51,2,ARKK|ARKW,"{""ARKK"":766708.0,""ARKW"":226639.0}"
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,434399,181322486.59,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":148119.0,""ARKQ"":160893.0,""ARKW"":92944.0,""ARKX"":32443.0}"
G16910120,BLSH,BULLISH,equity,5601807,179369860.14,3,ARKF|ARKK|ARKW,"{""ARKK"":3991511.0,""ARKW"":864445.0,""ARKF"":745851.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,12433345,167974490.95,2,ARKG|ARKK,"{""ARKK"":9728514.0,""ARKG"":2704831.0}"
03945R102,ACHR,ARCHER AVIATION INC-A,equity,27229007,162284881.72,3,ARKK|ARKQ|ARKX,"{""ARKK"":13425002.0,""ARKQ"":8928306.0,""ARKX"":4875699.0}"
452327109,ILMN,ILLUMINA INC,equity,707262,159126877.38,2,ARKG|ARKK,"{""ARKK"":329661.0,""ARKG"":377601.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,274173,156292318.65,3,ARKF|ARKK|ARKW,"{""ARKK"":148892.0,""ARKW"":81198.0,""ARKF"":44083.0}"
11135F101,AVGO,BROADCOM INC,equity,434769,155099493.06,3,ARKK|ARKQ|ARKW,"{""ARKK"":231583.0,""ARKQ"":99952.0,""ARKW"":103234.0}"
632307104,NTRA,NATERA INC,equity,458003,154214190.13,2,ARKG|ARKK,"{""ARKK"":205978.0,""ARKG"":252025.0}"
