symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2784947,856204105.68,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1728145;ARKQ=590727;ARKW=388959;ARKX=77116
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,4445724,517526730.84,4,ARKK|ARKQ|ARKW|ARKX,ARKK=2406200;ARKQ=1000399;ARKW=490469;ARKX=548656
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,1093731,497231987.22,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=52407;ARKK=462402;ARKQ=243860;ARKW=253148;ARKX=81914
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,3337950,434868126.00,3,ARKF|ARKK|ARKW,ARKF=566679;ARKK=2139850;ARKW=631421
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2209250,370933075.00,3,ARKF|ARKK|ARKW,ARKF=254912;ARKK=1574746;ARKW=379592
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,8483777,363954033.30,2,ARKG|ARKK,ARKG=2326238;ARKK=6157539
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,7523590,357746704.50,2,ARKG|ARKK,ARKG=2037013;ARKK=5486577
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2776823,343020945.19,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=244250;ARKK=1398817;ARKQ=579014;ARKW=365861;ARKX=188881
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,3627271,336465657.96,3,ARKF|ARKK|ARKW,ARKF=439832;ARKK=2333627;ARKW=853812
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,7053910,331886465.50,2,ARKG|ARKK,ARKG=3091096;ARKK=3962814
AMZN,NASDAQ,023135106,AMAZON.COM INC,1389752,320838146.72,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=113794;ARKK=605095;ARKQ=263426;ARKW=264773;ARKX=142664
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,4810168,309390005.76,3,ARKF|ARKK|ARKW,ARKF=532147;ARKK=3368625;ARKW=909396
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,3324230,294360566.50,2,ARKG|ARKK,ARKG=1313107;ARKK=2011123
GOOG,NASDAQ,02079K107,ALPHABET INC-CL C,883915,293990129.00,4,ARKK|ARKQ|ARKW|ARKX,ARKK=330218;ARKQ=272347;ARKW=184714;ARKX=96636
