symbol,company,exchange,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,ark_mark,mark_drift_pct,total_market_value,funds,status
PAYP,PAYPAY CORP,NASDAQ,17.1600,12.0700,24.8900,39.70,-31.06,42.17,17.7200,-3.16,4317495.72,ARKF,ok
KSPI,JSC KASPI.KZ ADR,NASDAQ,95.9900,68.5900,109.9400,66.26,-12.69,39.95,96.4500,-0.48,3983288.55,ARKF,ok
IRDM,IRIDIUM COMMUNICATIONS INC,NASDAQ,48.5000,15.6500,57.1800,79.10,-15.18,209.90,48.2100,0.60,3557030.22,ARKX,ok
HONA,HONEYWELL AEROSPACE INC,NASDAQ,167.4300,149.1900,297.5000,12.30,-43.72,12.23,169.0300,-0.95,3223402.10,ARKX,ok
PTC,PTC INC,NASDAQ,134.8300,108.5000,207.4900,26.60,-35.02,24.27,135.2800,-0.33,3114010.32,PRNT,ok
HPQ,HP INC,NYSE,32.0300,17.5600,36.2300,77.50,-11.59,82.40,32.9500,-2.79,2995089.10,PRNT,ok
ADSK,AUTODESK INC,NASDAQ,216.6850,185.5000,326.3500,22.14,-33.60,16.81,218.8500,-0.99,2928650.70,PRNT,ok
DDD,3D SYSTEMS CORP,NYSE,3.5650,1.7000,4.1200,77.07,-13.47,109.71,3.4800,2.44,2861572.68,PRNT,ok
MTLS,MATERIALISE NV-ADR,NASDAQ,7.7800,4.7800,7.9700,94.04,-2.38,62.76,7.7800,0.00,2661716.94,PRNT,ok
PRLB,PROTO LABS INC,NYSE,89.2550,45.1000,93.0000,92.18,-4.03,97.90,87.6800,1.80,2511944.32,PRNT,ok
VELO,VELO3D INC,NASDAQ,11.3100,2.8700,31.7500,29.22,-64.38,294.08,11.2500,0.53,2361341.25,PRNT,ok
XMTR,XOMETRY INC-A,NASDAQ,101.3800,35.8600,106.0800,93.31,-4.43,182.71,99.5300,1.86,2269682.12,PRNT,ok
NNDM,NANO DIMENSION LTD - ADR,NASDAQ,1.5600,1.1900,2.3200,32.74,-32.76,31.09,1.5500,0.65,2265292.45,PRNT,ok
SSYS,STRATASYS LTD,NASDAQ,8.0720,7.3400,12.8100,13.38,-36.99,9.97,7.9100,2.05,2175265.82,PRNT,ok
XRAY,DENTSPLY SIRONA INC,NASDAQ,9.8550,9.3600,14.7600,9.17,-33.23,5.29,9.4400,4.40,1960942.88,PRNT,ok
LECO,LINCOLN ELECTRIC HOLDINGS,NASDAQ,261.8550,216.2200,310.0000,48.66,-15.53,21.11,258.3200,1.37,1101734.80,PRNT,ok
KALU,KAISER ALUMINUM CORP,NASDAQ,150.6500,73.0800,199.8900,61.17,-24.63,106.14,150.9400,-0.19,1041033.18,PRNT,ok
MOG.A,MOOG INC-CLASS A,NYSE,367.6050,192.3300,448.8500,68.33,-18.10,91.13,369.4200,-0.49,1015905.00,PRNT,ok
AME,AMETEK INC,NYSE,245.9050,179.2400,261.1600,81.38,-5.84,37.19,241.2300,1.94,991455.30,PRNT,ok
GE,GENERAL ELECTRIC,NYSE,318.2000,268.9100,388.8400,41.10,-18.17,18.33,319.0100,-0.25,987973.97,PRNT,ok
CNTN,CANTON STRATEGIC HOLDINGS IN,NASDAQ,2.4350,1.7500,6.8900,13.33,-64.66,39.14,2.4400,-0.20,984069.08,ARKF,ok
ALGN,ALIGN TECHNOLOGY INC,NASDAQ,151.7100,122.0000,200.4400,37.88,-24.31,24.35,146.8800,3.29,802992.96,PRNT,ok
BABA,ALIBABA GROUP HOLDING-SP ADR,NYSE,116.5000,91.9900,192.6700,24.34,-39.53,26.64,115.7500,0.65,515203.25,ARKF,ok
MTRN,MATERION CORP,NYSE,255.2500,109.6100,304.5800,74.70,-16.20,132.87,254.6300,0.24,86574.20,PRNT,ok
ATI,ATI INC,NYSE,189.3050,75.0200,243.5700,67.80,-22.28,152.34,189.1600,0.08,83987.04,PRNT,ok
MMM,3M CO,NYSE,167.7620,139.3400,184.9000,62.38,-9.27,20.40,164.9700,1.69,83969.73,PRNT,ok
AVNT,AVIENT CORP,NYSE,41.3700,27.4800,46.6400,72.49,-11.30,50.55,40.4400,2.30,81163.08,PRNT,ok
JBL,JABIL INC,NYSE,304.6500,189.6000,428.9300,48.07,-28.97,60.68,303.6700,0.32,75613.83,PRNT,ok
KMT,KENNAMETAL INC,NYSE,29.5800,20.3500,43.8100,39.34,-32.48,45.36,29.4700,0.37,63360.50,PRNT,ok
CRS,CARPENTER TECHNOLOGY,NYSE,401.9000,228.0000,625.9900,43.69,-35.80,76.27,402.9000,-0.25,59629.20,PRNT,ok
