symbol,company,exchange,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,ark_mark,mark_drift_pct,total_market_value,funds,status
TSLA,TESLA INC,NASDAQ,383.0800,297.3800,498.8300,42.54,-23.20,28.82,357.0100,7.30,955981385.44,ARKK|ARKQ|ARKW|ARKX,ok
SPCX,SPACE EXPLORATION TECHN-CL A,NASDAQ,149.7460,104.8300,225.6400,37.18,-33.63,42.85,140.7100,6.42,686437271.93,ARKK|ARKQ|ARKW|ARKX,ok
TEM,TEMPUS AI INC-CL A,NASDAQ,63.3300,40.7700,104.3200,35.50,-39.29,55.33,61.9400,2.24,478925159.08,ARKG|ARKK,ok
CRCL,CIRCLE INTERNET GROUP INC,NYSE,101.3750,49.9000,159.4700,46.98,-36.43,103.16,88.6400,14.37,476779225.28,ARKF|ARKK|ARKW,ok
CRSP,CRISPR THERAPEUTICS AG,NASDAQ,56.8000,44.1200,78.4800,36.90,-27.62,28.74,56.9200,-0.21,421215115.00,ARKG|ARKK,ok
COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,192.3700,139.1100,402.1600,20.25,-52.17,38.29,174.9600,9.95,392995501.92,ARKF|ARKK|ARKW,ok
TWST,TWIST BIOSCIENCE CORP,NASDAQ,129.3400,23.3000,155.4400,80.25,-16.79,455.11,131.0000,-1.27,383916329.00,ARKG|ARKK,ok
NVDA,NVIDIA CORP,NASDAQ,227.2600,164.0700,236.5400,87.19,-3.92,38.51,224.4100,1.27,379850279.42,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
TXG,10X GENOMICS INC-CLASS A,NASDAQ,62.3300,11.1600,66.9400,91.74,-6.89,458.51,61.6500,1.10,372928556.25,ARKG|ARKK,ok
HOOD,ROBINHOOD MARKETS INC - A,NASDAQ,121.6700,63.5150,153.8600,64.37,-20.92,91.56,106.9900,13.72,371986255.68,ARKF|ARKK|ARKW,ok
PLTR,PALANTIR TECHNOLOGIES INC-A,NASDAQ,183.1200,106.3700,207.5200,75.88,-11.76,72.15,169.4600,8.06,363324951.36,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
AMZN,AMAZON.COM INC,NASDAQ,259.0700,196.0000,287.2000,69.16,-9.79,32.18,254.9800,1.60,357589561.56,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
SHOP,SHOPIFY INC - CLASS A,NASDAQ,143.8200,94.0000,182.1900,56.49,-21.06,53.00,141.8700,1.37,345418266.24,ARKF|ARKK|ARKW,ok
AMD,ADVANCED MICRO DEVICES,NASDAQ,456.2360,149.2200,584.7300,70.50,-21.97,205.75,457.0600,-0.18,338429162.88,ARKF|ARKK|ARKQ|ARKW|ARKX,ok
XYZ,BLOCK INC,NYSE,82.5290,48.2100,86.9200,88.66,-5.05,71.19,82.4600,0.08,295830774.82,ARKF|ARKK|ARKW,ok
GOOG,ALPHABET INC-CL C,NASDAQ,339.1100,226.7600,404.4700,63.22,-16.16,49.55,333.7800,1.60,282780752.46,ARKK|ARKQ|ARKW|ARKX,ok
BEAM,BEAM THERAPEUTICS INC,NASDAQ,28.8300,17.7400,38.2600,54.04,-24.65,62.51,29.2900,-1.57,241544729.98,ARKG|ARKK,ok
KTOS,KRATOS DEFENSE & SECURITY,NASDAQ,47.5000,43.0900,134.0000,4.85,-64.55,10.23,47.7800,-0.59,216709964.62,ARKK|ARKQ|ARKX,ok
CRWV,COREWEAVE INC-CL A,NASDAQ,82.6800,60.5500,153.2000,23.89,-46.03,36.55,80.9300,2.16,213011078.13,ARKK|ARKW,ok
AVGO,BROADCOM INC,NASDAQ,350.4900,289.9600,495.0000,29.52,-29.19,20.88,367.2400,-4.56,200647082.60,ARKK|ARKQ|ARKW,ok
CBRS,CEREBRAS SYSTEMS INC - A,NASDAQ,188.2600,160.8100,386.3400,12.17,-51.27,17.07,184.5200,2.03,195738816.00,ARKK|ARKW,ok
TER,TERADYNE INC,NASDAQ,339.0000,109.5600,487.9100,60.64,-30.52,209.42,341.6200,-0.77,193675993.08,ARKK|ARKQ|ARKX,ok
BLSH,BULLISH,NYSE,36.5650,20.5500,74.9800,29.42,-51.23,77.93,32.6400,12.03,182547914.88,ARKF|ARKK|ARKW,ok
TSM,TAIWAN SEMICONDUCTOR-SP ADR,NYSE,411.3900,230.3000,479.0000,72.81,-14.11,78.63,415.5000,-0.99,180245562.00,ARKK|ARKQ|ARKW|ARKX,ok
RKLB,ROCKET LAB,NASDAQ,63.5200,37.5700,151.0000,22.88,-57.93,69.07,63.1000,0.67,170912849.30,ARKK|ARKQ|ARKX,ok
BMNR,BITMINE IMMERSION TECHNOLOGI,NYSE,25.8550,12.8000,65.6000,24.73,-60.59,101.99,23.0600,12.12,169695865.04,ARKF|ARKK|ARKW,ok
META,META PLATFORMS INC-CLASS A,NASDAQ,617.2100,520.2600,790.8000,35.84,-21.95,18.63,592.8500,4.11,162220952.65,ARKF|ARKK|ARKW,ok
NTLA,INTELLIA THERAPEUTICS INC,NASDAQ,12.6900,7.9500,28.2500,23.35,-55.08,59.62,12.7600,-0.55,158916408.64,ARKG|ARKK,ok
ACHR,ARCHER AVIATION INC-A,NYSE,5.7450,4.3000,14.6200,14.00,-60.70,33.60,5.6500,1.68,153742291.25,ARKK|ARKQ|ARKX,ok
ILMN,ILLUMINA INC,NASDAQ,216.7250,88.0000,231.8100,89.51,-6.51,146.28,213.2500,1.63,151678754.00,ARKG|ARKK,ok
NTRA,NATERA INC,NASDAQ,323.3600,157.4250,343.1800,89.33,-5.78,105.41,325.1650,-0.56,149803190.34,ARKG|ARKK,ok
WGS,GENEDX HOLDINGS CORP,NASDAQ,86.7400,32.2100,170.8700,39.33,-49.24,169.30,86.7200,0.02,127600675.20,ARKG|ARKK,ok
XE,X-ENERGY INC,NASDAQ,18.1500,13.2900,37.1000,20.41,-51.08,36.57,18.1000,0.28,116876587.00,ARKK|ARKQ|ARKX,ok
PSNL,PERSONALIS INC,NASDAQ,16.8600,4.7300,18.8900,85.66,-10.75,256.45,16.7300,0.78,116680825.31,ARKG,ok
NET,CLOUDFLARE INC - CLASS A,NYSE,282.1100,158.8300,332.2200,71.10,-15.08,77.62,272.7400,3.44,114888997.60,ARKF|ARKK|ARKW,ok
RXRX,RECURSION PHARMACEUTICALS-A,NASDAQ,3.3550,2.7700,7.1800,13.27,-53.27,21.12,3.3800,-0.74,114265716.50,ARKG|ARKK,ok
LLY,ELI LILLY & CO,NYSE,1154.3700,712.0500,1292.6500,76.18,-10.70,62.12,1160.0800,-0.49,109653081.76,ARKG|ARKK,ok
LHX,L3HARRIS TECHNOLOGIES INC,NYSE,260.1700,258.5400,379.2300,1.35,-31.40,0.63,261.3100,-0.44,109038130.25,ARKQ|ARKX|PRNT,ok
DE,DEERE & CO,NYSE,694.4350,433.0000,705.8800,95.81,-1.62,60.38,698.3700,-0.56,101661022.53,ARKQ|ARKX,ok
BWXT,BWX TECHNOLOGIES INC,NYSE,160.4000,147.7400,241.8200,13.46,-33.67,8.57,155.6700,3.04,99392492.94,ARKK|ARKQ|ARKX,ok
VCYT,VERACYTE INC,NASDAQ,44.6400,29.4550,60.9100,48.28,-26.71,51.55,44.8800,-0.53,96661197.60,ARKG|ARKK,ok
ABSI,ABSCI CORP,NASDAQ,8.8200,2.2400,12.0550,67.04,-26.84,293.75,8.8000,0.23,96142578.40,ARKG,ok
GH,GUARDANT HEALTH INC,NASDAQ,160.8100,53.4000,176.5800,87.20,-8.93,201.14,163.0600,-1.38,88270900.40,ARKG,ok
DASH,DOORDASH INC - A,NASDAQ,223.7600,143.3000,285.5000,56.58,-21.63,56.15,226.2400,-1.10,84078249.92,ARKF|ARKQ|ARKW|ARKX,ok
AVAV,AEROVIRONMENT INC,NASDAQ,142.2000,135.2000,417.8600,2.48,-65.97,5.18,145.3900,-2.19,79813730.57,ARKQ|ARKX,ok
CDNA,CAREDX INC,NASDAQ,48.9100,12.3700,53.6710,88.47,-8.87,295.39,49.6000,-1.39,77068281.60,ARKG,ok
TRMB,TRIMBLE INC,NASDAQ,60.0150,47.9200,84.4200,33.14,-28.91,25.24,59.1100,1.53,64849049.01,ARKQ|ARKX,ok
CMPS,COMPASS PATHWAYS PLC,NASDAQ,13.1200,4.6850,15.4000,78.72,-14.81,180.04,13.2300,-0.83,62715822.75,ARKG,ok
TOST,TOAST INC-CLASS A,NYSE,33.9750,22.2600,42.6200,57.54,-20.28,52.63,34.0400,-0.19,62014991.08,ARKF|ARKW,ok
