symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2724490,978010175.30,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1706986;ARKQ=563948;ARKW=382699;ARKX=70857
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,4955117,734100583.55,4,ARKK|ARKQ|ARKW|ARKX,ARKK=2801518;ARKQ=1053214;ARKW=557134;ARKX=543251
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,5343745,520587637.90,3,ARKF|ARKK|ARKW,ARKF=593572;ARKK=3803275;ARKW=946898
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,7482800,465504988.00,2,ARKG|ARKK,ARKG=2373943;ARKK=5108857
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2254766,431674950.70,3,ARKF|ARKK|ARKW,ARKF=256234;ARKK=1614307;ARKW=384225
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,3595099,411027668.67,3,ARKF|ARKK|ARKW,ARKF=433692;ARKK=2346905;ARKW=814502
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,7564645,400623599.20,2,ARKG|ARKK,ARKG=2061984;ARKK=5502661
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,5510159,386317247.49,2,ARKG|ARKK,ARKG=2539630;ARKK=2970529
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,2783654,375097376.50,2,ARKG|ARKK,ARKG=1195030;ARKK=1588624
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2100194,363984622.14,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=192421;ARKK=982335;ARKQ=496166;ARKW=271958;ARKX=157314
NVDA,NASDAQ,67066G104,NVIDIA CORP,1712948,361363510.08,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=111999;ARKK=741026;ARKQ=428976;ARKW=281072;ARKX=149875
AMZN,NASDAQ,023135106,AMAZON.COM INC,1399684,354875881.36,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=117160;ARKK=610856;ARKQ=264140;ARKW=271568;ARKX=135960
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,710339,350488365.99,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=26224;ARKK=326527;ARKQ=155626;ARKW=136636;ARKX=65326
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,2427118,324966829.02,3,ARKF|ARKK|ARKW,ARKF=422127;ARKK=1492131;ARKW=512860
XYZ,NYSE,852234103,BLOCK INC,3642461,289539224.89,3,ARKF|ARKK|ARKW,ARKF=790528;ARKK=2004916;ARKW=847017
GOOG,NASDAQ,02079K107,ALPHABET INC-CL C,817838,282734774.98,4,ARKK|ARKQ|ARKW|ARKX,ARKK=287705;ARKQ=259897;ARKW=181598;ARKX=88638
