cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2750731,935138510.76,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1725907.0,""ARKQ"":565749.0,""ARKW"":385983.0,""ARKX"":73092.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,4804954,678891950.66,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2710335.0,""ARKQ"":1020523.0,""ARKW"":528535.0,""ARKX"":545561.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1044631,504567219.31,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":437877.0,""ARKQ"":233458.0,""ARKW"":244129.0,""ARKF"":51677.0,""ARKX"":77490.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8419937,457118379.73,2,ARKG|ARKK,"{""ARKK"":6145647.0,""ARKG"":2274290.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,2862101,453728871.53,3,ARKF|ARKK|ARKW,"{""ARKK"":1829471.0,""ARKW"":547455.0,""ARKF"":485175.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2534276,453660746.76,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1284208.0,""ARKQ"":525187.0,""ARKW"":319433.0,""ARKF"":231838.0,""ARKX"":173610.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,5502697,414793299.86,3,ARKF|ARKK|ARKW,"{""ARKK"":3960062.0,""ARKW"":984255.0,""ARKF"":558380.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3231583,404885034.07,2,ARKG|ARKK,"{""ARKK"":1953679.0,""ARKG"":1277904.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7432852,401299679.48,2,ARKG|ARKK,"{""ARKK"":5441325.0,""ARKG"":1991527.0}"
023135106,AMZN,AMAZON.COM INC,equity,1434134,380231947.42,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":637843.0,""ARKQ"":264983.0,""ARKW"":273898.0,""ARKF"":117160.0,""ARKX"":140250.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,6388882,371513488.30,2,ARKG|ARKK,"{""ARKK"":3385810.0,""ARKG"":3003072.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,3597084,357442237.08,3,ARKF|ARKK|ARKW,"{""ARKK"":2316784.0,""ARKW"":846608.0,""ARKF"":433692.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2312984,355968237.60,3,ARKF|ARKK|ARKW,"{""ARKK"":1669227.0,""ARKW"":387523.0,""ARKF"":256234.0}"
67066G104,NVDA,NVIDIA CORP,equity,1382498,311476799.40,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":632654.0,""ARKQ"":324865.0,""ARKW"":183964.0,""ARKF"":101153.0,""ARKX"":139862.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,864893,297471298.42,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":329582.0,""ARKQ"":260727.0,""ARKW"":183156.0,""ARKX"":91428.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4625763,290451658.77,3,ARKK|ARKQ|ARKX,"{""ARKK"":1377855.0,""ARKQ"":2249112.0,""ARKX"":998796.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2712937,288358073.73,2,ARKK|ARKW,"{""ARKK"":1956359.0,""ARKW"":756578.0}"
852234103,XYZ,BLOCK INC,equity,3000230,249289110.70,3,ARKF|ARKK|ARKW,"{""ARKK"":1630221.0,""ARKW"":765466.0,""ARKF"":604543.0}"
880770102,TER,TERADYNE INC,equity,576863,236813798.76,3,ARKK|ARKQ|ARKX,"{""ARKK"":170265.0,""ARKQ"":326003.0,""ARKX"":80595.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,236657627.64,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
