trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,asset_class,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-08-06,2026-08-06,2026-08-07,ARKK,buy,XYZ,BLOCK INC,852234103,equity,1458807,1643884,1460675,183209,12.54,1.001280
2026-08-06,2026-08-06,2026-08-07,ARKW,buy,MELI,MERCADOLIBRE INC,58733R102,equity,8688,11087,8688,2399,27.61,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKW,buy,XYZ,BLOCK INC,852234103,equity,713169,765466,713169,52297,7.33,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKW,buy,DDOG,DATADOG INC - CLASS A,23804L103,equity,157347,171624,157347,14277,9.07,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKK,buy,NTLA,INTELLIA THERAPEUTICS INC,45826J105,equity,9823409,10122553,9835986,286567,2.91,1.001280
2026-08-06,2026-08-06,2026-08-07,ARKF,buy,XYZ,BLOCK INC,852234103,equity,572373,604543,572373,32170,5.62,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKK,buy,WGS,GENEDX HOLDINGS CORP,81663L200,equity,963842,984585,965076,19509,2.02,1.001280
2026-08-06,2026-08-06,2026-08-07,ARKK,buy,CBRS,CEREBRAS SYSTEMS INC - A,15675D103,equity,528878,535329,529555,5774,1.09,1.001280
2026-08-06,2026-08-06,2026-08-07,ARKG,buy,NTLA,INTELLIA THERAPEUTICS INC,45826J105,equity,2643990,2729011,2637422,91589,3.47,0.997516
2026-08-06,2026-08-06,2026-08-07,ARKG,buy,WGS,GENEDX HOLDINGS CORP,81663L200,equity,487158,498633,485948,12685,2.61,0.997516
2026-08-06,2026-08-06,2026-08-07,ARKG,buy,SDGR,SCHRODINGER INC,80810D103,equity,2037517,2081039,2032455,48584,2.39,0.997516
2026-08-06,2026-08-06,2026-08-07,ARKW,buy,CBRS,CEREBRAS SYSTEMS INC - A,15675D103,equity,152373,154033,152373,1660,1.09,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKF,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,779773,991903,779773,212130,27.20,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKK,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,25489991,12307921,25522625,-13214704,-51.78,1.001280
2026-08-06,2026-08-06,2026-08-07,ARKK,sell,SHOP,SHOPIFY INC - CLASS A,82509L107,equity,2002066,1923671,2004629,-80958,-4.04,1.001280
2026-08-06,2026-08-06,2026-08-07,ARKG,sell,ATAI UQ,ATAIBECKLEY INC,04650F101,equity,1182883,663761,1179945,-516184,-43.75,0.997516
2026-08-06,2026-08-06,2026-08-07,ARKW,sell,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,equity,353041,334632,353041,-18409,-5.21,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKW,sell,CRWD,CROWDSTRIKE HOLDINGS INC - A,22788C105,equity,208373,195208,208373,-13165,-6.32,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKW,sell,SHOP,SHOPIFY INC - CLASS A,82509L107,equity,594559,576075,594559,-18484,-3.11,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKW,sell,NET,CLOUDFLARE INC - CLASS A,18915M107,equity,113897,104358,113897,-9539,-8.38,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKF,sell,SHOP,SHOPIFY INC - CLASS A,82509L107,equity,544972,527243,544972,-17729,-3.25,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKK,sell,RBLX,ROBLOX CORP -CLASS A,771049103,equity,3008332,2947150,3012183,-65033,-2.16,1.001280
2026-08-06,2026-08-06,2026-08-07,ARKQ,sell,ESLT,ELBIT SYSTEMS LTD,M3760D101,equity,33454,30963,33245,-2282,-6.86,0.993752
2026-08-06,2026-08-06,2026-08-07,ARKW,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,4162295,2343036,4162295,-1819259,-43.71,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKX,sell,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,equity,255374,226713,255374,-28661,-11.22,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKW,sell,BLSH,BULLISH,G16910120,equity,988222,948713,988222,-39509,-4.00,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKG,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,3558343,2875941,3549503,-673562,-18.98,0.997516
2026-08-06,2026-08-06,2026-08-07,ARKQ,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,2651081,2360884,2634516,-273632,-10.39,0.993752
2026-08-06,2026-08-06,2026-08-07,ARKX,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,1997386,1878158,1997386,-119228,-5.97,1.000000
2026-08-06,2026-08-06,2026-08-07,IZRL,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,221108,181109,221108,-39999,-18.09,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKK,sell,,BRERA HOLDINGS PLC-CL B,G13311132,equity,316446,313193,316851,-3658,-1.15,1.001280
2026-08-06,2026-08-06,2026-08-07,ARKQ,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,equity,1881,490,1869,-1379,-73.79,0.993752
2026-08-06,2026-08-06,2026-08-07,ARKW,sell,,BRERA HOLDINGS PLC-CL B,G13311132,equity,125298,124010,125298,-1288,-1.03,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKF,sell,,BRERA HOLDINGS PLC-CL B,G13311132,equity,79302,78487,79302,-815,-1.03,1.000000
2026-08-06,2026-08-06,2026-08-07,ARKX,exit,SRTA,STRATA CRITICAL MEDICAL INC,092667104,equity,300,0,300,-300,-100.00,1.000000
