cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2723906,950506998.70,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1704760.0,""ARKQ"":563948.0,""ARKW"":384341.0,""ARKX"":70857.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,4953854,668770290.00,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2797864.0,""ARKQ"":1053214.0,""ARKW"":559525.0,""ARKX"":543251.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8547874,565612822.58,2,ARKG|ARKK,"{""ARKK"":6070331.0,""ARKG"":2477543.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,5449983,478072508.76,3,ARKF|ARKK|ARKW,"{""ARKK"":3911536.0,""ARKW"":980067.0,""ARKF"":558380.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,971157,443571103.98,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":432519.0,""ARKQ"":216236.0,""ARKW"":209649.0,""ARKF"":40859.0,""ARKX"":71894.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3145299,442858099.20,2,ARKG|ARKK,"{""ARKK"":1832591.0,""ARKG"":1312708.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7489985,427490893.88,2,ARKG|ARKK,"{""ARKK"":5374635.0,""ARKG"":2115350.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2290891,411169116.68,3,ARKF|ARKK|ARKW,"{""ARKK"":1648783.0,""ARKW"":385874.0,""ARKF"":256234.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2314623,407119039.47,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1158570.0,""ARKQ"":496166.0,""ARKW"":292758.0,""ARKF"":209815.0,""ARKX"":157314.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,2643798,396040940.40,3,ARKF|ARKK|ARKW,"{""ARKK"":1621231.0,""ARKW"":545126.0,""ARKF"":477441.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,6107208,389639870.40,2,ARKG|ARKK,"{""ARKK"":3078462.0,""ARKG"":3028746.0}"
023135106,AMZN,AMAZON.COM INC,equity,1420027,372146475.89,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":630034.0,""ARKQ"":264140.0,""ARKW"":272733.0,""ARKF"":117160.0,""ARKX"":135960.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,3565096,369415247.52,3,ARKF|ARKK|ARKW,"{""ARKK"":2288398.0,""ARKW"":843006.0,""ARKF"":433692.0}"
67066G104,NVDA,NVIDIA CORP,equity,1468745,306203957.60,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":680414.0,""ARKQ"":341914.0,""ARKW"":199008.0,""ARKF"":104539.0,""ARKX"":142870.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,856466,295129618.94,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":325554.0,""ARKQ"":259897.0,""ARKW"":182377.0,""ARKX"":88638.0}"
852234103,XYZ,BLOCK INC,equity,3182565,258997139.70,3,ARKF|ARKK|ARKW,"{""ARKK"":1806090.0,""ARKW"":762209.0,""ARKF"":614266.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4571099,242588223.93,3,ARKK|ARKQ|ARKX,"{""ARKK"":1360983.0,""ARKQ"":2241950.0,""ARKX"":968166.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,236657627.64,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8345102,236416739.66,2,ARKG|ARKK,"{""ARKK"":5954622.0,""ARKG"":2390480.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2685740,231645075.00,2,ARKK|ARKW,"{""ARKK"":1932381.0,""ARKW"":753359.0}"
880770102,TER,TERADYNE INC,equity,571294,208465180.60,3,ARKK|ARKQ|ARKX,"{""ARKK"":168194.0,""ARKQ"":324965.0,""ARKX"":78135.0}"
09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,7502765,181116747.10,3,ARKF|ARKK|ARKW,"{""ARKK"":5260885.0,""ARKW"":1507414.0,""ARKF"":734466.0}"
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,438161,179698589.32,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":151881.0,""ARKQ"":160893.0,""ARKW"":92944.0,""ARKX"":32443.0}"
G16910120,BLSH,BULLISH,equity,5703381,174580492.41,3,ARKF|ARKK|ARKW,"{""ARKK"":4093085.0,""ARKW"":864445.0,""ARKF"":745851.0}"
15675D103,CBRS,CEREBRAS SYSTEMS INC - A,equity,917689,170167071.27,2,ARKK|ARKW,"{""ARKK"":711187.0,""ARKW"":206502.0}"
03945R102,ACHR,ARCHER AVIATION INC-A,equity,27570665,167353936.55,3,ARKK|ARKQ|ARKX,"{""ARKK"":13766660.0,""ARKQ"":8928306.0,""ARKX"":4875699.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,12694305,159440470.80,2,ARKG|ARKK,"{""ARKK"":9989474.0,""ARKG"":2704831.0}"
452327109,ILMN,ILLUMINA INC,equity,711172,158747813.84,2,ARKG|ARKK,"{""ARKK"":338021.0,""ARKG"":373151.0}"
11135F101,AVGO,BROADCOM INC,equity,440659,158090822.84,3,ARKK|ARKQ|ARKW,"{""ARKK"":237473.0,""ARKQ"":99952.0,""ARKW"":103234.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,277935,155371223.70,3,ARKF|ARKK|ARKW,"{""ARKK"":152654.0,""ARKW"":81198.0,""ARKF"":44083.0}"
632307104,NTRA,NATERA INC,equity,460239,150829525.08,2,ARKG|ARKK,"{""ARKK"":211184.0,""ARKG"":249055.0}"
