trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-07-07,2026-07-07,2026-07-08,ARKK,buy,XE,X-ENERGY INC,98386P102,2941831,3426450,2945427,481023,16.33,1.001222
2026-07-07,2026-07-07,2026-07-08,ARKG,buy,LLY,ELI LILLY & CO,532457108,39924,46327,39973,6354,15.89,1.001234
2026-07-07,2026-07-07,2026-07-08,ARKK,buy,SPCX,SPACE EXPLORATION TECHN-CL A,84615Q103,1732078,1778392,1734195,44197,2.55,1.001222
2026-07-07,2026-07-07,2026-07-08,ARKK,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,3738018,7433122,3742588,3690534,98.61,1.001222
2026-07-07,2026-07-07,2026-07-08,ARKK,buy,KTOS,KRATOS DEFENSE & SECURITY,50077B207,1270578,1323189,1272131,51058,4.01,1.001222
2026-07-07,2026-07-07,2026-07-08,ARKG,buy,CMPS,COMPASS PATHWAYS PLC,20451W101,3247923,3443002,3251932,191070,5.88,1.001234
2026-07-07,2026-07-07,2026-07-08,ARKK,buy,CRWV,COREWEAVE INC-CL A,21873S108,1592407,1618096,1594354,23742,1.49,1.001222
2026-07-07,2026-07-07,2026-07-08,ARKQ,buy,XE,X-ENERGY INC,98386P102,998333,1086720,998333,88387,8.85,1.000000
2026-07-07,2026-07-07,2026-07-08,ARKG,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,3067891,4510052,3071678,1438374,46.83,1.001234
2026-07-07,2026-07-07,2026-07-08,ARKX,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,753567,1622883,735702,887181,120.59,0.976293
2026-07-07,2026-07-07,2026-07-08,ARKG,buy,PRME,PRIME MEDICINE INC,74168J101,4824612,5036761,4830568,206193,4.27,1.001234
2026-07-07,2026-07-07,2026-07-08,ARKQ,buy,KTOS,KRATOS DEFENSE & SECURITY,50077B207,2089940,2106070,2089940,16130,0.77,1.000000
