cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2757409,935588873.70,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1732585.0,""ARKQ"":565749.0,""ARKW"":385983.0,""ARKX"":73092.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,4815442,704162083.66,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2720823.0,""ARKQ"":1020523.0,""ARKW"":528535.0,""ARKX"":545561.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1020406,516325436.00,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":439569.0,""ARKQ"":225424.0,""ARKW"":237076.0,""ARKF"":44178.0,""ARKX"":74159.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8466387,437204224.68,2,ARKG|ARKK,"{""ARKK"":6169431.0,""ARKG"":2296956.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2517221,434346483.55,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1289176.0,""ARKQ"":525187.0,""ARKW"":319433.0,""ARKF"":209815.0,""ARKX"":173610.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,5518021,411589186.39,3,ARKF|ARKK|ARKW,"{""ARKK"":3975386.0,""ARKW"":984255.0,""ARKF"":558380.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,2763651,410816721.15,3,ARKF|ARKK|ARKW,"{""ARKK"":1731021.0,""ARKW"":547455.0,""ARKF"":485175.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7453912,404598343.36,2,ARKG|ARKK,"{""ARKK"":5462385.0,""ARKG"":1991527.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3174662,394959699.42,2,ARKG|ARKK,"{""ARKK"":1938786.0,""ARKG"":1235876.0}"
023135106,AMZN,AMAZON.COM INC,equity,1436600,375397946.00,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":640309.0,""ARKQ"":264983.0,""ARKW"":273898.0,""ARKF"":117160.0,""ARKX"":140250.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,6296060,365108519.40,2,ARKG|ARKK,"{""ARKK"":3335721.0,""ARKG"":2960339.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2319440,349191692.00,3,ARKF|ARKK|ARKW,"{""ARKK"":1675683.0,""ARKW"":387523.0,""ARKF"":256234.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,3606048,347082120.00,3,ARKF|ARKK|ARKW,"{""ARKK"":2325748.0,""ARKW"":846608.0,""ARKF"":433692.0}"
67066G104,NVDA,NVIDIA CORP,equity,1486302,334432813.02,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":691514.0,""ARKQ"":343006.0,""ARKW"":199858.0,""ARKF"":104539.0,""ARKX"":147385.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,866165,295752039.25,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":330854.0,""ARKQ"":260727.0,""ARKW"":183156.0,""ARKX"":91428.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4631091,293101749.39,3,ARKK|ARKQ|ARKX,"{""ARKK"":1383183.0,""ARKQ"":2249112.0,""ARKX"":998796.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2720509,288373954.00,2,ARKK|ARKW,"{""ARKK"":1963931.0,""ARKW"":756578.0}"
852234103,XYZ,BLOCK INC,equity,3198207,256496201.40,3,ARKF|ARKK|ARKW,"{""ARKK"":1819426.0,""ARKW"":765466.0,""ARKF"":613315.0}"
880770102,TER,TERADYNE INC,equity,577517,255920883.38,3,ARKK|ARKQ|ARKX,"{""ARKK"":170919.0,""ARKQ"":326003.0,""ARKX"":80595.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,236657627.64,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8302383,224994579.30,2,ARKG|ARKK,"{""ARKK"":6051847.0,""ARKG"":2250536.0}"
15675D103,CBRS,CEREBRAS SYSTEMS INC - A,equity,815142,205399481.16,2,ARKK|ARKW,"{""ARKK"":632875.0,""ARKW"":182267.0}"
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,442567,190733099.99,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":154356.0,""ARKQ"":161407.0,""ARKW"":93341.0,""ARKX"":33463.0}"
03945R102,ACHR,ARCHER AVIATION INC-A,equity,27978254,178781043.06,3,ARKK|ARKQ|ARKX,"{""ARKK"":13991435.0,""ARKQ"":8956830.0,""ARKX"":5029989.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,280756,159741741.32,3,ARKF|ARKK|ARKW,"{""ARKK"":155129.0,""ARKW"":81544.0,""ARKF"":44083.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,12786102,154583973.18,2,ARKG|ARKK,"{""ARKK"":10111791.0,""ARKG"":2674311.0}"
11135F101,AVGO,BROADCOM INC,equity,389320,152780847.60,3,ARKK|ARKQ|ARKW,"{""ARKK"":206135.0,""ARKQ"":89343.0,""ARKW"":93842.0}"
773121108,RKLB UQ,ROCKET LAB,equity,1844664,151410021.12,3,ARKK|ARKQ|ARKX,"{""ARKK"":200475.0,""ARKQ"":1038167.0,""ARKX"":606022.0}"
G16910120,BLSH,BULLISH,equity,5773900,144116544.00,3,ARKF|ARKK|ARKW,"{""ARKK"":4159910.0,""ARKW"":868139.0,""ARKF"":745851.0}"
452327109,ILMN,ILLUMINA INC,equity,743914,143675830.39,2,ARKG|ARKK,"{""ARKK"":392568.0,""ARKG"":351346.0}"
09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,7595106,142256335.38,3,ARKF|ARKK|ARKW,"{""ARKK"":5346785.0,""ARKW"":1513855.0,""ARKF"":734466.0}"
632307104,NTRA,NATERA INC,equity,449111,141101693.98,2,ARKG|ARKK,"{""ARKK"":214609.0,""ARKG"":234502.0}"
