trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-07-01,2026-07-01,2026-07-02,ARKW,buy,CRWD,CROWDSTRIKE HOLDINGS INC - A,22788C105,60525,242100,60525,181575,300.00,1.000000
2026-07-01,2026-07-01,2026-07-02,ARKK,buy,CRCL,CIRCLE INTERNET GROUP INC,172573107,2898410,3158873,2948522,210351,7.13,1.017290
2026-07-01,2026-07-01,2026-07-02,ARKF,buy,CRWD,CROWDSTRIKE HOLDINGS INC - A,22788C105,22165,88660,22165,66495,300.00,1.000000
2026-07-01,2026-07-01,2026-07-02,ARKK,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,718907,6720994,731337,5989657,819.00,1.017290
2026-07-01,2026-07-01,2026-07-02,ARKW,buy,CRCL,CIRCLE INTERNET GROUP INC,172573107,726396,780242,726396,53846,7.41,1.000000
2026-07-01,2026-07-01,2026-07-02,ARKQ,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,7056032,9524199,7013789,2510410,35.79,0.994013
2026-07-01,2026-07-01,2026-07-02,ARKG,buy,ALMR,ALAMAR BIOSCIENCES INC,010911105,667242,730583,646676,83907,12.98,0.969178
2026-07-01,2026-07-01,2026-07-02,ARKX,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,425925,2232949,425925,1807024,424.26,1.000000
2026-07-01,2026-07-01,2026-07-02,ARKF,buy,CRCL,CIRCLE INTERNET GROUP INC,172573107,474163,497583,474163,23420,4.94,1.000000
2026-07-01,2026-07-01,2026-07-02,ARKG,buy,GENB,GENERATE BIOMEDICINES INC,370920100,833273,877278,807590,69688,8.63,0.969178
2026-07-01,2026-07-01,2026-07-02,ARKK,buy,XE,X-ENERGY INC,98386P102,2703349,2802526,2750089,52437,1.91,1.017290
2026-07-01,2026-07-01,2026-07-02,ARKK,buy,SNOW,SNOWFLAKE INC,833445109,154685,159914,157359,2555,1.62,1.017290
2026-07-01,2026-07-01,2026-07-02,ARKK,buy,BLSH,BULLISH,G16910120,4312846,4410144,4387413,22731,0.52,1.017290
2026-07-01,2026-07-01,2026-07-02,PRNT,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,339173,373333,339173,34160,10.07,1.000000
2026-07-01,2026-07-01,2026-07-02,ARKK,sell,ROKU,ROKU INC,77543R102,178402,129345,181486,-52141,-28.73,1.017290
2026-07-01,2026-07-01,2026-07-02,ARKK,sell,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,57644,7724,58641,-50917,-86.83,1.017290
2026-07-01,2026-07-01,2026-07-02,ARKG,sell,TWST,TWIST BIOSCIENCE CORP,90184D100,1505893,1425356,1459478,-34122,-2.34,0.969178
2026-07-01,2026-07-01,2026-07-02,ARKK,sell,VCYT,VERACYTE INC,92337F107,1138868,1102880,1158559,-55679,-4.81,1.017290
2026-07-01,2026-07-01,2026-07-02,ARKK,sell,,OPENAI GROUP PBC SERIES C,PPOPENAIC,254476,254476,258876,-4400,-1.70,1.017290
2026-07-01,2026-07-01,2026-07-02,ARKW,sell,ROKU,ROKU INC,77543R102,192288,176558,192288,-15730,-8.18,1.000000
2026-07-01,2026-07-01,2026-07-02,ARKF,sell,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,23538,4475,23538,-19063,-80.99,1.000000
2026-07-01,2026-07-01,2026-07-02,ARKW,sell,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,11390,1721,11390,-9669,-84.89,1.000000
2026-07-01,2026-07-01,2026-07-02,ARKQ,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,1442601,1291896,1433964,-142068,-9.91,0.994013
2026-07-01,2026-07-01,2026-07-02,ARKX,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,1036283,932976,1036283,-103307,-9.97,1.000000
2026-07-01,2026-07-01,2026-07-02,ARKG,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,2624789,2434220,2543888,-109668,-4.31,0.969178
2026-07-01,2026-07-01,2026-07-02,ARKK,sell,,BRERA HOLDINGS PLC-CL B,G13311132,364423,364423,370724,-6301,-1.70,1.017290
2026-07-01,2026-07-01,2026-07-02,ARKK,sell,,BRERA HOLDINGS PLC WTS,BREADUMMY,431626,431626,439089,-7463,-1.70,1.017290
2026-07-01,2026-07-01,2026-07-02,ARKW,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,793711,774340,793711,-19371,-2.44,1.000000
2026-07-01,2026-07-01,2026-07-02,ARKF,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,958895,946377,958895,-12518,-1.31,1.000000
