symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2535626,1044272211.84,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1583515;ARKQ=557145;ARKW=336141;ARKX=58825
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,1258558,678979455.42,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=53721;ARKK=560178;ARKQ=279833;ARKW=269085;ARKX=95741
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,3311872,543776263.68,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1715134;ARKQ=786315;ARKW=328772;ARKX=481651
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,8569985,499715825.35,2,ARKG|ARKK,ARKG=2277119;ARKK=6292866
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,7910728,445769522.80,2,ARKG|ARKK,ARKG=2077445;ARKK=5833283
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,4337395,441676932.85,3,ARKF|ARKK|ARKW,ARKF=450884;ARKK=2929037;ARKW=957474
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,3649766,416839774.86,3,ARKF|ARKK|ARKW,ARKF=607914;ARKK=2393348;ARKW=648504
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,4042162,397587054.32,2,ARKG|ARKK,ARKG=1534996;ARKK=2507166
AMZN,NASDAQ,023135106,AMAZON.COM INC,1428967,343152135.38,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=116647;ARKK=634288;ARKQ=269047;ARKW=258071;ARKX=150914
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2190936,332255444.40,3,ARKF|ARKK|ARKW,ARKF=255613;ARKK=1580340;ARKW=354983
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2856772,330528520.40,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=250752;ARKK=1458217;ARKQ=591369;ARKW=356603;ARKX=199831
GOOG,NASDAQ,02079K107,ALPHABET INC-CL C,904623,317775967.44,4,ARKK|ARKQ|ARKW|ARKX,ARKK=344210;ARKQ=278157;ARKW=180040;ARKX=102216
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,8521491,316573390.65,2,ARKG|ARKK,ARKG=3152456;ARKK=5369035
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,4051157,307725885.72,3,ARKF|ARKK|ARKW,ARKF=475907;ARKK=2855434;ARKW=719816
BEAM,NASDAQ,07373V105,BEAM THERAPEUTICS INC,8481383,296424335.85,2,ARKG|ARKK,ARKG=2184529;ARKK=6296854
RBLX,NYSE,771049103,ROBLOX CORP -CLASS A,5421216,294588877.44,3,ARKF|ARKK|ARKW,ARKF=436872;ARKK=3966719;ARKW=1017625
TER,NASDAQ,880770102,TERADYNE INC,591345,273916917.45,3,ARKK|ARKQ|ARKX,ARKK=151164;ARKQ=347801;ARKX=92380
NTLA,NASDAQ,45826J105,INTELLIA THERAPEUTICS INC,14102491,234242375.51,2,ARKG|ARKK,ARKG=2976017;ARKK=11126474
NVDA,NASDAQ,67066G104,NVIDIA CORP,1159488,226065375.36,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=86893;ARKK=513258;ARKQ=298297;ARKW=125745;ARKX=135295
DE,NYSE,244199105,DEERE & CO,358982,224367339.82,3,ARKK|ARKQ|ARKX,ARKK=119434;ARKQ=150081;ARKX=89467
XYZ,NYSE,852234103,BLOCK INC,2763071,215574799.42,3,ARKF|ARKK|ARKW,ARKF=570820;ARKK=1555650;ARKW=636601
CRWV,NASDAQ,21873S108,COREWEAVE INC-CL A,2159713,206274188.63,2,ARKK|ARKW,ARKK=1576839;ARKW=582874
KTOS,NASDAQ,50077B207,KRATOS DEFENSE & SECURITY,4293118,201561890.10,3,ARKK|ARKQ|ARKX,ARKK=1188410;ARKQ=2086177;ARKX=1018531
TSM,NYSE,874039100,TAIWAN SEMICONDUCTOR-SP ADR,423120,192561912.00,4,ARKK|ARKQ|ARKW|ARKX,ARKK=138499;ARKQ=164838;ARKW=85672;ARKX=34111
ILMN,NASDAQ,452327109,ILLUMINA INC,936924,169676936.40,2,ARKG|ARKK,ARKG=390460;ARKK=546464
NTRA,NASDAQ,632307104,NATERA INC,617552,168165585.12,2,ARKG|ARKK,ARKG=261122;ARKK=356430
RKLB,NASDAQ,773121108,ROCKET LAB,1542755,151205417.55,2,ARKQ|ARKX,ARKQ=951460;ARKX=591295
CBRS,NASDAQ,15675D103,CEREBRAS SYSTEMS INC - A,660174,142703211.84,2,ARKK|ARKW,ARKK=518639;ARKW=141535
BLSH,NYSE,G16910120,BULLISH,5901032,139795448.08,3,ARKF|ARKK|ARKW,ARKF=760124;ARKK=4204041;ARKW=936867
AVGO,NASDAQ,11135F101,BROADCOM INC,361486,134635460.70,3,ARKK|ARKQ|ARKW,ARKK=183992;ARKQ=85248;ARKW=92246
ACHR,NYSE,03945R102,ARCHER AVIATION INC-A,28646294,134064655.92,3,ARKK|ARKQ|ARKX,ARKK=14011739;ARKQ=9171141;ARKX=5463414
VCYT,NASDAQ,92337F107,VERACYTE INC,2113357,127202957.83,2,ARKG|ARKK,ARKG=953692;ARKK=1159665
RXRX,NASDAQ,75629V104,RECURSION PHARMACEUTICALS-A,33717797,124418670.93,2,ARKG|ARKK,ARKG=13413620;ARKK=20304177
LHX,NYSE,502431109,L3HARRIS TECHNOLOGIES INC,422199,122175946.62,3,ARKQ|ARKX|PRNT,ARKQ=210138;ARKX=208913;PRNT=3148
ABSI,NASDAQ,00091E109,ABSCI CORP,10446452,118567230.20,1,ARKG,ARKG=10446452
BMNR,NYSE,09175A206,BITMINE IMMERSION TECHNOLOGI,7950722,109719963.60,3,ARKF|ARKK|ARKW,ARKF=763586;ARKK=5699045;ARKW=1488091
PSNL,NASDAQ,71535D106,PERSONALIS INC,7968772,109570615.00,1,ARKG,ARKG=7968772
META,NASDAQ,30303M102,META PLATFORMS INC-CLASS A,193417,108816404.20,3,ARKF|ARKK|ARKW,ARKF=35517;ARKK=101816;ARKW=56084
BWXT,NYSE,05605H100,BWX TECHNOLOGIES INC,519166,98252165.50,3,ARKK|ARKQ|ARKX,ARKK=265116;ARKQ=178475;ARKX=75575
WGS,NASDAQ,81663L200,GENEDX HOLDINGS CORP,1363227,94226250.24,2,ARKG|ARKK,ARKG=455260;ARKK=907967
LLY,NYSE,532457108,ELI LILLY & CO,69936,86016384.48,2,ARKG|ARKK,ARKG=40512;ARKK=29424
AVAV,NASDAQ,008073108,AEROVIRONMENT INC,567828,78928092.00,2,ARKQ|ARKX,ARKQ=325143;ARKX=242685
XE,NASDAQ,98386P102,X-ENERGY INC,4100350,77127583.50,3,ARKK|ARKQ|ARKX,ARKK=2633535;ARKQ=972872;ARKX=493943
GH,NASDAQ,40131M109,GUARDANT HEALTH INC,493005,75794588.70,1,ARKG,ARKG=493005
DASH,NASDAQ,25809K105,DOORDASH INC - A,376256,69539633.92,4,ARKF|ARKQ|ARKW|ARKX,ARKF=58717;ARKQ=149173;ARKW=92280;ARKX=76086
ROKU,NASDAQ,77543R102,ROKU INC,499918,68253804.54,3,ARKF|ARKK|ARKW,ARKF=123191;ARKK=178402;ARKW=198325
IRDM,NASDAQ,46269C102,IRIDIUM COMMUNICATIONS INC,1180130,64423296.70,2,ARKQ|ARKX,ARKQ=525638;ARKX=654492
TRMB,NASDAQ,896239100,TRIMBLE INC,1258892,63913946.84,2,ARKQ|ARKX,ARKQ=764324;ARKX=494568
CRWD,NASDAQ,22788C105,CROWDSTRIKE HOLDINGS INC - A,82690,61431227.90,2,ARKF|ARKW,ARKF=22165;ARKW=60525
SOFI,NASDAQ,83406F102,SOFI TECHNOLOGIES INC,3232686,58802558.34,2,ARKF|ARKK,ARKF=1182343;ARKK=2050343
CAT,NYSE,149123101,CATERPILLAR INC,56175,58039448.25,1,ARKQ,ARKQ=56175
SNOW,NYSE,833445109,SNOWFLAKE INC,225191,56669315.15,2,ARKK|ARKW,ARKK=152110;ARKW=73081
LUNR,NASDAQ,46125A100,INTUITIVE MACHINES INC,2649864,55567648.08,2,ARKQ|ARKX,ARKQ=1788870;ARKX=860994
CDNA,NASDAQ,14167L103,CAREDX INC,1866297,54645176.16,1,ARKG,ARKG=1866297
TOST,NYSE,888787108,TOAST INC-CLASS A,1859887,52374417.92,2,ARKF|ARKW,ARKF=1157381;ARKW=702506
JOBY,NYSE,G65163100,JOBY AVIATION INC,6016395,51921488.85,2,ARKQ|ARKX,ARKQ=3474754;ARKX=2541641
CMPS,NASDAQ,20451W101,COMPASS PATHWAYS PLC,3296031,49671187.17,1,ARKG,ARKG=3296031
