trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-06-25,2026-06-25,2026-06-26,ARKF,new,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,0,213414,0,213414,,1.000000
2026-06-25,2026-06-25,2026-06-26,ARKK,buy,CBRS,CEREBRAS SYSTEMS INC - A,15675D103,414526,502493,413253,89240,21.59,0.996930
2026-06-25,2026-06-25,2026-06-26,ARKW,buy,CBRS,CEREBRAS SYSTEMS INC - A,15675D103,115552,137809,115056,22753,19.78,0.995710
2026-06-25,2026-06-25,2026-06-26,ARKK,buy,HOOD,ROBINHOOD MARKETS INC - A,770700102,2893113,2919246,2884231,35015,1.21,0.996930
2026-06-25,2026-06-25,2026-06-26,ARKG,buy,TEM,TEMPUS AI INC-CL A,88023B103,2068617,2204291,2154686,49605,2.30,1.041607
2026-06-25,2026-06-25,2026-06-26,ARKK,buy,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,1382329,1400392,1378085,22307,1.62,0.996930
2026-06-25,2026-06-25,2026-06-26,ARKK,buy,RXRX,RECURSION PHARMACEUTICALS-A,75629V104,19330282,19836492,19270937,565555,2.93,0.996930
2026-06-25,2026-06-25,2026-06-26,ARKG,buy,RXRX,RECURSION PHARMACEUTICALS-A,75629V104,11929168,12751415,12425503,325912,2.62,1.041607
2026-06-25,2026-06-25,2026-06-26,ARKG,buy,LLY,ELI LILLY & CO,532457108,37221,39483,38770,713,1.84,1.041607
2026-06-25,2026-06-25,2026-06-26,ARKW,buy,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,338514,342745,337062,5683,1.69,0.995710
2026-06-25,2026-06-25,2026-06-26,ARKG,buy,GENB,GENERATE BIOMEDICINES INC,370920100,544651,598466,567312,31154,5.49,1.041607
2026-06-25,2026-06-25,2026-06-26,ARKK,buy,XE,X-ENERGY INC,98386P102,2319520,2338203,2312399,25804,1.12,0.996930
2026-06-25,2026-06-25,2026-06-26,ARKF,buy,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,244275,246812,244275,2537,1.04,1.000000
2026-06-25,2026-06-25,2026-06-26,ARKQ,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,7006533,7187442,7006533,180909,2.58,1.000000
2026-06-25,2026-06-25,2026-06-26,ARKK,sell,ROKU,ROKU INC,77543R102,327317,216477,326312,-109835,-33.66,0.996930
2026-06-25,2026-06-25,2026-06-26,ARKK,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,18952543,4999122,18894357,-13895235,-73.54,0.996930
2026-06-25,2026-06-25,2026-06-26,ARKK,sell,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,680205,538399,678117,-139718,-20.60,0.996930
2026-06-25,2026-06-25,2026-06-26,ARKG,sell,TWST,TWIST BIOSCIENCE CORP,90184D100,1490792,1515253,1552819,-37566,-2.42,1.041607
2026-06-25,2026-06-25,2026-06-26,ARKW,sell,ROKU,ROKU INC,77543R102,228177,206367,227198,-20831,-9.17,0.995710
2026-06-25,2026-06-25,2026-06-26,ARKG,sell,ABSI,ABSCI CORP,00091E109,10393702,10566258,10826151,-259893,-2.40,1.041607
2026-06-25,2026-06-25,2026-06-26,ARKW,sell,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,128623,101822,128071,-26249,-20.50,0.995710
2026-06-25,2026-06-25,2026-06-26,ARKG,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,2488103,297034,2591625,-2294591,-88.54,1.041607
2026-06-25,2026-06-25,2026-06-26,ARKF,sell,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,68972,58933,68972,-10039,-14.56,1.000000
2026-06-25,2026-06-25,2026-06-26,ARKW,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,1123646,835827,1118826,-282999,-25.29,0.995710
2026-06-25,2026-06-25,2026-06-26,ARKQ,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,2045201,2032535,2045201,-12666,-0.62,1.000000
2026-06-25,2026-06-25,2026-06-26,ARKX,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,1487341,1459271,1468593,-9322,-0.63,0.987395
