cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,3468213,1314105905.70,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2404837.0,""ARKQ"":599968.0,""ARKW"":392551.0,""ARKX"":70857.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,6182272,956521123.84,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":3947047.0,""ARKQ"":1120494.0,""ARKW"":571480.0,""ARKX"":543251.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,9734764,751426433.16,2,ARKG|ARKK,"{""ARKK"":7198021.0,""ARKG"":2536743.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,6943255,656762490.45,3,ARKF|ARKK|ARKW,"{""ARKK"":5358235.0,""ARKW"":971276.0,""ARKF"":613744.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2933591,589857142.37,3,ARKF|ARKK|ARKW,"{""ARKK"":2274538.0,""ARKW"":394119.0,""ARKF"":264934.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,9956353,587723517.59,2,ARKG|ARKK,"{""ARKK"":7752964.0,""ARKG"":2203389.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3481065,572983299.00,2,ARKG|ARKK,"{""ARKK"":2238196.0,""ARKG"":1242869.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,4551016,565463738.00,3,ARKF|ARKK|ARKW,"{""ARKK"":3306215.0,""ARKW"":811109.0,""ARKF"":433692.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,6816245,550070971.50,2,ARKG|ARKK,"{""ARKK"":4185028.0,""ARKG"":2631217.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,857607,534949518.39,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":459451.0,""ARKQ"":165566.0,""ARKW"":140152.0,""ARKF"":27112.0,""ARKX"":65326.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2546716,471116992.84,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1383615.0,""ARKQ"":527866.0,""ARKW"":278960.0,""ARKF"":198961.0,""ARKX"":157314.0}"
67066G104,NVDA,NVIDIA CORP,equity,2054229,470151391.23,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1043867.0,""ARKQ"":456376.0,""ARKW"":288308.0,""ARKF"":115803.0,""ARKX"":149875.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3064735,452783948.90,3,ARKF|ARKK|ARKW,"{""ARKK"":2102202.0,""ARKW"":526066.0,""ARKF"":436467.0}"
023135106,AMZN,AMAZON.COM INC,equity,1677052,427614718.96,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":860402.0,""ARKQ"":281000.0,""ARKW"":278558.0,""ARKF"":121132.0,""ARKX"":135960.0}"
852234103,XYZ,BLOCK INC,equity,4510628,349708988.84,3,ARKF|ARKK|ARKW,"{""ARKK"":2824405.0,""ARKW"":868827.0,""ARKF"":817396.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,465257,342705979.92,3,ARKF|ARKK|ARKW,"{""ARKK"":301483.0,""ARKW"":112460.0,""ARKF"":51314.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,956361,332249375.01,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":404954.0,""ARKQ"":276497.0,""ARKW"":186272.0,""ARKX"":88638.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,3680144,319289293.44,2,ARKK|ARKW,"{""ARKK"":2863475.0,""ARKW"":816669.0}"
15675D103,CBRS,CEREBRAS SYSTEMS INC - A,equity,1479824,314329415.84,2,ARKK|ARKW,"{""ARKK"":1232653.0,""ARKW"":247171.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,11657348,302275033.64,2,ARKG|ARKK,"{""ARKK"":8941543.0,""ARKG"":2715805.0}"
