cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2773447,886199519.91,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1740376.0,""ARKQ"":572953.0,""ARKW"":385983.0,""ARKX"":74135.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,4733814,544009904.88,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2618390.0,""ARKQ"":1033523.0,""ARKW"":528535.0,""ARKX"":553366.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1052375,514906040.00,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":441543.0,""ARKQ"":236430.0,""ARKW"":244129.0,""ARKF"":51677.0,""ARKX"":78596.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3026989,446299258.16,3,ARKF|ARKK|ARKW,"{""ARKK"":1923671.0,""ARKW"":576075.0,""ARKF"":527243.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2621091,408680508.72,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1335126.0,""ARKQ"":543400.0,""ARKW"":334632.0,""ARKF"":231838.0,""ARKX"":176095.0}"
023135106,AMZN,AMAZON.COM INC,equity,1444851,393375133.26,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":643186.0,""ARKQ"":268355.0,""ARKW"":273898.0,""ARKF"":117160.0,""ARKX"":142252.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8514759,392700685.08,2,ARKG|ARKK,"{""ARKK"":6197179.0,""ARKG"":2317580.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7516387,388146224.68,2,ARKG|ARKK,"{""ARKK"":5486955.0,""ARKG"":2029432.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3345631,364941429.48,2,ARKG|ARKK,"{""ARKK"":2031672.0,""ARKG"":1313959.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,5222535,330482014.80,3,ARKF|ARKK|ARKW,"{""ARKK"":3679900.0,""ARKW"":984255.0,""ARKF"":558380.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2267380,329699725.80,3,ARKF|ARKK|ARKW,"{""ARKK"":1623623.0,""ARKW"":387523.0,""ARKF"":256234.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,3616506,328053259.26,3,ARKF|ARKK|ARKW,"{""ARKK"":2336206.0,""ARKW"":846608.0,""ARKF"":433692.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,872271,311069284.02,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":332338.0,""ARKQ"":264047.0,""ARKW"":183156.0,""ARKX"":92730.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,6692068,305158300.80,2,ARKG|ARKK,"{""ARKK"":3612477.0,""ARKG"":3079591.0}"
67066G104,NVDA,NVIDIA CORP,equity,1271666,278482137.34,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":580904.0,""ARKQ"":310459.0,""ARKW"":152006.0,""ARKF"":94218.0,""ARKX"":134079.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4680249,268693095.09,3,ARKK|ARKQ|ARKX,"{""ARKK"":1389399.0,""ARKQ"":2277760.0,""ARKX"":1013090.0}"
852234103,XYZ,BLOCK INC,equity,3013893,238157824.86,3,ARKF|ARKK|ARKW,"{""ARKK"":1643884.0,""ARKW"":765466.0,""ARKF"":604543.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,236657627.64,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,2729343,232894838.19,2,ARKK|ARKW,"{""ARKK"":1972765.0,""ARKW"":756578.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8372446,228149153.50,2,ARKG|ARKK,"{""ARKK"":6079070.0,""ARKG"":2293376.0}"
880770102,TER,TERADYNE INC,equity,557854,214712426.06,3,ARKK|ARKQ|ARKX,"{""ARKK"":145956.0,""ARKQ"":330155.0,""ARKX"":81743.0}"
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,445792,186430214.40,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":155049.0,""ARKQ"":163463.0,""ARKW"":93341.0,""ARKX"":33939.0}"
30303M102,META,META PLATFORMS INC-CLASS A,equity,281449,166026765.10,3,ARKF|ARKK|ARKW,"{""ARKK"":155822.0,""ARKW"":81544.0,""ARKF"":44083.0}"
244199105,DE,DEERE & CO,equity,258418,158885723.12,3,ARKK|ARKQ|ARKX,"{""ARKK"":91055.0,""ARKQ"":99469.0,""ARKX"":67894.0}"
771049103,RBLX,ROBLOX CORP -CLASS A,equity,4154570,149730702.80,3,ARKF|ARKK|ARKW,"{""ARKK"":2947150.0,""ARKW"":828338.0,""ARKF"":379082.0}"
11135F101,AVGO,BROADCOM INC,equity,352436,148222246.34,3,ARKK|ARKQ|ARKW,"{""ARKK"":177664.0,""ARKQ"":80930.0,""ARKW"":93842.0}"
03945R102,ACHR,ARCHER AVIATION INC-A,equity,28227289,147628721.47,3,ARKK|ARKQ|ARKX,"{""ARKK"":14054372.0,""ARKQ"":9070926.0,""ARKX"":5101991.0}"
452327109,ILMN,ILLUMINA INC,equity,752353,145745823.16,2,ARKG|ARKK,"{""ARKK"":394332.0,""ARKG"":358021.0}"
15675D103,CBRS,CEREBRAS SYSTEMS INC - A,equity,689362,145662190.60,2,ARKK|ARKW,"{""ARKK"":535329.0,""ARKW"":154033.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,12851564,144451579.36,2,ARKG|ARKK,"{""ARKK"":10122553.0,""ARKG"":2729011.0}"
98386P102,XE,X-ENERGY INC,equity,6720018,139910774.76,3,ARKK|ARKQ|ARKX,"{""ARKK"":4595271.0,""ARKQ"":1507327.0,""ARKX"":617420.0}"
09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,7619158,139430591.40,3,ARKF|ARKK|ARKW,"{""ARKK"":5370837.0,""ARKW"":1513855.0,""ARKF"":734466.0}"
G16910120,BLSH,BULLISH,equity,5873185,135318182.40,3,ARKF|ARKK|ARKW,"{""ARKK"":4178621.0,""ARKW"":948713.0,""ARKF"":745851.0}"
632307104,NTRA,NATERA INC,equity,474924,126035331.12,2,ARKG|ARKK,"{""ARKK"":235967.0,""ARKG"":238957.0}"
502431109,LHX,L3HARRIS TECHNOLOGIES INC,equity,429860,124457365.80,3,ARKQ|ARKX|PRNT,"{""ARKQ"":219769.0,""ARKX"":206269.0,""PRNT"":3822.0}"
773121108,RKLB UQ,ROCKET LAB,equity,1573995,119104201.65,2,ARKQ|ARKX,"{""ARKQ"":986401.0,""ARKX"":587594.0}"
532457108,LLY,ELI LILLY & CO,equity,91606,109188855.64,2,ARKG|ARKK,"{""ARKK"":28416.0,""ARKG"":63190.0}"
75629V104,RXRX,RECURSION PHARMACEUTICALS-A,equity,33826873,107569456.14,2,ARKG|ARKK,"{""ARKK"":20255566.0,""ARKG"":13571307.0}"
81663L200,WGS,GENEDX HOLDINGS CORP,equity,1483218,103217140.62,2,ARKG|ARKK,"{""ARKK"":984585.0,""ARKG"":498633.0}"
008073108,AVAV,AEROVIRONMENT INC,equity,564421,96583721.52,2,ARKQ|ARKX,"{""ARKQ"":333993.0,""ARKX"":230428.0}"
05605H100,BWXT,BWX TECHNOLOGIES INC,equity,543355,90577278.50,3,ARKK|ARKQ|ARKX,"{""ARKK"":290080.0,""ARKQ"":180185.0,""ARKX"":73090.0}"
71535D106,PSNL,PERSONALIS INC,equity,6700436,87306681.08,1,ARKG,"{""ARKG"":6700436.0}"
92337F107,VCYT,VERACYTE INC,equity,1877895,86664854.25,2,ARKG|ARKK,"{""ARKK"":1026015.0,""ARKG"":851880.0}"
00091E109,ABSI,ABSCI CORP,equity,10236901,84966278.30,1,ARKG,"{""ARKG"":10236901.0}"
25809K105,DASH,DOORDASH INC - A,equity,378189,80652586.14,4,ARKF|ARKQ|ARKW|ARKX,"{""ARKQ"":150992.0,""ARKW"":93876.0,""ARKF"":56481.0,""ARKX"":76840.0}"
MM0051EWE,,ARK BITCOIN ETF HOLDCO (ARKW),bitcoin_holdco,3775474,80605992.35,1,ARKW,"{""ARKW"":3775474.0}"
40131M109,GH,GUARDANT HEALTH INC,equity,453629,71482857.82,1,ARKG,"{""ARKG"":453629.0}"
14167L103,CDNA,CAREDX INC,equity,1523991,68290036.71,1,ARKG,"{""ARKG"":1523991.0}"
896239100,TRMB,TRIMBLE INC,equity,1127654,66024141.70,2,ARKQ|ARKX,"{""ARKQ"":679190.0,""ARKX"":448464.0}"
