symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2587155,985292110.20,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1609180;ARKQ=548830;ARKW=364411;ARKX=64734
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,1112288,551427898.88,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=53137;ARKK=475337;ARKQ=245346;ARKW=256554;ARKX=81914
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,3967746,491960826.54,4,ARKK|ARKQ|ARKW|ARKX,ARKK=2119498;ARKQ=908732;ARKW=434434;ARKX=505082
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,3600715,444904345.40,3,ARKF|ARKK|ARKW,ARKF=601290;ARKK=2331272;ARKW=668153
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,8432944,442476571.68,2,ARKG|ARKK,ARKG=2303290;ARKK=6129654
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,4026645,402503434.20,3,ARKF|ARKK|ARKW,ARKF=445972;ARKK=2647294;ARKW=933379
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2806906,371578216.28,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=247660;ARKK=1420417;ARKQ=582544;ARKW=367404;ARKX=188881
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,7756875,370623487.50,2,ARKG|ARKK,ARKG=2074918;ARKK=5681957
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2238732,351749571.84,3,ARKF|ARKK|ARKW,ARKF=258472;ARKK=1599067;ARKW=381193
AMZN,NASDAQ,023135106,AMAZON.COM INC,1413459,349449468.57,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=115379;ARKK=624494;ARKQ=265032;ARKW=265890;ARKX=142664
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,7451410,325924673.40,2,ARKG|ARKK,ARKG=3148621;ARKK=4302789
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,3466087,325292264.95,2,ARKG|ARKK,ARKG=1337542;ARKK=2128545
GOOG,NASDAQ,02079K107,ALPHABET INC-CL C,891442,308545905.04,4,ARKK|ARKQ|ARKW|ARKX,ARKK=335306;ARKQ=274007;ARKW=185493;ARKX=96636
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,4742455,286728829.30,3,ARKF|ARKK|ARKW,ARKF=528065;ARKK=3327429;ARKW=886961
RBLX,NYSE,771049103,ROBLOX CORP -CLASS A,5344391,276198126.88,3,ARKF|ARKK|ARKW,ARKF=432112;ARKK=3863819;ARKW=1048460
BEAM,NASDAQ,07373V105,BEAM THERAPEUTICS INC,8478300,233407599.00,2,ARKG|ARKK,ARKG=2344784;ARKK=6133516
NVDA,NASDAQ,67066G104,NVIDIA CORP,1137178,230631070.18,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=85949;ARKK=499944;ARKQ=293847;ARKW=129553;ARKX=127885
XYZ,NYSE,852234103,BLOCK INC,2826184,225925148.96,3,ARKF|ARKK|ARKW,ARKF=588583;ARKK=1515330;ARKW=722271
KTOS,NASDAQ,50077B207,KRATOS DEFENSE & SECURITY,4609550,212177586.50,3,ARKK|ARKQ|ARKX,ARKK=1274709;ARKQ=2304279;ARKX=1030562
