symbol,market_capital,pe_ttm,dividend_yield,ytd_pct,price
NVDA,5422978000000.0,33.976,0.125,20.3,224.09
AAPL,4411090905000.0,34.213,0.353,11.48,302.25
GOOGL,4201494200000.0,17.205,0.245,9.9,343.54
GOOG,4187185100000.0,17.146,0.246,9.25,342.37
MSFT,3656561366133.0,27.339,0.723,2.28,492.43
AMZN,2882965891524.0,21.311,,15.8,267.28
TSM,2225775317100.0,32.24,0.646,41.79,429.15
AVGO,1979391241378.0,67.517,0.608,20.65,416.05
SPCX,1926517138962.0,,,8.26,146.15
META,1474623978341.0,21.654,0.36,-12.15,578.85
TSLA,1293516267009.0,340.041,,-27.17,327.51
SKHYV,1224566926550.0,24.506,,12.76,168.01
LLY,1148719199278.0,43.005,0.531,13.93,1220.28
SKHY,1125441218550.0,21.275,,-8.09,154.41
BRK.B,1091762182110.0,12.729,,1.46,510.0
BRK.A,1090334974271.0,12.713,,1.22,764000.01
MU,1029204684575.0,20.393,0.058,219.47,911.29
JPM,970716434690.0,14.919,1.662,14.94,365.18
WMT,923216762772.0,40.606,0.63,4.54,116.01
AMD,788371172033.0,122.532,,125.5,482.93
ASML,695247887000.0,56.661,0.427,69.88,1810.07
XOM,656877935610.0,20.053,2.607,34.54,159.75
V,641359303690.0,28.389,0.754,3.1,359.42
JNJ,628646148013.0,29.883,2.008,27.45,260.86
INTC,533632326199.0,,,173.58,100.95
MA,490329043716.0,30.161,0.611,-1.47,559.73
CSCO,488264926300.0,36.803,1.342,63.17,123.88
BAC,453200021536.0,13.473,1.791,19.12,64.81
ORCL,441518594880.0,25.839,1.3,-20.6,153.28
ABBV,439588095817.0,69.665,2.746,11.45,248.76
AMAT,435208861555.0,51.153,0.349,113.83,548.15
COST,421116385308.0,47.648,0.584,10.6,949.575
PLTR,411019122419.0,136.248,,-3.77,171.04
LRCX,408068291310.0,56.166,0.32,90.87,326.11
CAT,393297835028.0,36.269,0.726,50.27,855.6
CVX,388436632468.0,18.864,3.474,31.45,196.6
GE,379052712874.0,42.253,0.459,18.92,365.33
KO,373074044861.0,26.06,2.399,25.69,86.71
UNH,364055493995.0,25.779,2.229,24.53,405.59
HSBC,357774100364.0,14.038,3.606,36.83,104.12
HD,342439782099.0,24.439,2.693,1.23,343.43
MS,341818047791.0,16.959,1.918,24.61,217.64
PG,334904315285.0,20.872,2.983,2.77,144.08
MRK,327936454123.0,103.352,2.541,28.13,132.92
PANW,315413150000.0,374.2,,110.1,387.01
DELL,313056006366.0,37.229,0.484,288.41,484.5
NFLX,309005963356.0,22.638,0.0,-20.85,74.21
GS,302005896092.0,14.4,1.677,19.14,1037.21
RTX,300226604157.0,38.799,1.238,22.37,222.76
BABA,300136513945.0,19.536,0.823,-13.8,125.22
RY,296681453968.0,18.679,2.244,27.73,213.48
ARM,290357160000.0,278.12,,148.71,271.87
PM,290198236207.0,26.687,3.156,18.09,186.19
NVS,289516884429.0,22.695,2.045,12.64,152.32
GEV,276960290882.0,29.065,0.17,59.41,1039.9
KLAC,272088367560.0,56.324,0.386,71.83,208.25
WFC,268924260950.0,11.894,2.117,-3.01,88.93
ANET,265487788404.0,65.64,,60.65,210.5
MUFG,256181205892.0,20.481,1.907,45.48,22.76
TXN,252595177471.0,41.737,2.046,62.11,276.59
SHEL,250886748154.0,9.66,3.398,24.84,90.07
AZN,245838792157.0,23.534,2.038,75.38,158.5
SAP,235629930000.0,26.208,1.054,-14.9,204.15
AXP,232360607339.0,20.301,1.04,-6.24,344.08
C,230781752605.0,12.937,1.851,19.68,137.58
BHP,228724210064.0,22.33,2.918,52.19,90.12
CRWD,225829543118.0,,0.0,89.25,221.78
