trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-06-24,2026-06-24,2026-06-25,ARKK,buy,CBRS,CEREBRAS SYSTEMS INC - A,15675D103,344416,414526,335351,79175,23.61,0.973681
2026-06-24,2026-06-24,2026-06-25,ARKG,buy,LLY,ELI LILLY & CO,532457108,29890,37221,29929,7292,24.36,1.001302
2026-06-24,2026-06-24,2026-06-25,ARKK,buy,,OPENAI GROUP PBC SERIES C,PPOPENAIC,254476,254476,247778,6698,2.70,0.973681
2026-06-24,2026-06-24,2026-06-25,ARKW,buy,CBRS,CEREBRAS SYSTEMS INC - A,15675D103,95572,115552,95572,19980,20.91,1.000000
2026-06-24,2026-06-24,2026-06-25,ARKG,buy,TEM,TEMPUS AI INC-CL A,88023B103,2044680,2068617,2047342,21275,1.04,1.001302
2026-06-24,2026-06-24,2026-06-25,ARKG,buy,RXRX,RECURSION PHARMACEUTICALS-A,75629V104,11653974,11929168,11669146,260022,2.23,1.001302
2026-06-24,2026-06-24,2026-06-25,ARKG,buy,GENB,GENERATE BIOMEDICINES INC,370920100,493109,544651,493751,50900,10.31,1.001302
2026-06-24,2026-06-24,2026-06-25,ARKG,buy,ALMR,ALAMAR BIOSCIENCES INC,010911105,570278,603018,571020,31998,5.60,1.001302
2026-06-24,2026-06-24,2026-06-25,ARKK,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,18952543,18952543,18453734,498809,2.70,0.973681
2026-06-24,2026-06-24,2026-06-25,ARKQ,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,6610843,7006533,6610843,395690,5.99,1.000000
2026-06-24,2026-06-24,2026-06-25,ARKK,buy,,BRERA HOLDINGS PLC-CL B,G13311132,364423,364423,354832,9591,2.70,0.973681
2026-06-24,2026-06-24,2026-06-25,ARKK,buy,,BRERA HOLDINGS PLC WTS,BREADUMMY,431626,431626,420266,11360,2.70,0.973681
2026-06-24,2026-06-24,2026-06-25,ARKG,sell,ABSI,ABSCI CORP,00091E109,11054665,10393702,11069057,-675355,-6.10,1.001302
2026-06-24,2026-06-24,2026-06-25,ARKK,sell,ROKU,ROKU INC,77543R102,374860,327317,364994,-37677,-10.32,0.973681
2026-06-24,2026-06-24,2026-06-25,ARKW,sell,ROKU,ROKU INC,77543R102,254318,228177,254318,-26141,-10.28,1.000000
2026-06-24,2026-06-24,2026-06-25,ARKG,sell,TWST,TWIST BIOSCIENCE CORP,90184D100,1518501,1490792,1520478,-29686,-1.95,1.001302
2026-06-24,2026-06-24,2026-06-25,ARKK,sell,HOOD,ROBINHOOD MARKETS INC - A,770700102,2989719,2893113,2911033,-17920,-0.62,0.973681
2026-06-24,2026-06-24,2026-06-25,ARKW,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,1919849,1123646,1919849,-796203,-41.47,1.000000
2026-06-24,2026-06-24,2026-06-25,ARKF,sell,ROKU,ROKU INC,77543R102,134388,132970,134388,-1418,-1.06,1.000000
2026-06-24,2026-06-24,2026-06-25,ARKQ,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,2077474,2045201,2077474,-32273,-1.55,1.000000
2026-06-24,2026-06-24,2026-06-25,ARKX,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,1538706,1487341,1511488,-24147,-1.60,0.982311
2026-06-24,2026-06-24,2026-06-25,ARKG,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,2589155,2488103,2592526,-104423,-4.03,1.001302
2026-06-24,2026-06-24,2026-06-25,ARKW,sell,BIDU,BAIDU INC - SPON ADR,056752108,396,100,396,-296,-74.75,1.000000
2026-06-24,2026-06-24,2026-06-25,ARKF,exit,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,237167,0,237167,-237167,-100.00,1.000000
