trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-07-06,2026-07-06,2026-07-07,ARKK,buy,KTOS,KRATOS DEFENSE & SECURITY,50077B207,1209696,1270578,1200160,70418,5.87,0.992117
2026-07-06,2026-07-06,2026-07-07,ARKK,buy,XE,X-ENERGY INC,98386P102,2856679,2941831,2834161,107670,3.80,0.992117
2026-07-06,2026-07-06,2026-07-07,ARKG,buy,GENB,GENERATE BIOMEDICINES INC,370920100,929429,1022779,930578,92201,9.91,1.001236
2026-07-06,2026-07-06,2026-07-07,ARKK,buy,,OPENAI GROUP PBC SERIES C,PPOPENAIC,254476,254476,252470,2006,0.79,0.992117
2026-07-06,2026-07-06,2026-07-07,ARKQ,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,10246723,11579888,10246723,1333165,13.01,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKQ,buy,KTOS,KRATOS DEFENSE & SECURITY,50077B207,2067496,2089940,2067496,22444,1.09,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKG,buy,ALMR,ALAMAR BIOSCIENCES INC,010911105,764946,803838,765891,37947,4.95,1.001236
2026-07-06,2026-07-06,2026-07-07,ARKX,buy,SPCX,SPACE EXPLORATION TECHN-CL A,84615Q103,481651,487362,481651,5711,1.19,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKQ,buy,XE,X-ENERGY INC,98386P102,964160,998333,964160,34173,3.54,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKG,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,2518477,3067891,2521590,546301,21.66,1.001236
2026-07-06,2026-07-06,2026-07-07,ARKX,buy,KTOS,KRATOS DEFENSE & SECURITY,50077B207,1018531,1028246,1018531,9715,0.95,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKW,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,408172,715995,408172,307823,75.42,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKX,buy,XE,X-ENERGY INC,98386P102,493943,508732,493943,14789,2.99,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKF,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,1290297,1553164,1290297,262867,20.37,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKK,buy,,BRERA HOLDINGS PLC-CL B,G13311132,364423,364423,361550,2873,0.79,0.992117
2026-07-06,2026-07-06,2026-07-07,ARKK,buy,,BRERA HOLDINGS PLC WTS,BREADUMMY,431626,431626,428224,3402,0.79,0.992117
2026-07-06,2026-07-06,2026-07-07,ARKK,sell,AMD,ADVANCED MICRO DEVICES,007903107,570212,550138,565717,-15579,-2.75,0.992117
2026-07-06,2026-07-06,2026-07-07,ARKK,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,9939039,3738018,9860693,-6122675,-62.09,0.992117
2026-07-06,2026-07-06,2026-07-07,ARKG,sell,TWST,TWIST BIOSCIENCE CORP,90184D100,1467055,1437775,1468868,-31093,-2.12,1.001236
2026-07-06,2026-07-06,2026-07-07,ARKX,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,2812495,753567,2812495,-2058928,-73.21,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKX,sell,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,632650,600610,632650,-32040,-5.06,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKQ,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,1133140,919030,1133140,-214110,-18.90,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKG,sell,ABSI,ABSCI CORP,00091E109,10077675,10016045,10090130,-74085,-0.73,1.001236
2026-07-06,2026-07-06,2026-07-07,ARKX,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,816800,660288,816800,-156512,-19.16,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKK,sell,ROKU,ROKU INC,77543R102,4763,174,4725,-4551,-96.32,0.992117
2026-07-06,2026-07-06,2026-07-07,ARKF,sell,ROKU,ROKU INC,77543R102,117920,115253,117920,-2667,-2.26,1.000000
2026-07-06,2026-07-06,2026-07-07,ARKK,sell,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,1627,22,1614,-1592,-98.64,0.992117
2026-07-06,2026-07-06,2026-07-07,ARKW,sell,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,871,308,871,-563,-64.64,1.000000
