cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,4607532,1872639230.76,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":3287305.0,""ARKQ"":876441.0,""ARKW"":347618.0,""ARKX"":96168.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,2375611,1215291319.27,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1267368.0,""ARKQ"":541542.0,""ARKW"":291201.0,""ARKF"":57405.0,""ARKX"":218095.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,8314936,774868885.84,3,ARKF|ARKK|ARKW,"{""ARKK"":6809422.0,""ARKW"":1036210.0,""ARKF"":469304.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,15126422,723345500.04,2,ARKG|ARKK,"{""ARKK"":13225490.0,""ARKG"":1900932.0}"
77543R102,ROKU,ROKU INC,equity,4989173,716744593.18,3,ARKF|ARKK|ARKW,"{""ARKK"":4204010.0,""ARKW"":596326.0,""ARKF"":188837.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,14065564,700465087.20,2,ARKG|ARKK,"{""ARKK"":12261035.0,""ARKG"":1804529.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,6466336,699916208.64,3,ARKF|ARKK|ARKW,"{""ARKK"":5131745.0,""ARKW"":701837.0,""ARKF"":632754.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,4744543,607254058.57,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2900617.0,""ARKQ"":930249.0,""ARKW"":348251.0,""ARKF"":238210.0,""ARKX"":327216.0}"
023135106,AMZN,AMAZON.COM INC,equity,2404934,573697005.70,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1348094.0,""ARKQ"":423223.0,""ARKW"":271710.0,""ARKF"":115018.0,""ARKX"":246889.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,3547748,566859175.44,3,ARKF|ARKK|ARKW,"{""ARKK"":2961741.0,""ARKW"":341046.0,""ARKF"":244961.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,6953328,541247051.52,3,ARKF|ARKK|ARKW,"{""ARKK"":5725092.0,""ARKW"":750190.0,""ARKF"":478046.0}"
84615Q103,,SPACE EXPLORATION TECHN-CL A,equity,3291184,529716064.80,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1690839.0,""ARKQ"":736442.0,""ARKW"":325562.0,""ARKX"":538341.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,1478894,529680675.04,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":684534.0,""ARKQ"":437517.0,""ARKW"":189713.0,""ARKX"":167130.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,6945966,529074230.22,2,ARKG|ARKK,"{""ARKK"":5368626.0,""ARKG"":1577340.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,15281751,440725698.84,2,ARKG|ARKK,"{""ARKK"":12543475.0,""ARKG"":2738276.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,15132403,439293659.09,2,ARKG|ARKK,"{""ARKK"":13234830.0,""ARKG"":1897573.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,7197723,415668503.25,3,ARKK|ARKQ|ARKX,"{""ARKK"":2247917.0,""ARKQ"":3281761.0,""ARKX"":1668045.0}"
67066G104,NVDA,NVIDIA CORP,equity,1995975,409554110.25,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1078786.0,""ARKQ"":469177.0,""ARKW"":136081.0,""ARKF"":90433.0,""ARKX"":221498.0}"
880770102,TER,TERADYNE INC,equity,1015185,409322592.00,3,ARKK|ARKQ|ARKX,"{""ARKK"":317076.0,""ARKQ"":547097.0,""ARKX"":151012.0}"
771049103,RBLX,ROBLOX CORP -CLASS A,equity,9028191,391010952.21,3,ARKF|ARKK|ARKW,"{""ARKK"":7609932.0,""ARKW"":1004252.0,""ARKF"":414007.0}"
X9USDGSFT,,GOLDMAN FS TRSY OBLIG INST 468,cash,378899974,378899974.67,8,ARKF|ARKG|ARKK|ARKQ|ARKW|ARKX|IZRL|PRNT,"{""ARKK"":231806320.0,""ARKQ"":70158688.0,""ARKW"":12904235.0,""ARKG"":3472001.0,""ARKF"":582290.0,""ARKX"":59609220.0,""PRNT"":313683.0,""IZRL"":53537.0}"
21873S108,CRWV,COREWEAVE INC-CL A,equity,3755325,377597928.75,2,ARKK|ARKW,"{""ARKK"":3141040.0,""ARKW"":614285.0}"
244199105,DE,DEERE & CO,equity,648209,374327733.32,3,ARKK|ARKQ|ARKX,"{""ARKK"":265758.0,""ARKQ"":236097.0,""ARKX"":146354.0}"
874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,711060,301439665.80,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":303307.0,""ARKQ"":259302.0,""ARKW"":92702.0,""ARKX"":55749.0}"
852234103,XYZ,BLOCK INC,equity,4087638,284172593.76,3,ARKF|ARKK|ARKW,"{""ARKK"":2804547.0,""ARKW"":688946.0,""ARKF"":594145.0}"
G16910120,BLSH,BULLISH,equity,10233984,278466704.64,3,ARKF|ARKK|ARKW,"{""ARKK"":8477219.0,""ARKW"":980162.0,""ARKF"":776603.0}"
773121108,RKLB UQ,ROCKET LAB,equity,2715153,278004515.67,2,ARKQ|ARKX,"{""ARKQ"":1706390.0,""ARKX"":1008763.0}"
03945R102,ACHR,ARCHER AVIATION INC-A,equity,52826685,268359559.80,3,ARKK|ARKQ|ARKX,"{""ARKK"":29450475.0,""ARKQ"":14427333.0,""ARKX"":8948877.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,239999289.66,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
452327109,ILMN,ILLUMINA INC,equity,1486832,239335347.04,2,ARKG|ARKK,"{""ARKK"":1147672.0,""ARKG"":339160.0}"
11135F101,AVGO,BROADCOM INC,equity,619427,236664473.89,3,ARKK|ARKQ|ARKW,"{""ARKK"":385584.0,""ARKQ"":134016.0,""ARKW"":99827.0}"
09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,14613071,235416573.81,3,ARKF|ARKK|ARKW,"{""ARKK"":12207815.0,""ARKW"":1610470.0,""ARKF"":794786.0}"
632307104,NTRA,NATERA INC,equity,986813,209273432.91,2,ARKG|ARKK,"{""ARKK"":759927.0,""ARKG"":226886.0}"
