cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
63008G203,NNDM,NANO DIMENSION LTD - ADR,equity,1247498,1821347.08,1,PRNT,"{""PRNT"":1247498.0}"
6221689,QLTU,QUALITAU LTD,equity,10475,1817447.24,1,IZRL,"{""IZRL"":10475.0}"
B054MX3,PCBT,P.C.B TECHNOLOGIES LTD,equity,427438,1792627.08,1,IZRL,"{""IZRL"":427438.0}"
M20791105,CAMT,CAMTEK LTD,equity,12161,1724916.24,1,IZRL,"{""IZRL"":12161.0}"
M98068105,WIX,WIX.COM LTD,equity,32312,1622385.52,1,IZRL,"{""IZRL"":32312.0}"
BKMFJ94,BICO,BICO GROUP AB,equity,1022629,1583288.44,1,PRNT,"{""PRNT"":1022629.0}"
BYZ03N6,TTT,TITOMIC LTD,equity,10268180,1571477.98,1,PRNT,"{""PRNT"":10268180.0}"
M51474118,GILT,GILAT SATELLITE NETWORKS LTD,equity,118601,1552487.09,1,IZRL,"{""IZRL"":118601.0}"
6049740,ARYT,ARYT INDUSTRIES LTD,equity,152427,1484819.14,1,IZRL,"{""IZRL"":152427.0}"
615394202,MOG/A,MOOG INC-CLASS A,equity,3455,1466509.30,1,PRNT,"{""PRNT"":3455.0}"
4612757,OERL,OC OERLIKON CORP AG-REG,equity,251718,1420572.81,1,PRNT,"{""PRNT"":251718.0}"
369604301,GE,GENERAL ELECTRIC,equity,3610,1367034.80,1,PRNT,"{""PRNT"":3610.0}"
483007704,KALU,KAISER ALUMINUM CORP,equity,7530,1347342.90,1,PRNT,"{""PRNT"":7530.0}"
BNW1HZ5,SLRM,SOLROM HOLDINGS LTD,equity,563184,1313082.85,1,IZRL,"{""IZRL"":563184.0}"
M4130Y106,ENLV,ENLIVEX LTD,equity,2382731,1220196.55,1,IZRL,"{""IZRL"":2382731.0}"
BPBPJ01,ML,MICHELIN (CGDE),equity,29054,1167133.03,1,PRNT,"{""PRNT"":29054.0}"
533900106,LECO,LINCOLN ELECTRIC HOLDINGS,equity,4193,1102423.56,1,PRNT,"{""PRNT"":4193.0}"
M70700105,NNOX,NANO-X IMAGING LTD,equity,806614,1064730.48,1,IZRL,"{""IZRL"":806614.0}"
432705309,CNTN,CANTON STRATEGIC HOLDINGS IN,equity,405515,1040145.98,1,ARKF,"{""ARKF"":405515.0}"
031100100,AME,AMETEK INC,equity,4186,992668.04,1,PRNT,"{""PRNT"":4186.0}"
016255101,ALGN,ALIGN TECHNOLOGY INC,equity,5264,991684.96,1,PRNT,"{""PRNT"":5264.0}"
BNZFHC1,HEXAB S,HEXAGON AB-B SHS,equity,88975,754236.19,1,PRNT,"{""PRNT"":88975.0}"
01609W102,BABA,ALIBABA GROUP HOLDING-SP ADR,equity,4805,470457.55,3,ARKF|ARKK|ARKW,"{""ARKK"":22.0,""ARKW"":308.0,""ARKF"":4475.0}"
BN72QH8,,OCTAVE INTELLIGENCE PLC-SDR,equity,8897,156237.75,1,PRNT,"{""PRNT"":8897.0}"
576690101,MTRN,MATERION CORP,equity,455,119119.00,1,PRNT,"{""PRNT"":455.0}"
144285103,CRS,CARPENTER TECHNOLOGY,equity,178,110226.50,1,PRNT,"{""PRNT"":178.0}"
01741R102,ATI,ATI INC,equity,487,93533.22,1,PRNT,"{""PRNT"":487.0}"
466313103,JBL,JABIL INC,equity,245,82863.90,1,PRNT,"{""PRNT"":245.0}"
5076705,HEN3,HENKEL AG & CO KGAA VOR-PREF,equity,959,81985.88,1,PRNT,"{""PRNT"":959.0}"
B1VQ252,SAND,SANDVIK AB,equity,1891,79894.07,1,PRNT,"{""PRNT"":1891.0}"
05368V106,AVNT,AVIENT CORP,equity,2015,78363.35,1,PRNT,"{""PRNT"":2015.0}"
4818351,SGL,SGL CARBON SE,equity,15730,78109.17,1,PRNT,"{""PRNT"":15730.0}"
4943402,VOE,VOESTALPINE AG,equity,1539,76702.60,1,PRNT,"{""PRNT"":1539.0}"
88579Y101,MMM,3M CO,equity,470,74800.50,1,PRNT,"{""PRNT"":470.0}"
6897143,3402,TORAY INDUSTRIES INC,equity,10290,74613.53,1,PRNT,"{""PRNT"":10290.0}"
B5ZQ9D3,EVK,EVONIK INDUSTRIES AG,equity,3736,68136.34,1,PRNT,"{""PRNT"":3736.0}"
489170100,KMT,KENNAMETAL INC,equity,1979,67721.38,1,PRNT,"{""PRNT"":1979.0}"
B0Z5YZ2,AKE,ARKEMA,equity,1049,67092.02,1,PRNT,"{""PRNT"":1049.0}"
024061103,DCH,DAUCH CORPORATION,equity,6386,35186.86,1,PRNT,"{""PRNT"":6386.0}"
BNBV4N3,DCH,DAUCH CORPORATION,equity,5681,29974.48,1,PRNT,"{""PRNT"":5681.0}"
