trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,asset_class,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-09-10,2026-09-10,2026-09-11,ARKK,buy,NTLA,INTELLIA THERAPEUTICS INC,45826J105,equity,9809159,9885268,9821888,63380,0.65,1.001298
2026-09-10,2026-09-10,2026-09-11,ARKK,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,16801484,4205071,16823287,-12618216,-75.00,1.001298
2026-09-10,2026-09-10,2026-09-11,ARKG,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,11971065,7877137,11852989,-3975852,-33.54,0.990137
2026-09-10,2026-09-10,2026-09-11,ARKQ,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,2476628,1233480,2476628,-1243148,-50.20,1.000000
2026-09-10,2026-09-10,2026-09-11,ARKX,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,1284097,768906,1284097,-515191,-40.12,1.000000
2026-09-10,2026-09-10,2026-09-11,ARKF,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,1386429,895191,1386429,-491238,-35.43,1.000000
2026-09-10,2026-09-10,2026-09-11,ARKW,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,2001237,1602499,2001237,-398738,-19.92,1.000000
2026-09-10,2026-09-10,2026-09-11,IZRL,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,2606386,2549053,2606386,-57333,-2.20,1.000000
2026-09-10,2026-09-10,2026-09-11,PRNT,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,321411,286357,321411,-35054,-10.91,1.000000
2026-09-10,2026-09-10,2026-09-11,ARKK,sell,,BRERA HOLDINGS PLC-CL B,G13311132,equity,203381,200857,203645,-2788,-1.37,1.001298
2026-09-10,2026-09-10,2026-09-11,ARKW,sell,,BRERA HOLDINGS PLC-CL B,G13311132,equity,80532,79533,80532,-999,-1.24,1.000000
2026-09-10,2026-09-10,2026-09-11,ARKF,sell,,BRERA HOLDINGS PLC-CL B,G13311132,equity,50970,50337,50970,-633,-1.24,1.000000
