trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-07-09,2026-07-09,2026-07-10,ARKK,buy,META,META PLATFORMS INC-CLASS A,30303M102,102932,130857,106011,24846,23.44,1.029912
2026-07-09,2026-07-09,2026-07-10,ARKK,buy,CRCL,CIRCLE INTERNET GROUP INC,172573107,3139703,3393040,3233616,159424,4.93,1.029912
2026-07-09,2026-07-09,2026-07-10,ARKG,buy,IONS,IONIS PHARMACEUTICALS INC,462222100,279878,385242,279878,105364,37.65,1.000000
2026-07-09,2026-07-09,2026-07-10,ARKW,buy,META,META PLATFORMS INC-CLASS A,30303M102,56084,63931,57540,6391,11.11,1.025962
2026-07-09,2026-07-09,2026-07-10,ARKW,buy,CRCL,CIRCLE INTERNET GROUP INC,172573107,780242,841189,800498,40691,5.08,1.025962
2026-07-09,2026-07-09,2026-07-10,ARKG,buy,PRME,PRIME MEDICINE INC,74168J101,4987081,5531466,4987081,544385,10.92,1.000000
2026-07-09,2026-07-09,2026-07-10,ARKF,buy,META,META PLATFORMS INC-CLASS A,30303M102,35133,37931,35133,2798,7.96,1.000000
2026-07-09,2026-07-09,2026-07-10,ARKF,buy,CRCL,CIRCLE INTERNET GROUP INC,172573107,492163,509970,492163,17807,3.62,1.000000
2026-07-09,2026-07-09,2026-07-10,ARKG,buy,GENB,GENERATE BIOMEDICINES INC,370920100,1119425,1176887,1119425,57462,5.13,1.000000
2026-07-09,2026-07-09,2026-07-10,ARKG,buy,CMPS,COMPASS PATHWAYS PLC,20451W101,3437489,3483791,3437489,46302,1.35,1.000000
2026-07-09,2026-07-09,2026-07-10,IZRL,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,148000,162773,148000,14773,9.98,1.000000
2026-07-09,2026-07-09,2026-07-10,ARKK,sell,HOOD,ROBINHOOD MARKETS INC - A,770700102,2957858,2870733,3046332,-175599,-5.76,1.029912
2026-07-09,2026-07-09,2026-07-10,ARKW,sell,ROKU,ROKU INC,77543R102,87635,41102,89910,-48808,-54.29,1.025962
