trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-06-16,2026-06-16,2026-06-17,ARKX,buy,,SPACE EXPLORATION TECHN-CL A,84615Q103,538341,538341,413264,125077,30.27,0.767663
2026-06-16,2026-06-16,2026-06-17,ARKK,buy,,SPACE EXPLORATION TECHN-CL A,84615Q103,1690839,1692679,1615413,77266,4.78,0.955392
2026-06-16,2026-06-16,2026-06-17,ARKX,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,6333331,16374880,4861863,11513017,236.80,0.767663
2026-06-16,2026-06-16,2026-06-17,ARKK,buy,,OPENAI GROUP PBC SERIES C,PPOPENAIC,254476,254476,243124,11352,4.67,0.955392
2026-06-16,2026-06-16,2026-06-17,ARKK,buy,NTLA,INTELLIA THERAPEUTICS INC,45826J105,11593770,11593770,11076590,517180,4.67,0.955392
2026-06-16,2026-06-16,2026-06-17,ARKG,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,3371622,5587322,3439589,2147733,62.44,1.020159
2026-06-16,2026-06-16,2026-06-17,ARKW,buy,,ARK BITCOIN ETF HOLDCO (ARKW),MM0051EWE,3775474,3775474,3743624,31850,0.85,0.991564
2026-06-16,2026-06-16,2026-06-17,ARKX,buy,6301,KOMATSU LTD,6496584,960693,749493,737488,12005,1.63,0.767663
2026-06-16,2026-06-16,2026-06-17,ARKW,buy,,OPENAI GROUP PBC SERIES C,PPOPENAIC,62528,62528,62001,527,0.85,0.991564
2026-06-16,2026-06-16,2026-06-17,ARKK,buy,,BRERA HOLDINGS PLC-CL B,G13311132,364423,364423,348167,16256,4.67,0.955392
2026-06-16,2026-06-16,2026-06-17,ARKK,buy,,BRERA HOLDINGS PLC WTS,BREADUMMY,431626,431626,412372,19254,4.67,0.955392
2026-06-16,2026-06-16,2026-06-17,ARKX,buy,GOOGL,ALPHABET INC-CL A,02079K305,10282,7978,7893,85,1.08,0.767663
2026-06-16,2026-06-16,2026-06-17,ARKW,buy,,BRERA HOLDINGS PLC-CL B,G13311132,144292,144292,143075,1217,0.85,0.991564
2026-06-16,2026-06-16,2026-06-17,ARKW,buy,,BRERA HOLDINGS PLC WTS,BREADUMMY,139569,139569,138392,1177,0.85,0.991564
2026-06-16,2026-06-16,2026-06-17,ARKK,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,333145398,78452605,318284310,-239831705,-75.35,0.955392
2026-06-16,2026-06-16,2026-06-17,ARKX,sell,AMD,ADVANCED MICRO DEVICES,007903107,173443,110749,133146,-22397,-16.82,0.767663
2026-06-16,2026-06-16,2026-06-17,ARKW,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,10561407,3315104,10472310,-7157206,-68.34,0.991564
2026-06-16,2026-06-16,2026-06-17,ARKQ,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,13833172,8661946,13792010,-5130064,-37.20,0.997024
2026-06-16,2026-06-16,2026-06-17,ARKX,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,3331727,2347089,2557643,-210554,-8.23,0.767663
2026-06-16,2026-06-16,2026-06-17,ARKG,sell,NTLA,INTELLIA THERAPEUTICS INC,45826J105,2824994,2806009,2881942,-75933,-2.63,1.020159
2026-06-16,2026-06-16,2026-06-17,ARKQ,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,2981498,2786321,2972626,-186305,-6.27,0.997024
2026-06-16,2026-06-16,2026-06-17,ARKF,sell,AMD,ADVANCED MICRO DEVICES,007903107,56505,55035,56505,-1470,-2.60,1.000000
2026-06-16,2026-06-16,2026-06-17,ARKF,exit,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,582290,0,582290,-582290,-100.00,1.000000
