cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2558021,1087926331.30,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1610899.0,""ARKQ"":552156.0,""ARKW"":336141.0,""ARKX"":58825.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1265741,684613992.08,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":569866.0,""ARKQ"":277328.0,""ARKW"":269085.0,""ARKF"":53721.0,""ARKX"":95741.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8579073,528470896.80,2,ARKG|ARKK,"{""ARKK"":6401674.0,""ARKG"":2177399.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,3334483,525314451.82,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1744786.0,""ARKQ"":779274.0,""ARKW"":328772.0,""ARKX"":481651.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,4404355,478533170.75,3,ARKF|ARKK|ARKW,"{""ARKK"":2995997.0,""ARKW"":957474.0,""ARKF"":450884.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3691150,448954574.50,3,ARKF|ARKK|ARKW,"{""ARKK"":2434732.0,""ARKW"":648504.0,""ARKF"":607914.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7920640,440545996.80,2,ARKG|ARKK,"{""ARKK"":5934167.0,""ARKG"":1986473.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3867815,395484083.75,2,ARKG|ARKK,"{""ARKK"":2442459.0,""ARKG"":1425356.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2876313,361638833.49,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1483417.0,""ARKQ"":586074.0,""ARKW"":356603.0,""ARKF"":250388.0,""ARKX"":199831.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2232092,355438330.08,3,ARKF|ARKK|ARKW,"{""ARKK"":1620808.0,""ARKW"":357180.0,""ARKF"":254104.0}"
023135106,AMZN,AMAZON.COM INC,equity,1444414,349114863.80,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":652144.0,""ARKQ"":266638.0,""ARKW"":258071.0,""ARKF"":116647.0,""ARKX"":150914.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,908069,324988814.41,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":350146.0,""ARKQ"":275667.0,""ARKW"":180040.0,""ARKX"":102216.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,8208097,320526187.85,2,ARKG|ARKK,"{""ARKK"":5193701.0,""ARKG"":3014396.0}"
771049103,RBLX,ROBLOX CORP -CLASS A,equity,5489816,318134837.20,3,ARKF|ARKK|ARKW,"{""ARKK"":4035319.0,""ARKW"":1017625.0,""ARKF"":436872.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8494623,284399978.04,2,ARKG|ARKK,"{""ARKK"":6405746.0,""ARKG"":2088877.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,4436698,274853441.10,3,ARKF|ARKK|ARKW,"{""ARKK"":3158873.0,""ARKW"":780242.0,""ARKF"":497583.0}"
880770102,TER,TERADYNE INC,equity,590835,252487428.90,3,ARKK|ARKQ|ARKX,"{""ARKK"":153768.0,""ARKQ"":344687.0,""ARKX"":92380.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,14164587,244197479.88,2,ARKG|ARKK,"{""ARKK"":11318890.0,""ARKG"":2845697.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,239999289.66,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
67066G104,NVDA,NVIDIA CORP,equity,1165694,230317820.52,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":522134.0,""ARKQ"":295627.0,""ARKW"":125745.0,""ARKF"":86893.0,""ARKX"":135295.0}"
