trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,asset_class,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-08-04,2026-08-04,2026-08-05,ARKF,new,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,0,196571,0,196571,,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKK,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,3425316,18000334,3469089,14531245,418.88,1.012779
2026-08-04,2026-08-04,2026-08-05,ARKK,buy,WGS,GENEDX HOLDINGS CORP,81663L200,equity,877167,942999,888376,54623,6.15,1.012779
2026-08-04,2026-08-04,2026-08-05,ARKW,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,3521074,5882462,3521074,2361388,67.06,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKW,buy,SPOT,SPOTIFY TECHNOLOGY SA,L8681T102,equity,37749,41335,37749,3586,9.50,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKG,buy,WGS,GENEDX HOLDINGS CORP,81663L200,equity,448071,462936,444194,18742,4.22,0.991348
2026-08-04,2026-08-04,2026-08-05,ARKX,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,1002570,1991277,1002570,988707,98.62,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKF,buy,SPOT,SPOTIFY TECHNOLOGY SA,L8681T102,equity,24934,26476,24934,1542,6.18,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKG,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,2795485,2895001,2771299,123702,4.46,0.991348
2026-08-04,2026-08-04,2026-08-05,IZRL,buy,SVRE,SAVERONE 2014 LTD -ADR,80516T600,equity,537620,542999,537620,5379,1.00,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKK,sell,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,equity,1408717,1395248,1426719,-31471,-2.21,1.012779
2026-08-04,2026-08-04,2026-08-05,ARKQ,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,7570720,2676073,7570720,-4894647,-64.65,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKK,sell,,OPENAI GROUP PBC SERIES C,PPOPENAIC,private,254476,254476,257728,-3252,-1.26,1.012779
2026-08-04,2026-08-04,2026-08-05,ARKG,sell,ATAI UQ,ATAIBECKLEY INC,04650F101,equity,1648399,1358802,1634137,-275335,-16.85,0.991348
2026-08-04,2026-08-04,2026-08-05,ARKK,sell,NTLA,INTELLIA THERAPEUTICS INC,45826J105,equity,9968148,9968148,10095533,-127385,-1.26,1.012779
2026-08-04,2026-08-04,2026-08-05,ARKF,sell,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,equity,240840,233076,240840,-7764,-3.22,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKX,sell,6301,KOMATSU LTD,6496584,equity,578146,550525,578146,-27621,-4.78,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKK,sell,TXG,10X GENOMICS INC-CLASS A,88025U109,equity,3638942,3661008,3685445,-24437,-0.66,1.012779
2026-08-04,2026-08-04,2026-08-05,ARKK,sell,NTRA,NATERA INC,632307104,equity,239266,239117,242324,-3207,-1.32,1.012779
2026-08-04,2026-08-04,2026-08-05,ARKF,sell,ROKU,ROKU INC,77543R102,equity,493,100,493,-393,-79.72,1.000000
2026-08-04,2026-08-04,2026-08-05,IZRL,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,cash,284163,241602,284163,-42561,-14.98,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKK,sell,,BRERA HOLDINGS PLC-CL B,G13311132,equity,322110,319121,326226,-7105,-2.18,1.012779
2026-08-04,2026-08-04,2026-08-05,ARKQ,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,equity,9507,6208,9507,-3299,-34.70,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKK,sell,,BRERA HOLDINGS PLC WTS,BREADUMMY,equity,431626,431626,437142,-5516,-1.26,1.012779
2026-08-04,2026-08-04,2026-08-05,ARKX,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,equity,2700,1602,2700,-1098,-40.67,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKW,sell,,BRERA HOLDINGS PLC-CL B,G13311132,equity,127540,126357,127540,-1183,-0.93,1.000000
2026-08-04,2026-08-04,2026-08-05,ARKF,sell,,BRERA HOLDINGS PLC-CL B,G13311132,equity,80721,79972,80721,-749,-0.93,1.000000
