symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2985296,1068974791.68,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1956298;ARKQ=563948;ARKW=394193;ARKX=70857
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,5381102,811900669.76,4,ARKK|ARKQ|ARKW|ARKX,ARKK=3210766;ARKQ=1053214;ARKW=573871;ARKX=543251
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,8229168,575794884.96,2,ARKG|ARKK,ARKG=2373943;ARKK=5855225
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,5927706,476883947.70,3,ARKF|ARKK|ARKW,ARKF=593572;ARKK=4358795;ARKW=975339
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,8368581,436923614.01,2,ARKG|ARKK,ARKG=2061984;ARKK=6306597
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,5944047,432013335.96,2,ARKG|ARKK,ARKG=2539630;ARKK=3404417
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,3015718,431458774.26,2,ARKG|ARKK,ARKG=1195030;ARKK=1820688
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2502181,411633796.31,3,ARKF|ARKK|ARKW,ARKF=256234;ARKK=1850179;ARKW=395768
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,3937819,411187059.98,3,ARKF|ARKK|ARKW,ARKF=433692;ARKK=2689625;ARKW=814502
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2251723,392565387.82,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=192421;ARKK=1125695;ARKQ=496166;ARKW=280127;ARKX=157314
NVDA,NASDAQ,67066G104,NVIDIA CORP,1829582,391347589.80,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=111999;ARKK=849218;ARKQ=428976;ARKW=289514;ARKX=149875
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,761929,390488612.50,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=26224;ARKK=374015;ARKQ=155626;ARKW=140738;ARKX=65326
AMZN,NASDAQ,023135106,AMAZON.COM INC,1496991,368199906.36,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=117160;ARKK=700008;ARKQ=264140;ARKW=279723;ARKX=135960
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,2660477,345755590.92,3,ARKF|ARKK|ARKW,ARKF=422127;ARKK=1710083;ARKW=528267
XYZ,NYSE,852234103,BLOCK INC,3960674,303506448.62,3,ARKF|ARKK|ARKW,ARKF=790528;ARKK=2297684;ARKW=872462
GOOG,NASDAQ,02079K107,ALPHABET INC-CL C,865179,293607145.44,4,ARKK|ARKQ|ARKW|ARKX,ARKK=329593;ARKQ=259897;ARKW=187051;ARKX=88638
META,NASDAQ,30303M102,META PLATFORMS INC-CLASS A,362374,243990037.94,3,ARKF|ARKK|ARKW,ARKF=44083;ARKK=218757;ARKW=99534
CRWV,NASDAQ,21873S108,COREWEAVE INC-CL A,2915711,243024511.85,2,ARKK|ARKW,ARKK=2143038;ARKW=772673
CBRS,NASDAQ,15675D103,CEREBRAS SYSTEMS INC - A,1251148,238306159.56,2,ARKK|ARKW,ARKK=1002943;ARKW=248205
KTOS,NASDAQ,50077B207,KRATOS DEFENSE & SECURITY,4776542,227315633.78,3,ARKK|ARKQ|ARKX,ARKK=1561671;ARKQ=2241950;ARKX=972921
BEAM,NASDAQ,07373V105,BEAM THERAPEUTICS INC,9708370,224263347.00,2,ARKG|ARKK,ARKG=2434844;ARKK=7273526
AVGO,NASDAQ,11135F101,BROADCOM INC,603786,204991384.86,3,ARKK|ARKQ|ARKW,ARKK=355959;ARKQ=121203;ARKW=126624
TER,NASDAQ,880770102,TERADYNE INC,595928,203300837.20,3,ARKK|ARKQ|ARKX,ARKK=192828;ARKQ=324965;ARKX=78135
BLSH,NYSE,G16910120,BULLISH,6169920,197931033.60,3,ARKF|ARKK|ARKW,ARKF=745851;ARKK=4537460;ARKW=886609
TSM,NYSE,874039100,TAIWAN SEMICONDUCTOR-SP ADR,462917,193369689.24,4,ARKK|ARKQ|ARKW|ARKX,ARKK=174255;ARKQ=160893;ARKW=95326;ARKX=32443
BMNR,NYSE,09175A206,BITMINE IMMERSION TECHNOLOGI,8141442,185706292.02,3,ARKF|ARKK|ARKW,ARKF=734466;ARKK=5860916;ARKW=1546060
RKLB,NASDAQ,773121108,ROCKET LAB,2889696,184073635.20,3,ARKK|ARKQ|ARKX,ARKK=1180860;ARKQ=1095025;ARKX=613811
ILMN,NASDAQ,452327109,ILLUMINA INC,734646,168182508.78,2,ARKG|ARKK,ARKG=357576;ARKK=377070
NTRA,NASDAQ,632307104,NATERA INC,471881,162959384.54,2,ARKG|ARKK,ARKG=238660;ARKK=233221
ACHR,NYSE,03945R102,ARCHER AVIATION INC-A,30258741,157950628.02,3,ARKK|ARKQ|ARKX,ARKK=16454736;ARKQ=8928306;ARKX=4875699
NET,NYSE,18915M107,CLOUDFLARE INC - CLASS A,472347,153347453.55,3,ARKF|ARKK|ARKW,ARKF=30470;ARKK=312989;ARKW=128888
WGS,NASDAQ,81663L200,GENEDX HOLDINGS CORP,1570161,152965084.62,2,ARKG|ARKK,ARKG=498013;ARKK=1072148
NTLA,NASDAQ,45826J105,INTELLIA THERAPEUTICS INC,12564915,144370873.35,2,ARKG|ARKK,ARKG=2720249;ARKK=9844666
RXRX,NASDAQ,75629V104,RECURSION PHARMACEUTICALS-A,36324019,115873620.61,2,ARKG|ARKK,ARKG=13554407;ARKK=22769612
LLY,NYSE,532457108,ELI LILLY & CO,95020,108115656.40,2,ARKG|ARKK,ARKG=63112;ARKK=31908
XE,NASDAQ,98386P102,X-ENERGY INC,7239310,105476746.70,3,ARKK|ARKQ|ARKX,ARKK=5165631;ARKQ=1483627;ARKX=590052
PSNL,NASDAQ,71535D106,PERSONALIS INC,6526757,105146055.27,1,ARKG,ARKG=6526757
LHX,NYSE,502431109,L3HARRIS TECHNOLOGIES INC,417275,104627533.50,3,ARKQ|ARKX|PRNT,ARKQ=216314;ARKX=197139;PRNT=3822
BWXT,NYSE,05605H100,BWX TECHNOLOGIES INC,702056,102261476.96,3,ARKK|ARKQ|ARKX,ARKK=419973;ARKQ=202133;ARKX=79950
GH,NASDAQ,40131M109,GUARDANT HEALTH INC,562957,98461179.30,1,ARKG,ARKG=562957
DE,NYSE,244199105,DEERE & CO,145569,97454078.43,2,ARKQ|ARKX,ARKQ=82537;ARKX=63032
AVAV,NASDAQ,008073108,AEROVIRONMENT INC,587016,91838653.20,2,ARKQ|ARKX,ARKQ=342070;ARKX=244946
VCYT,NASDAQ,92337F107,VERACYTE INC,2325527,89532789.50,2,ARKG|ARKK,ARKG=916952;ARKK=1408575
ABSI,NASDAQ,00091E109,ABSCI CORP,10224153,82202190.12,1,ARKG,ARKG=10224153
CDNA,NASDAQ,14167L103,CAREDX INC,1454081,77866037.55,1,ARKG,ARKG=1454081
DASH,NASDAQ,25809K105,DOORDASH INC - A,374426,73672059.76,4,ARKF|ARKQ|ARKW|ARKX,ARKF=56481;ARKQ=148622;ARKW=95871;ARKX=73452
CRWD,NASDAQ,22788C105,CROWDSTRIKE HOLDINGS INC - A,263785,63667147.60,2,ARKF|ARKW,ARKF=79132;ARKW=184653
TRMB,NASDAQ,896239100,TRIMBLE INC,1097091,62885256.12,2,ARKQ|ARKX,ARKQ=668515;ARKX=428576
SOFI,NASDAQ,83406F102,SOFI TECHNOLOGIES INC,3645069,61382961.96,2,ARKF|ARKK,ARKF=1137249;ARKK=2507820
CMPS,NASDAQ,20451W101,COMPASS PATHWAYS PLC,4436220,61219836.00,1,ARKG,ARKG=4436220
TOST,NYSE,888787108,TOAST INC-CLASS A,1843114,57357707.68,2,ARKF|ARKW,ARKF=1113239;ARKW=729875
RBLX,NYSE,771049103,ROBLOX CORP -CLASS A,1166167,55311300.81,2,ARKF|ARKW,ARKF=320209;ARKW=845958
SDGR,NASDAQ,80810D103,SCHRODINGER INC,2169754,51922213.22,1,ARKG,ARKG=2169754
ADPT,NASDAQ,00650F109,ADAPTIVE BIOTECHNOLOGIES,1763761,48803266.87,1,ARKG,ARKG=1763761
LUNR,NASDAQ,46125A100,INTUITIVE MACHINES INC,3344700,46390989.00,2,ARKQ|ARKX,ARKQ=2332102;ARKX=1012598
