cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2643089,1041535651.34,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1670380.0,""ARKQ"":552156.0,""ARKW"":353694.0,""ARKX"":66859.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,1227149,634933028.36,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":535805.0,""ARKQ"":277328.0,""ARKW"":269085.0,""ARKF"":53137.0,""ARKX"":91794.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,3544077,525586619.10,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1890438.0,""ARKQ"":814398.0,""ARKW"":357535.0,""ARKX"":481706.0}"
770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,4361304,495138843.12,3,ARKF|ARKK|ARKW,"{""ARKK"":2957858.0,""ARKW"":957474.0,""ARKF"":445972.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8587303,491794842.81,2,ARKG|ARKK,"{""ARKK"":6362814.0,""ARKG"":2224489.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7927569,469312084.80,2,ARKG|ARKK,"{""ARKK"":5898137.0,""ARKG"":2029432.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,3669746,437507118.12,3,ARKF|ARKK|ARKW,"{""ARKK"":2419952.0,""ARKW"":648504.0,""ARKF"":601290.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2859840,378128044.80,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1474417.0,""ARKQ"":586074.0,""ARKW"":356603.0,""ARKF"":247660.0,""ARKX"":195086.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2219484,353696970.24,3,ARKF|ARKK|ARKW,"{""ARKK"":1610968.0,""ARKW"":357180.0,""ARKF"":251336.0}"
023135106,AMZN,AMAZON.COM INC,equity,1435621,349745988.02,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":648194.0,""ARKQ"":266638.0,""ARKW"":258071.0,""ARKF"":115379.0,""ARKX"":147339.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3799642,339612001.96,2,ARKG|ARKK,"{""ARKK"":2383426.0,""ARKG"":1416216.0}"
02079K107,GOOG,ALPHABET INC-CL C,equity,903531,324105605.01,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":348026.0,""ARKQ"":275667.0,""ARKW"":180040.0,""ARKX"":99798.0}"
07373V105,BEAM,BEAM THERAPEUTICS INC,equity,8500902,313513265.76,2,ARKG|ARKK,"{""ARKK"":6366856.0,""ARKG"":2134046.0}"
88025U109,TXG,10X GENOMICS INC-CLASS A,equity,8241762,308818822.14,2,ARKG|ARKK,"{""ARKK"":5162171.0,""ARKG"":3079591.0}"
771049103,RBLX,ROBLOX CORP -CLASS A,equity,5460556,300985846.72,3,ARKF|ARKK|ARKW,"{""ARKK"":4010819.0,""ARKW"":1017625.0,""ARKF"":432112.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,4412108,282683759.56,3,ARKF|ARKK|ARKW,"{""ARKK"":3139703.0,""ARKW"":780242.0,""ARKF"":492163.0}"
PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,348995,239999289.66,3,ARKF|ARKK|ARKW,"{""ARKK"":254476.0,""ARKW"":62528.0,""ARKF"":31991.0}"
45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,14157407,238410733.88,2,ARKG|ARKK,"{""ARKK"":11250170.0,""ARKG"":2907237.0}"
67066G104,NVDA,NVIDIA CORP,equity,1158369,236446280.28,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":518964.0,""ARKQ"":295627.0,""ARKW"":125745.0,""ARKF"":85949.0,""ARKX"":132084.0}"
50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,4433078,223338469.64,3,ARKK|ARKQ|ARKX,"{""ARKK"":1323189.0,""ARKQ"":2106070.0,""ARKX"":1003819.0}"
