cusip,ticker,company,asset_class,total_shares,total_market_value,n_funds,funds,by_fund_shares
88160R101,TSLA,TESLA INC,equity,2734452,943741418.71,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1713664.0,""ARKQ"":563948.0,""ARKW"":385983.0,""ARKX"":70857.0}"
84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,4765751,638610634.00,4,ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":2691107.0,""ARKQ"":1017273.0,""ARKW"":528535.0,""ARKX"":528836.0}"
88023B103,TEM,TEMPUS AI INC-CL A,equity,8470066,564529899.00,2,ARKG|ARKK,"{""ARKK"":6102043.0,""ARKG"":2368023.0}"
172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,5474603,458005287.00,3,ARKF|ARKK|ARKW,"{""ARKK"":3931968.0,""ARKW"":984255.0,""ARKF"":558380.0}"
007903107,AMD,ADVANCED MICRO DEVICES,equity,974308,457393762.14,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":434775.0,""ARKQ"":216236.0,""ARKW"":210544.0,""ARKF"":40859.0,""ARKX"":71894.0}"
H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,7424566,431515775.90,2,ARKG|ARKK,"{""ARKK"":5402715.0,""ARKG"":2021851.0}"
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,2478092,431088884.28,5,ARKF|ARKK|ARKQ|ARKW|ARKX,"{""ARKK"":1257044.0,""ARKQ"":523515.0,""ARKW"":319433.0,""ARKF"":209815.0,""ARKX"":168285.0}"
90184D100,TWST,TWIST BIOSCIENCE CORP,equity,3096851,422193696.90,2,ARKG|ARKK,"{""ARKK"":1842159.0,""ARKG"":1254692.0}"
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,2301148,396602857.85,3,ARKF|ARKK|ARKW,"{""ARKK"":1657391.0,""ARKW"":387523.0,""ARKF"":256234.0}"
82509L107,SHOP,SHOPIFY INC - CLASS A,equity,2659478,391421972.08,3,ARKF|ARKK|ARKW,"{""ARKK"":1634052.0,""ARKW"":547455.0,""ARKF"":477971.0}"
