trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2026-06-23,2026-06-23,2026-06-24,ARKK,buy,AMZN,AMAZON.COM INC,023135106,623455,647615,619748,27867,4.50,0.994055
2026-06-23,2026-06-23,2026-06-24,ARKK,buy,GOOG,ALPHABET INC-CL C,02079K107,338412,355234,336400,18834,5.60,0.994055
2026-06-23,2026-06-23,2026-06-24,ARKK,buy,TSLA,TESLA INC,88160R101,1627107,1634371,1617433,16938,1.05,0.994055
2026-06-23,2026-06-23,2026-06-24,ARKK,buy,CRWV,COREWEAVE INC-CL A,21873S108,1504504,1556345,1495559,60786,4.06,0.994055
2026-06-23,2026-06-23,2026-06-24,ARKK,buy,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,1372830,1419685,1364668,55017,4.03,0.994055
2026-06-23,2026-06-23,2026-06-24,ARKK,buy,CBRS,CEREBRAS SYSTEMS INC - A,15675D103,325769,344416,323832,20584,6.36,0.994055
2026-06-23,2026-06-23,2026-06-24,ARKW,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,98560,1919849,98139,1821710,1856.25,0.995729
2026-06-23,2026-06-23,2026-06-24,ARKG,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,840780,2589155,837509,1751646,209.15,0.996109
2026-06-23,2026-06-23,2026-06-24,ARKW,buy,AMZN,AMAZON.COM INC,023135106,254334,260305,253248,7057,2.79,0.995729
2026-06-23,2026-06-23,2026-06-24,ARKW,buy,GOOG,ALPHABET INC-CL C,02079K107,177585,181598,176827,4771,2.70,0.995729
2026-06-23,2026-06-23,2026-06-24,ARKW,buy,TSLA,TESLA INC,88160R101,336195,339051,334759,4292,1.28,0.995729
2026-06-23,2026-06-23,2026-06-24,ARKW,buy,CRWV,COREWEAVE INC-CL A,21873S108,574973,587920,572517,15403,2.69,0.995729
2026-06-23,2026-06-23,2026-06-24,ARKW,buy,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,325963,338514,324571,13943,4.30,0.995729
2026-06-23,2026-06-23,2026-06-24,ARKF,buy,AMZN,AMAZON.COM INC,023135106,112008,118232,112008,6224,5.56,1.000000
2026-06-23,2026-06-23,2026-06-24,ARKF,buy,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,231980,244275,231980,12295,5.30,1.000000
2026-06-23,2026-06-23,2026-06-24,ARKW,buy,CBRS,CEREBRAS SYSTEMS INC - A,15675D103,90741,95572,90353,5219,5.78,0.995729
2026-06-23,2026-06-23,2026-06-24,ARKK,buy,,OPENAI GROUP PBC SERIES C,PPOPENAIC,254476,254476,252963,1513,0.60,0.994055
2026-06-23,2026-06-23,2026-06-24,ARKG,buy,ALMR,ALAMAR BIOSCIENCES INC,010911105,569539,570278,567323,2955,0.52,0.996109
2026-06-23,2026-06-23,2026-06-24,ARKF,buy,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,220797,237167,220797,16370,7.41,1.000000
2026-06-23,2026-06-23,2026-06-24,ARKK,buy,,BRERA HOLDINGS PLC-CL B,G13311132,364423,364423,362256,2167,0.60,0.994055
2026-06-23,2026-06-23,2026-06-24,ARKK,buy,,BRERA HOLDINGS PLC WTS,BREADUMMY,431626,431626,429060,2566,0.60,0.994055
2026-06-23,2026-06-23,2026-06-24,ARKK,sell,ROKU,ROKU INC,77543R102,619158,374860,615477,-240617,-39.09,0.994055
2026-06-23,2026-06-23,2026-06-24,ARKK,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,47278658,18952543,46997572,-28045029,-59.67,0.994055
2026-06-23,2026-06-23,2026-06-24,ARKK,sell,HOOD,ROBINHOOD MARKETS INC - A,770700102,3096555,2989719,3078145,-88426,-2.87,0.994055
2026-06-23,2026-06-23,2026-06-24,ARKW,sell,ROKU,ROKU INC,77543R102,322499,254318,321122,-66804,-20.80,0.995729
2026-06-23,2026-06-23,2026-06-24,ARKQ,sell,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,12906618,6610843,12868212,-6257369,-48.63,0.997024
2026-06-23,2026-06-23,2026-06-24,ARKF,sell,ROKU,ROKU INC,77543R102,154020,134388,154020,-19632,-12.75,1.000000
2026-06-23,2026-06-23,2026-06-24,ARKQ,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,2158194,2077474,2151772,-74298,-3.45,0.997024
2026-06-23,2026-06-23,2026-06-24,ARKX,sell,SRTA,STRATA CRITICAL MEDICAL INC,092667104,1617416,1538706,1594847,-56141,-3.52,0.986046
2026-06-23,2026-06-23,2026-06-24,ARKW,sell,BIDU,BAIDU INC - SPON ADR,056752108,1100,396,1095,-699,-63.85,0.995729
2026-06-23,2026-06-23,2026-06-24,ARKX,exit,,GOLDMAN FS TRSY OBLIG INST 468,X9USDGSFT,725783,0,715656,-725783,-100.00,0.986046
