symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2685110,987986224.50,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1665805;ARKQ=565749;ARKW=382699;ARKX=70857
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,4890882,702770834.58,4,ARKK|ARKQ|ARKW|ARKX,ARKK=2733919;ARKQ=1056578;ARKW=557134;ARKX=543251
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,5391597,515167093.35,3,ARKF|ARKK|ARKW,ARKF=593572;ARKK=3822146;ARKW=975879
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,7988225,503657586.25,2,ARKG|ARKK,ARKG=2524903;ARKK=5463322
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2251582,423567605.84,3,ARKF|ARKK|ARKW,ARKF=256234;ARKK=1611123;ARKW=384225
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,7407567,422083167.66,2,ARKG|ARKK,ARKG=2155782;ARKK=5251785
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,2976914,413791046.00,2,ARKG|ARKK,ARKG=1295248;ARKK=1681666
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2149041,400538261.58,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=192421;ARKK=1029597;ARKQ=497751;ARKW=271958;ARKX=157314
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,6044935,377506190.75,2,ARKG|ARKK,ARKG=3036823;ARKK=3008112
NVDA,NASDAQ,67066G104,NVIDIA CORP,1696447,374541568.66,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=111999;ARKK=723155;ARKQ=430346;ARKW=281072;ARKX=149875
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,2524258,371999901.46,3,ARKF|ARKK|ARKW,ARKF=422127;ARKK=1584201;ARKW=517930
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,3484302,365189692.62,3,ARKF|ARKK|ARKW,ARKF=433692;ARKK=2236108;ARKW=814502
AMZN,NASDAQ,023135106,AMAZON.COM INC,1405320,365059976.40,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=117160;ARKK=615649;ARKQ=264983;ARKW=271568;ARKX=135960
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,751128,353570972.16,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=26224;ARKK=348521;ARKQ=160272;ARKW=147471;ARKX=68640
XYZ,NYSE,852234103,BLOCK INC,3594102,294788246.04,3,ARKF|ARKK|ARKW,ARKF=790528;ARKK=1956557;ARKW=847017
GOOG,NASDAQ,02079K107,ALPHABET INC-CL C,849097,284795624.77,4,ARKK|ARKQ|ARKW|ARKX,ARKK=318134;ARKQ=260727;ARKW=181598;ARKX=88638
BEAM,NASDAQ,07373V105,BEAM THERAPEUTICS INC,8254683,242935320.69,2,ARKG|ARKK,ARKG=2436176;ARKK=5818507
KTOS,NASDAQ,50077B207,KRATOS DEFENSE & SECURITY,4547181,231815287.38,3,ARKK|ARKQ|ARKX,ARKK=1329903;ARKQ=2249112;ARKX=968166
CRWV,NASDAQ,21873S108,COREWEAVE INC-CL A,2638351,223969616.39,2,ARKK|ARKW,ARKK=1888211;ARKW=750140
AVGO,NASDAQ,11135F101,BROADCOM INC,547762,202858179.08,3,ARKK|ARKQ|ARKW,ARKK=303237;ARKQ=121590;ARKW=122935
TER,NASDAQ,880770102,TERADYNE INC,568517,198884302.11,3,ARKK|ARKQ|ARKX,ARKK=164379;ARKQ=326003;ARKX=78135
CBRS,NASDAQ,15675D103,CEREBRAS SYSTEMS INC - A,1063545,195947530.80,2,ARKK|ARKW,ARKK=822578;ARKW=240967
BLSH,NYSE,G16910120,BULLISH,5606132,190776671.96,3,ARKF|ARKK|ARKW,ARKF=745851;ARKK=3999530;ARKW=860751
BMNR,NYSE,09175A206,BITMINE IMMERSION TECHNOLOGI,7376064,186761940.48,3,ARKF|ARKK|ARKW,ARKF=734466;ARKK=5140625;ARKW=1500973
TSM,NYSE,874039100,TAIWAN SEMICONDUCTOR-SP ADR,434813,180586535.16,4,ARKK|ARKQ|ARKW|ARKX,ARKK=148416;ARKQ=161407;ARKW=92547;ARKX=32443
ACHR,NYSE,03945R102,ARCHER AVIATION INC-A,27284504,157704433.12,3,ARKK|ARKQ|ARKX,ARKK=13451975;ARKQ=8956830;ARKX=4875699
NTLA,NASDAQ,45826J105,INTELLIA THERAPEUTICS INC,12333658,157007466.34,2,ARKG|ARKK,ARKG=2723524;ARKK=9610134
META,NASDAQ,30303M102,META PLATFORMS INC-CLASS A,274124,156892130.16,3,ARKF|ARKK|ARKW,ARKF=44083;ARKK=149189;ARKW=80852
ILMN,NASDAQ,452327109,ILLUMINA INC,710592,151803768.96,2,ARKG|ARKK,ARKG=380271;ARKK=330321
NTRA,NASDAQ,632307104,NATERA INC,460196,148164704.16,2,ARKG|ARKK,ARKG=253807;ARKK=206389
RKLB,NASDAQ,773121108,ROCKET LAB,2209624,141239166.08,3,ARKK|ARKQ|ARKX,ARKK=584020;ARKQ=1038167;ARKX=587437
NET,NYSE,18915M107,CLOUDFLARE INC - CLASS A,422130,128796084.30,3,ARKF|ARKK|ARKW,ARKF=30470;ARKK=266531;ARKW=125129
WGS,NASDAQ,81663L200,GENEDX HOLDINGS CORP,1472075,124846680.75,2,ARKG|ARKK,ARKG=529633;ARKK=942442
XE,NASDAQ,98386P102,X-ENERGY INC,6476710,119495299.50,3,ARKK|ARKQ|ARKX,ARKK=4398291;ARKQ=1488367;ARKX=590052
PSNL,NASDAQ,71535D106,PERSONALIS INC,6941795,116483320.10,1,ARKG,ARKG=6941795
RXRX,NASDAQ,75629V104,RECURSION PHARMACEUTICALS-A,33803620,114932308.00,2,ARKG|ARKK,ARKG=14416307;ARKK=19387313
LHX,NYSE,502431109,L3HARRIS TECHNOLOGIES INC,417966,111283447.50,3,ARKQ|ARKX|PRNT,ARKQ=217005;ARKX=197139;PRNT=3822
LLY,NYSE,532457108,ELI LILLY & CO,94300,109079639.00,2,ARKG|ARKK,ARKG=67090;ARKK=27210
ABSI,NASDAQ,00091E109,ABSCI CORP,10874301,98303681.04,1,ARKG,ARKG=10874301
DE,NYSE,244199105,DEERE & CO,150021,98250253.11,2,ARKQ|ARKX,ARKQ=86989;ARKX=63032
BWXT,NYSE,05605H100,BWX TECHNOLOGIES INC,640322,97514637.38,3,ARKK|ARKQ|ARKX,ARKK=357594;ARKQ=202778;ARKX=79950
VCYT,NASDAQ,92337F107,VERACYTE INC,2153133,92993814.27,2,ARKG|ARKK,ARKG=975245;ARKK=1177888
DASH,NASDAQ,25809K105,DOORDASH INC - A,372107,86232076.18,4,ARKF|ARKQ|ARKW|ARKX,ARKF=56481;ARKQ=149096;ARKW=93078;ARKX=73452
GH,NASDAQ,40131M109,GUARDANT HEALTH INC,538816,85682520.32,1,ARKG,ARKG=538816
AVAV,NASDAQ,008073108,AEROVIRONMENT INC,550013,81594428.55,2,ARKQ|ARKX,ARKQ=329793;ARKX=220220
CDNA,NASDAQ,14167L103,CAREDX INC,1546544,77497319.84,1,ARKG,ARKG=1546544
TRMB,NASDAQ,896239100,TRIMBLE INC,1099226,65887606.44,2,ARKQ|ARKX,ARKQ=670650;ARKX=428576
CMPS,NASDAQ,20451W101,COMPASS PATHWAYS PLC,4718301,63744246.51,1,ARKG,ARKG=4718301
TOST,NYSE,888787108,TOAST INC-CLASS A,1821827,62106082.43,2,ARKF|ARKW,ARKF=1113239;ARKW=708588
CRWD,NASDAQ,22788C105,CROWDSTRIKE HOLDINGS INC - A,258402,59690862.00,2,ARKF|ARKW,ARKF=79132;ARKW=179270
SOFI,NASDAQ,83406F102,SOFI TECHNOLOGIES INC,3272622,58514481.36,2,ARKF|ARKK,ARKF=1137249;ARKK=2135373
LUNR,NASDAQ,46125A100,INTUITIVE MACHINES INC,3352150,51489024.00,2,ARKQ|ARKX,ARKQ=2339552;ARKX=1012598
RBLX,NYSE,771049103,ROBLOX CORP -CLASS A,1141499,47132493.71,2,ARKF|ARKW,ARKF=320209;ARKW=821290
ADPT,NASDAQ,00650F109,ADAPTIVE BIOTECHNOLOGIES,1875910,46747677.20,1,ARKG,ARKG=1875910
MELI,NASDAQ,58733R102,MERCADOLIBRE INC,23989,46447501.80,2,ARKF|ARKW,ARKF=12996;ARKW=10993
NRIX,NASDAQ,67080M103,NURIX THERAPEUTICS INC,1777918,45834726.04,1,ARKG,ARKG=1777918
SDGR,NASDAQ,80810D103,SCHRODINGER INC,2307709,45000325.50,1,ARKG,ARKG=2307709
CERS,NASDAQ,157085101,CERUS CORP,16598595,43820290.80,2,ARKG|ARKK,ARKG=7900824;ARKK=8697771
ARCT,NASDAQ,03969T109,ARCTURUS THERAPEUTICS HOLDIN,2897339,42764723.64,1,ARKG,ARKG=2897339
DDOG,NASDAQ,23804L103,DATADOG INC - CLASS A,170164,40335674.56,1,ARKW,ARKW=170164
BFLY,NYSE,124155102,BUTTERFLY NETWORK INC,5042715,39787021.35,1,ARKG,ARKG=5042715
JOBY,NYSE,G65163100,JOBY AVIATION INC,5459425,37342467.00,2,ARKQ|ARKX,ARKQ=3256942;ARKX=2202483
IONS,NASDAQ,462222100,IONIS PHARMACEUTICALS INC,617306,37260590.16,1,ARKG,ARKG=617306
SPOT,NYSE,L8681T102,SPOTIFY TECHNOLOGY SA,67461,36673148.82,2,ARKF|ARKW,ARKF=26476;ARKW=40985
GOOGL,NASDAQ,02079K305,ALPHABET INC-CL A,106178,36031504.30,4,ARKK|ARKQ|ARKW|ARKX,ARKK=72573;ARKQ=15390;ARKW=12145;ARKX=6070
PACB,NASDAQ,69404D108,PACIFIC BIOSCIENCES OF CALIF,23497421,31839005.46,2,ARKG|ARKK,ARKG=11236175;ARKK=12261246
CCJ,NYSE,13321L108,CAMECO CORP,319137,31517970.12,1,ARKQ,ARKQ=319137
ALMR,NASDAQ,010911105,ALAMAR BIOSCIENCES INC,1011734,30898356.36,1,ARKG,ARKG=1011734
