symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2797380,863970813.00,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1752619;ARKQ=581958;ARKW=387625;ARKX=75178
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,1092973,530518164.47,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=52407;ARKK=468639;ARKQ=240145;ARKW=252080;ARKX=79702
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,4574687,513279881.40,4,ARKK|ARKQ|ARKW|ARKX,ARKK=2519217;ARKQ=1010976;ARKW=499324;ARKX=545170
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,3325673,407062375.20,3,ARKF|ARKK|ARKW,ARKF=566679;ARKK=2130237;ARKW=628757
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,8575679,379816822.91,2,ARKG|ARKK,ARKG=2334896;ARKK=6240783
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,7570159,366698501.96,2,ARKG|ARKK,ARKG=2044594;ARKK=5525565
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2228943,364610495.94,3,ARKF|ARKK|ARKW,ARKF=254912;ARKK=1596040;ARKW=377991
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,7095093,350710446.99,2,ARKG|ARKK,ARKG=3102601;ARKK=3992492
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2780245,339912753.70,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=244250;ARKK=1417717;ARKQ=570189;ARKW=364318;ARKX=183771
AMZN,NASDAQ,023135106,AMAZON.COM INC,1384049,325943539.50,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=113794;ARKK=608374;ARKQ=259411;ARKW=263656;ARKX=138814
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,3642682,315456261.20,3,ARKF|ARKK|ARKW,ARKF=439832;ARKK=2352640;ARKW=850210
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,4851880,311684771.20,3,ARKF|ARKK|ARKW,ARKF=532147;ARKK=3414174;ARKW=905559
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,3342807,305298563.31,2,ARKG|ARKK,ARKG=1317994;ARKK=2024813
GOOG,NASDAQ,02079K107,ALPHABET INC-CL C,880834,293916689.12,4,ARKK|ARKQ|ARKW|ARKX,ARKK=334670;ARKQ=268197;ARKW=183935;ARKX=94032
RBLX,NYSE,771049103,ROBLOX CORP -CLASS A,5229671,254528087.57,3,ARKF|ARKK|ARKW,ARKF=426162;ARKK=3763859;ARKW=1039650
NVDA,NASDAQ,67066G104,NVIDIA CORP,1203389,234708990.56,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=90240;ARKK=541632;ARKQ=301046;ARKW=140399;ARKX=130072
XYZ,NYSE,852234103,BLOCK INC,2767630,228578561.70,3,ARKF|ARKK|ARKW,ARKF=580478;ARKK=1470949;ARKW=716203
BEAM,NASDAQ,07373V105,BEAM THERAPEUTICS INC,8432361,223373242.89,2,ARKG|ARKK,ARKG=2310512;ARKK=6121849
KTOS,NASDAQ,50077B207,KRATOS DEFENSE & SECURITY,4740121,218851386.57,3,ARKK|ARKQ|ARKX,ARKK=1399167;ARKQ=2313570;ARKX=1027384
TER,NASDAQ,880770102,TERADYNE INC,565215,206580430.35,3,ARKK|ARKQ|ARKX,ARKK=146979;ARKQ=335345;ARKX=82891
TSM,NYSE,874039100,TAIWAN SEMICONDUCTOR-SP ADR,450324,181620172.44,4,ARKK|ARKQ|ARKW|ARKX,ARKK=156138;ARKQ=166033;ARKW=93738;ARKX=34415
CRWV,NASDAQ,21873S108,COREWEAVE INC-CL A,2275731,168176520.90,2,ARKK|ARKW,ARKK=1645991;ARKW=629740
DE,NYSE,244199105,DEERE & CO,266238,159601693.86,3,ARKK|ARKQ|ARKX,ARKK=91693;ARKQ=104270;ARKX=70275
ILMN,NASDAQ,452327109,ILLUMINA INC,757795,155416176.55,2,ARKG|ARKK,ARKG=360691;ARKK=397104
META,NASDAQ,30303M102,META PLATFORMS INC-CLASS A,283504,152817161.12,3,ARKF|ARKK|ARKW,ARKF=44703;ARKK=156911;ARKW=81890
NTLA,NASDAQ,45826J105,INTELLIA THERAPEUTICS INC,12789505,141835610.45,2,ARKG|ARKK,ARKG=2673670;ARKK=10115835
BMNR,NYSE,09175A206,BITMINE IMMERSION TECHNOLOGI,7673795,138742213.60,3,ARKF|ARKK|ARKW,ARKF=744866;ARKK=5408633;ARKW=1520296
AVGO,NASDAQ,11135F101,BROADCOM INC,355348,137818168.32,3,ARKK|ARKQ|ARKW,ARKK=178907;ARKQ=82200;ARKW=94241
ACHR,NYSE,03945R102,ARCHER AVIATION INC-A,28540812,135283448.88,3,ARKK|ARKQ|ARKX,ARKK=14153273;ARKQ=9213546;ARKX=5173993
NTRA,NASDAQ,632307104,NATERA INC,499705,134750450.30,2,ARKG|ARKK,ARKG=240739;ARKK=258966
BLSH,NYSE,G16910120,BULLISH,5956862,134565512.58,3,ARKF|ARKK|ARKW,ARKF=756411;ARKK=4208024;ARKW=992427
CBRS,NASDAQ,15675D103,CEREBRAS SYSTEMS INC - A,648834,131758720.38,2,ARKK|ARKW,ARKK=504239;ARKW=144595
LHX,NYSE,502431109,L3HARRIS TECHNOLOGIES INC,436220,118608218.00,3,ARKQ|ARKX|PRNT,ARKQ=223224;ARKX=209174;PRNT=3822
XE,NASDAQ,98386P102,X-ENERGY INC,6784766,115680260.30,3,ARKK|ARKQ|ARKX,ARKK=4627611;ARKQ=1531027;ARKX=626128
VCYT,NASDAQ,92337F107,VERACYTE INC,1891471,113072136.38,2,ARKG|ARKK,ARKG=858240;ARKK=1033231
LLY,NYSE,532457108,ELI LILLY & CO,92272,106571391.84,2,ARKG|ARKK,ARKG=63658;ARKK=28614
RXRX,NASDAQ,75629V104,RECURSION PHARMACEUTICALS-A,34070822,103575298.88,2,ARKG|ARKK,ARKG=13672707;ARKK=20398115
RKLB,NASDAQ,773121108,ROCKET LAB,1522452,98472195.36,2,ARKQ|ARKX,ARKQ=960577;ARKX=561875
WGS,NASDAQ,81663L200,GENEDX HOLDINGS CORP,1330838,91774588.48,2,ARKG|ARKK,ARKG=448071;ARKK=882767
BWXT,NYSE,05605H100,BWX TECHNOLOGIES INC,549249,90950141.91,3,ARKK|ARKQ|ARKX,ARKK=292115;ARKQ=183015;ARKX=74119
AVAV,NASDAQ,008073108,AEROVIRONMENT INC,572919,83972737.83,2,ARKQ|ARKX,ARKQ=339243;ARKX=233676
PSNL,NASDAQ,71535D106,PERSONALIS INC,6750500,82896140.00,1,ARKG,ARKG=6750500
ABSI,NASDAQ,00091E109,ABSCI CORP,10313389,78794291.96,1,ARKG,ARKG=10313389
DASH,NASDAQ,25809K105,DOORDASH INC - A,365359,72169363.27,4,ARKF|ARKQ|ARKW|ARKX,ARKF=57281;ARKQ=143833;ARKW=94275;ARKX=69970
GH,NASDAQ,40131M109,GUARDANT HEALTH INC,457013,69625930.55,1,ARKG,ARKG=457013
TRMB,NASDAQ,896239100,TRIMBLE INC,1144657,65314128.42,2,ARKQ|ARKX,ARKQ=689865;ARKX=454792
SNOW,NYSE,833445109,SNOWFLAKE INC,212835,63446113.50,2,ARKK|ARKW,ARKK=141918;ARKW=70917
CRWD,NASDAQ,22788C105,CROWDSTRIKE HOLDINGS INC - A,333831,61832177.82,2,ARKF|ARKW,ARKF=86491;ARKW=247340
TOST,NYSE,888787108,TOAST INC-CLASS A,1846715,60664587.75,2,ARKF|ARKW,ARKF=1129004;ARKW=717711
