symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2777899,919151221.12,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1744828;ARKQ=572953;ARKW=385983;ARKX=74135
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,4855475,673648601.50,4,ARKK|ARKQ|ARKW|ARKX,ARKK=2740051;ARKQ=1033523;ARKW=528535;ARKX=553366
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,1053503,494682868.68,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=51677;ARKK=442671;ARKQ=236430;ARKW=244129;ARKX=78596
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,8490211,467471017.66,2,ARKG|ARKK,ARKG=2277176;ARKK=6213035
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,2985808,463337685.44,3,ARKF|ARKK|ARKW,ARKF=492559;ARKK=1928591;ARKW=564658
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2612982,457872835.86,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=231838;ARKK=1338542;ARKQ=531875;ARKW=334632;ARKX=176095
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,3324505,415164184.40,2,ARKG|ARKK,ARKG=1287637;ARKK=2036868
AMZN,NASDAQ,023135106,AMAZON.COM INC,1446495,402255794.55,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=117160;ARKK=644830;ARKQ=268355;ARKW=273898;ARKX=142252
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,7495049,401060071.99,2,ARKG|ARKK,ARKG=1994054;ARKK=5500995
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,6525032,382171124.24,2,ARKG|ARKK,ARKG=3010309;ARKK=3514723
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,5546115,371867010.75,3,ARKF|ARKK|ARKW,ARKF=558380;ARKK=4003480;ARKW=984255
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2331276,346614115.68,3,ARKF|ARKK|ARKW,ARKF=256234;ARKK=1687519;ARKW=387523
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,3622482,342396998.64,3,ARKF|ARKK|ARKW,ARKF=433692;ARKK=2342182;ARKW=846608
GOOG,NASDAQ,02079K107,ALPHABET INC-CL C,873119,310690664.96,4,ARKK|ARKQ|ARKW|ARKX,ARKK=333186;ARKQ=264047;ARKW=183156;ARKX=92730
