rank,symbol,company,market_cap,sector,industry,country,ipo_year,price,pct_change,alt_symbols
1,NVDA,NVIDIA Corporation,5422978000000.0,Technology,Semiconductors,United States,1999,224.09,3.03,
2,AAPL,Apple Inc.,4411090905000.0,Technology,Computer Manufacturing,United States,1980,302.25,-0.872,
3,GOOG,Alphabet Inc.,4187185100000.0,Technology,Computer Software: Programming Data Processing,United States,2004,342.37,-0.184,GOOGL
4,MSFT,Microsoft Corporation,3656561366133.0,Technology,Computer Software: Prepackaged Software,United States,1986,492.43,-2.259,
5,AMZN,Amazon.com Inc.,2882965891524.0,Consumer Discretionary,Catalog/Specialty Distribution,United States,1997,267.28,-1.833,
6,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,2225788579552.0,Technology,Semiconductors,Taiwan,1997,429.15,1.68,
7,AVGO,Broadcom Inc.,1979391241378.0,Technology,Semiconductors,United States,2009,416.05,-0.007,
8,SPCX,Space Exploration Technologies Corp.,1926517138962.0,Technology,Computer Software: Programming Data Processing,United States,2026,146.15,9.648,
9,META,Meta Platforms Inc.,1474623978341.0,Technology,Computer Software: Programming Data Processing,United States,2012,578.85,-3.383,
10,TSLA,Tesla Inc.,1293516267009.0,Industrials,Auto Manufacturing,United States,2010,327.51,-1.593,
11,LLY,Eli Lilly and Company,1148719199278.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States,,1220.28,0.433,
12,SKHY,SK hynix Inc.,1125441218550.0,Technology,Semiconductors,South Korea,2026,154.41,9.008,
13,BRK.B,Berkshire Hathaway Inc.,1125218799210.0,,,United States,,510.0,-1.236,BRK.A
14,MU,Micron Technology Inc.,1029204684575.0,Technology,Semiconductors,United States,,911.29,4.924,
15,JPM,JP Morgan Chase & Co.,970716434690.0,Finance,Major Banks,United States,,365.18,0.867,
16,WMT,Walmart Inc.,923216762772.0,Consumer Discretionary,Department/Specialty Retail Stores,United States,,116.01,2.428,
17,AMD,Advanced Micro Devices Inc.,788371172033.0,Technology,Semiconductors,United States,,482.93,1.815,
18,ASML,ASML Holding N.V.,697632952887.0,Technology,Industrial Machinery/Components,Netherlands,1995,1810.07,0.594,
19,XOM,ExxonMobil Holdings Corporation,656877935610.0,Energy,Integrated oil Companies,United States,,159.75,-0.031,
20,V,Visa Inc.,642195562970.0,Consumer Discretionary,Business Services,United States,,359.42,-0.937,
21,JNJ,Johnson & Johnson,628646148013.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States,,260.86,0.408,
22,INTC,Intel Corporation,509191800000.0,Technology,Semiconductors,United States,,100.95,3.316,
23,MA,Mastercard Incorporated,490329043716.0,Consumer Discretionary,Business Services,United States,2006,559.73,-0.305,
24,CSCO,Cisco Systems Inc.,488264926300.0,Telecommunications,Computer Communications Equipment,United States,1990,123.88,2.865,
25,BAC,Bank of America Corporation,453200021536.0,Finance,Major Banks,United States,,64.81,1.266,
26,ORCL,Oracle Corporation,441518594880.0,Technology,Computer Software: Prepackaged Software,United States,1986,153.28,5.362,
27,ABBV,AbbVie Inc.,439588095817.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States,2012,248.76,-0.532,
28,AMAT,Applied Materials Inc.,435208861555.0,Technology,Semiconductors,United States,1972,548.15,4.288,
29,COST,Costco Wholesale Corporation,421116385308.0,Consumer Discretionary,Department/Specialty Retail Stores,United States,,949.575,0.556,
30,PLTR,Palantir Technologies Inc.,410847227219.0,Technology,Computer Software: Prepackaged Software,United States,,171.04,-2.229,
31,LRCX,Lam Research Corporation,408068291310.0,Technology,Industrial Machinery/Components,United States,1984,326.11,4.72,
32,CAT,Caterpillar Inc.,393297835028.0,Industrials,Construction/Ag Equipment/Trucks,United States,,855.6,1.45,
33,CVX,Chevron Corporation,388436632468.0,Energy,Integrated oil Companies,United States,,196.6,-0.031,
34,GE,GE Aerospace,379052712874.0,Technology,Consumer Electronics/Appliances,United States,,365.33,-0.742,
35,KO,The Coca-Cola Company,373074044861.0,Consumer Staples,Beverages (Production/Distribution),United States,,86.71,0.266,
36,UNH,UnitedHealth Group Incorporated,364055493995.0,Health Care,Medical Specialities,United States,,405.59,0.845,
37,HSBC,HSBC Holdings plc.,357830533404.0,Finance,Savings Institutions,United Kingdom,,104.12,0.882,
38,HD,The Home Depot Inc.,342439782099.0,Consumer Discretionary,RETAIL: Building Materials,United States,,343.43,-3.117,
39,MS,Morgan Stanley,341818047791.0,Finance,Investment Bankers/Brokers/Service,United States,,217.64,1.195,
40,PG,The Procter & Gamble Company,334904315285.0,Consumer Discretionary,Package Goods/Cosmetics,United States,,144.08,-0.778,
41,MRK,Merck & Company Inc.,327936454123.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States,,132.92,1.917,
42,PANW,Palo Alto Networks Inc.,315413150000.0,Technology,Computer peripheral equipment,United States,,387.01,0.836,
43,DELL,Dell Technologies Inc.,314008321640.0,Technology,Computer Manufacturing,United States,2018,484.5,9.871,
44,NFLX,Netflix Inc.,309005963356.0,Consumer Discretionary,Consumer Electronics/Video Chains,United States,2002,74.21,-0.776,
45,GS,The Goldman Sachs Group Inc.,302005896092.0,Finance,Investment Bankers/Brokers/Service,United States,1999,1037.21,0.271,
46,RTX,RTX Corporation,300226604157.0,Industrials,Aerospace,United States,,222.76,-0.491,
47,TM,Toyota Motor Corporation,297293253972.0,Industrials,Auto Manufacturing,Japan,,188.22,-0.843,
48,RY,Royal Bank Of Canada,296689655229.0,Finance,Commercial Banks,Canada,,213.48,1.531,
49,BABA,Alibaba Group Holding Limited,292230424174.0,Consumer Discretionary,Business Services,China,2014,125.22,-2.057,
50,NVS,Novartis AG,290649663745.0,Health Care,Biotechnology: Pharmaceutical Preparations,Switzerland,,152.32,-1.481,
51,PM,Philip Morris International Inc,290198236207.0,Health Care,Medicinal Chemicals and Botanical Products,United States,,186.19,-0.016,
52,ARM,Arm Holdings plc,289284701361.0,Technology,Semiconductors,United Kingdom,2023,271.87,1.093,
53,GEV,GE Vernova Inc.,276960290882.0,Technology,Consumer Electronics/Appliances,United States,2024,1039.9,2.769,
54,KLAC,KLA Corporation,272088367560.0,Technology,Electronic Components,United States,1980,208.25,3.881,
55,MUFG,Mitsubishi UFJ Financial Group Inc.,270109100539.0,Finance,Commercial Banks,Japan,,22.76,2.893,
56,WFC,Wells Fargo & Company,268924260950.0,Finance,Major Banks,United States,,88.93,1.692,
57,ANET,Arista Networks Inc.,265487788404.0,Telecommunications,Computer Communications Equipment,United States,,210.5,6.394,
58,SHEL,Shell PLC,256244271358.0,Energy,Oil & Gas Production,Netherlands,2022,90.07,-0.475,
59,TXN,Texas Instruments Incorporated,252595177471.0,Technology,Semiconductors,United States,,276.59,-1.653,
60,SAP,SAP  SE,250799138963.0,Technology,Computer Software: Prepackaged Software,Germany,,204.15,-2.637,
61,AZN,AstraZeneca PLC,245790050237.0,Health Care,Biotechnology: Pharmaceutical Preparations,United Kingdom,2026,158.5,-0.157,
62,AXP,American Express Company,232360607339.0,Finance,Finance: Consumer Services,United States,,344.08,0.959,
63,C,Citigroup Inc.,230781752605.0,Finance,Major Banks,United States,,137.58,1.333,
64,BHP,BHP Group Limited,228967510272.0,Energy,Coal Mining,Australia,,90.12,0.111,
65,CRWD,CrowdStrike Holdings Inc.,225829543118.0,Technology,Computer Software: Prepackaged Software,United States,2019,221.78,-0.054,
66,AMGN,Amgen Inc.,225000227841.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States,1983,416.18,0.454,
67,TMO,Thermo Fisher Scientific Inc,222961310931.0,Industrials,Industrial Machinery/Components,United States,,603.01,-0.329,
68,IBM,International Business Machines Corporation,222324873352.0,Technology,Computer Manufacturing,United States,,235.98,-1.023,
69,LIN,Linde plc,221007719547.0,Basic Materials,Major Chemicals,United States,,479.43,-2.263,
70,SAN,Banco Santander S.A.,217695715020.0,Finance,Commercial Banks,Spain,,14.82,0.748,
71,APH,Amphenol Corporation,209557868352.0,Technology,Electrical Products,United States,,169.96,1.632,
72,NVO,Novo Nordisk A/S,205411696823.0,Health Care,Biotechnology: Pharmaceutical Preparations,Denmark,,46.39,-1.654,
73,TD,The Toronto Dominion Bank,203759910200.0,Finance,Commercial Banks,Canada,,123.31,1.598,
74,SNDK,Sandisk Corporation,199075580782.0,Technology,Electronic Components,United States,,1344.29,5.762,
75,STX,Seagate Technology Holdings PLC,199041482153.0,Technology,Electronic Components,Ireland,2002,878.21,7.031,
76,VZ,Verizon Communications Inc.,195191338990.0,Telecommunications,Telecommunications Equipment,United States,,46.98,-0.613,
77,MCD,McDonald's Corporation,195096770097.0,Consumer Discretionary,Restaurants,United States,,275.7,0.565,
78,SHOP,Shopify Inc. Class A Subordinate Voting,194902936270.0,Technology,Computer Software: Prepackaged Software,Canada,,150.41,-1.442,
79,ABT,Abbott Laboratories,191916811359.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States,,110.91,1.085,
80,TTE,TotalEnergies SE,191349280211.0,Energy,Oil & Gas Production,France,,87.7,-0.284,
