symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
TSLA,NASDAQ,88160R101,TESLA INC,2592632,982426043.76,4,ARKK|ARKQ|ARKW|ARKX,ARKK=1616320;ARKQ=547167;ARKW=364411;ARKX=64734
AMD,NASDAQ,007903107,ADVANCED MICRO DEVICES,1105479,601855931.97,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=53137;ARKK=471609;ARKQ=244603;ARKW=254216;ARKX=81914
SPCX,NASDAQ,84615Q103,SPACE EXPLORATION TECHN-CL A,4145717,512161878.18,4,ARKK|ARKQ|ARKW|ARKX,ARKK=2227252;ARKQ=937786;ARKW=462587;ARKX=518092
TEM,NASDAQ,88023B103,TEMPUS AI INC-CL A,8629749,422685106.02,2,ARKG|ARKK,ARKG=2349326;ARKK=6280423
HOOD,NASDAQ,770700102,ROBINHOOD MARKETS INC - A,3970221,422272705.56,3,ARKF|ARKK|ARKW,ARKF=445972;ARKK=2602756;ARKW=921493
SHOP,NASDAQ,82509L107,SHOPIFY INC - CLASS A,3406708,419127285.24,3,ARKF|ARKK|ARKW,ARKF=574589;ARKK=2198034;ARKW=634085
COIN,NASDAQ,19260Q107,COINBASE GLOBAL INC -CLASS A,2245823,394927974.55,3,ARKF|ARKK|ARKW,ARKF=258472;ARKK=1606158;ARKW=381193
CRSP,NASDAQ,H17182108,CRISPR THERAPEUTICS AG,7764407,373856197.05,2,ARKG|ARKK,ARKG=2057229;ARKK=5707178
PLTR,NASDAQ,69608A108,PALANTIR TECHNOLOGIES INC-A,2811441,372965763.06,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=247660;ARKK=1426717;ARKQ=580779;ARKW=367404;ARKX=188881
AMZN,NASDAQ,023135106,AMAZON.COM INC,1415428,350389201.40,5,ARKF|ARKK|ARKQ|ARKW|ARKX,ARKF=115379;ARKK=627266;ARKQ=264229;ARKW=265890;ARKX=142664
TXG,NASDAQ,88025U109,10X GENOMICS INC-CLASS A,7416329,350050728.80,2,ARKG|ARKK,ARKG=3121776;ARKK=4294553
CRCL,NYSE,172573107,CIRCLE INTERNET GROUP INC,4757218,338143055.44,3,ARKF|ARKK|ARKW,ARKF=528065;ARKK=3342192;ARKW=886961
TWST,NASDAQ,90184D100,TWIST BIOSCIENCE CORP,3464127,332071214.22,2,ARKG|ARKK,ARKG=1326139;ARKK=2137988
