date,fund,cusip,ticker,company,asset_class,shares,market_value,weight
08/07/2026,ARKF,82509L107,SHOP,SHOPIFY INC - CLASS A,equity,527243.0,77736707.92,10.49
08/07/2026,ARKF,852234103,XYZ,BLOCK INC,equity,604543.0,47770987.86,6.45
08/07/2026,ARKF,MM005473T,,ARK BITCOIN ETF HOLDCO (ARKF),bitcoin_holdco,2096992.0,44770569.5,6.04
08/07/2026,ARKF,770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,433692.0,39340201.32,5.31
08/07/2026,ARKF,888787108,TOST,TOAST INC-CLASS A,equity,1113239.0,38651658.08,5.22
08/07/2026,ARKF,19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,256234.0,37258985.94,5.03
08/07/2026,ARKF,69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,231838.0,36148180.96,4.88
08/07/2026,ARKF,172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,558380.0,35334286.4,4.77
08/07/2026,ARKF,023135106,AMZN,AMAZON.COM INC,equity,117160.0,31897981.6,4.3
08/07/2026,ARKF,30303M102,META,META PLATFORMS INC-CLASS A,equity,44083.0,26004561.7,3.51
08/07/2026,ARKF,007903107,AMD,ADVANCED MICRO DEVICES,equity,51677.0,25284522.56,3.41
08/07/2026,ARKF,58733R102,MELI,MERCADOLIBRE INC,equity,12996.0,23782680.0,3.21
08/07/2026,ARKF,PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,31991.0,21693474.59,2.93
08/07/2026,ARKF,67066G104,NVDA,NVIDIA CORP,equity,94218.0,20632799.82,2.78
08/07/2026,ARKF,83406F102,SOFI,SOFI TECHNOLOGIES INC,equity,1137249.0,20584206.9,2.78
08/07/2026,ARKF,G16910120,BLSH,BULLISH,equity,745851.0,17184407.04,2.32
08/07/2026,ARKF,81141R100,SE,SEA LTD-ADR,equity,152376.0,16913736.0,2.28
08/07/2026,ARKF,22788C105,CRWD,CROWDSTRIKE HOLDINGS INC - A,equity,79132.0,16411185.48,2.21
08/07/2026,ARKF,BZ1HM42,ADYEN,ADYEN NV,equity,14294.0,15370707.17,2.07
08/07/2026,ARKF,G6683N103,NU UN,NU HOLDINGS LTD/CAYMAN ISL-A,equity,1030653.0,14552820.36,1.96
08/07/2026,ARKF,G5279N105,KLAR,KLARNA GROUP PLC,equity,685041.0,13878930.66,1.87
08/07/2026,ARKF,771049103,RBLX,ROBLOX CORP -CLASS A,equity,379082.0,13662115.28,1.84
08/07/2026,ARKF,09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,734466.0,13440727.8,1.81
08/07/2026,ARKF,L8681T102,SPOT,SPOTIFY TECHNOLOGY SA,equity,26476.0,12577953.32,1.7
08/07/2026,ARKF,009066101,ABNB,AIRBNB INC-CLASS A,equity,82300.0,12479972.0,1.68
