date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/01/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"607,914","$69,411,620.52",9.58%
07/01/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"450,884","$45,214,647.52",6.24%
07/01/2026,ARKF,BLOCK INC,XYZ,852234103,"570,820","$43,382,320.00",5.99%
07/01/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"2,096,992","$40,799,076.35",5.63%
07/01/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"254,104","$37,147,463.76",5.13%
07/01/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,157,381","$32,198,339.42",4.44%
07/01/2026,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,"53,721","$31,207,066.11",4.31%
07/01/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,"474,163","$29,696,828.69",4.10%
07/01/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"250,388","$29,212,767.96",4.03%
07/01/2026,ARKF,AMAZON.COM INC,AMZN,023135106,"116,647","$27,801,645.98",3.84%
07/01/2026,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"436,872","$23,757,099.36",3.28%
07/01/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,"13,500","$22,914,765.00",3.16%
07/01/2026,ARKF,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"31,991","$21,999,791.62",3.04%
07/01/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,182,343","$21,199,409.99",2.93%
07/01/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"35,517","$20,006,370.93",2.76%
07/01/2026,ARKF,BULLISH,BLSH,G16910120,"767,768","$17,988,804.24",2.48%
07/01/2026,ARKF,NVIDIA CORP,NVDA,67066G104,"86,893","$17,386,420.37",2.40%
07/01/2026,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"22,165","$16,914,998.10",2.33%
07/01/2026,ARKF,ROKU INC,ROKU,77543R102,"120,560","$16,654,158.40",2.30%
07/01/2026,ARKF,SEA LTD-ADR,SE,81141R100,"158,410","$15,180,430.30",2.10%
07/01/2026,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"580,598","$14,665,905.48",2.02%
07/01/2026,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,"712,201","$14,414,948.24",1.99%
07/01/2026,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,071,519","$14,315,493.84",1.98%
07/01/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,"14,854","$13,923,927.79",1.92%
07/01/2026,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"85,562","$12,243,922.20",1.69%
07/01/2026,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"25,914","$11,897,894.82",1.64%
07/01/2026,ARKF,DOORDASH INC - A,DASH,25809K105,"58,717","$10,835,048.01",1.50%
07/01/2026,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,"257,679","$10,170,590.13",1.40%
07/01/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"763,586","$10,163,329.66",1.40%
07/01/2026,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"100,658","$9,435,680.92",1.30%
07/01/2026,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"152,575","$4,809,164.00",0.66%
07/01/2026,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"41,525","$3,597,726.00",0.50%
07/01/2026,ARKF,PAYPAY CORP,PAYP,70450C101,"244,985","$3,510,635.05",0.48%
07/01/2026,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"517,142","$3,123,537.68",0.43%
07/01/2026,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"23,538","$2,259,177.24",0.31%
07/01/2026,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"367,283","$2,200,025.17",0.30%
07/01/2026,ARKF,CANTON STRATEGIC HOLDINGS IN,CNTN,432705309,"405,515","$1,143,552.30",0.16%
07/01/2026,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"958,895","$958,894.81",0.13%
07/01/2026,ARKF,BRERA HOLDINGS PLC-CL B,,G13311132,"91,322","$462,089.32",0.06%
07/01/2026,ARKF,BRERA HOLDINGS PLC WTS,,BREADUMMY,"78,805","$209,622.10",0.03%
