date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/17/2026,PRNT,XOMETRY INC-A,XMTR,98423F109,"44,260","$4,267,549.20",7.12%
07/17/2026,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,"226,390","$3,135,501.50",5.23%
07/17/2026,PRNT,SIEMENS AG-REG,SIE,5727973,"9,829","$3,043,838.22",5.08%
07/17/2026,PRNT,3D SYSTEMS CORP,DDD,88554D205,"992,666","$2,789,391.46",4.65%
07/17/2026,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"403,478","$2,699,267.82",4.50%
07/17/2026,PRNT,SYNOPSYS INC,SNPS,871607107,"6,341","$2,644,387.23",4.41%
07/17/2026,PRNT,HP INC,HPQ,40434L105,"109,447","$2,642,050.58",4.41%
07/17/2026,PRNT,PROTO LABS INC,PRLB,743713109,"34,044","$2,633,643.84",4.39%
07/17/2026,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"125,154","$2,615,100.51",4.36%
07/17/2026,PRNT,RENISHAW PLC,RSW,0732358,"39,123","$2,578,889.64",4.30%
07/17/2026,PRNT,PTC INC,PTC,69370C100,"20,233","$2,576,874.88",4.30%
07/17/2026,PRNT,AUTODESK INC,ADSK,052769106,"11,752","$2,550,889.12",4.26%
07/17/2026,PRNT,NIKON CORP,7731,6642321,"177,258","$2,507,775.82",4.18%
07/17/2026,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,"18,846","$2,333,469.62",3.89%
07/17/2026,PRNT,STRATASYS LTD,SSYS,M85548101,"247,471","$2,026,787.49",3.38%
07/17/2026,PRNT,VELO3D INC,VELO,92259N302,"187,189","$1,936,470.21",3.23%
07/17/2026,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"1,199,038","$1,774,576.24",2.96%
07/17/2026,PRNT,BICO GROUP AB,BICO,BKMFJ94,"1,043,417","$1,531,478.40",2.56%
07/17/2026,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"241,940","$1,474,642.02",2.46%
07/17/2026,PRNT,TITOMIC LTD,TTT,BYZ03N6,"9,869,294","$1,311,772.63",2.19%
07/17/2026,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"3,321","$1,270,216.08",2.12%
07/17/2026,PRNT,GENERAL ELECTRIC,GE,369604301,"3,470","$1,199,683.10",2.00%
07/17/2026,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"7,238","$1,161,047.58",1.94%
07/17/2026,PRNT,MICHELIN (CGDE),ML,BPBPJ01,"27,926","$1,123,582.79",1.87%
07/17/2026,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"4,031","$1,045,278.61",1.74%
07/17/2026,PRNT,AMETEK INC,AME,031100100,"4,024","$954,895.20",1.59%
07/17/2026,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"5,060","$902,754.60",1.51%
07/17/2026,PRNT,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"3,026","$860,685.18",1.44%
07/17/2026,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"85,519","$710,043.32",1.18%
07/17/2026,PRNT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"343,967","$343,966.52",0.57%
07/17/2026,PRNT,OCTAVE INTELLIGENCE PLC-SDR,,BN72QH8,"8,553","$141,539.32",0.24%
07/17/2026,PRNT,MATERION CORP,MTRN,576690101,439,"$106,633.10",0.18%
07/17/2026,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,172,"$95,356.80",0.16%
07/17/2026,PRNT,ATI INC,ATI,01741R102,469,"$87,004.19",0.15%
07/17/2026,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,923,"$79,171.91",0.13%
07/17/2026,PRNT,VOESTALPINE AG,VOE,4943402,"1,481","$76,715.91",0.13%
07/17/2026,PRNT,AVIENT CORP,AVNT,05368V106,"1,937","$73,741.59",0.12%
07/17/2026,PRNT,3M CO,MMM,88579Y101,452,"$73,120.04",0.12%
07/17/2026,PRNT,JABIL INC,JBL,466313103,237,"$72,773.22",0.12%
07/17/2026,PRNT,TORAY INDUSTRIES INC,3402,6897143,"10,090","$72,477.51",0.12%
07/17/2026,PRNT,SGL CARBON SE,SGL,4818351,"15,120","$71,523.92",0.12%
07/17/2026,PRNT,SANDVIK AB,SAND,B1VQ252,"1,819","$70,309.63",0.12%
07/17/2026,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,"3,592","$69,733.61",0.12%
07/17/2026,PRNT,KENNAMETAL INC,KMT,489170100,"1,903","$67,613.59",0.11%
07/17/2026,PRNT,ARKEMA,AKE,B0Z5YZ2,"1,009","$65,332.85",0.11%
07/17/2026,PRNT,DAUCH CORPORATION,DCH,024061103,"6,138","$33,697.62",0.06%
07/17/2026,PRNT,DAUCH CORPORATION,DCH,BNBV4N3,"5,481","$29,837.01",0.05%
