date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/06/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,467,055","$145,590,538.20",8.40%
07/06/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"2,241,109","$135,071,639.43",7.79%
07/06/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,044,594","$122,839,207.52",7.08%
07/06/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,102,601","$121,032,465.01",6.98%
07/06/2026,ARKG,ABSCI CORP,ABSI,00091E109,"10,077,675","$117,102,583.50",6.75%
07/06/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,842,750","$106,818,255.00",6.16%
07/06/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"485,218","$81,506,919.64",4.70%
07/06/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,149,988","$74,798,082.52",4.31%
07/06/2026,ARKG,ILLUMINA INC,ILMN,452327109,"384,285","$72,506,893.80",4.18%
07/06/2026,ARKG,NATERA INC,NTRA,632307104,"257,001","$71,785,519.32",4.14%
07/06/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,836,787","$53,615,812.53",3.09%
07/06/2026,ARKG,VERACYTE INC,VCYT,92337F107,"938,612","$53,575,972.96",3.09%
07/06/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,928,957","$51,432,484.92",2.97%
07/06/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"13,488,018","$51,254,468.40",2.96%
07/06/2026,ARKG,ELI LILLY & CO,LLY,532457108,"39,875","$48,404,661.25",2.79%
07/06/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"3,243,914","$44,182,108.68",2.55%
07/06/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,993,244","$42,236,840.36",2.44%
07/06/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,686,222","$40,418,741.34",2.33%
07/06/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"4,782,631","$36,730,606.08",2.12%
07/06/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,047,641","$34,564,180.08",1.99%
07/06/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"448,071","$30,249,273.21",1.74%
07/06/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"281,966","$23,064,818.80",1.33%
07/06/2026,ARKG,CERUS CORP,CERS,157085101,"7,241,026","$22,881,642.16",1.32%
07/06/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,"4,287,222","$22,250,682.18",1.28%
07/06/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,747,915","$20,004,821.20",1.15%
07/06/2026,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,"764,946","$19,842,699.24",1.14%
07/06/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"4,818,656","$18,648,198.72",1.08%
07/06/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"10,656,607","$17,903,099.76",1.03%
07/06/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,910,054","$16,598,369.26",0.96%
07/06/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"929,429","$16,181,358.89",0.93%
07/06/2026,ARKG,BIONTECH SE-ADR,BNTX,09075V102,"124,175","$12,112,650.38",0.70%
07/06/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,777,557","$6,305,839.03",0.36%
07/06/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"2,518,477","$2,518,477.49",0.15%
